,comments
0,别 
1,爷青结
2,说人话了
3,爷青结
4,爷青结
5,爷青结
6,爷青结
7,川宝宝终于败给了数字……
8,我还没浪够
9,爷青结
10,爷青结
11,爷青结
12,爷青结
13,爷青结
14,爷青结
15,真香定律也许会迟到，但永远不会失效
16,爷青结
17,爷青结
18,爷青结
19,爷青结
20,不，要自由
21,爷青洁
22,爷青结
23,爷青结
24,爷青结
25,爷青结
26,你要自信！
27,爷青结
28,青春结束了
29,爷青结
30,爷的青春结束了
31,530贺电8.12号
32,爷青结
33,爷青结
34,爷青结
35,青结
36,爷清洁
37,假的，fake news
38,爷青结
39,爷青结
40,爷青结
41,爷青结
42,啥B
43,川宝你要是被威胁了就眨眨眼！！
44,爷青结啊爷青结！
45,爷青结
46,爷的青春结束了
47,500万
48,爷青结
49,青爷结
50,爷青结
51,不能戴啊，有芯片的，可千万不能戴
52,泪目
53,爷青结
54,爷青结
55,战忽局裁员。。。
56,爷青结
57,青结工
58,爷青结
59,爷青结
60,弹幕都是青结工
61,爷青结
62,爷青结
63,爷青结
64,请你坚持自己
65,爷青结
66,爷青结
67,打脸
68,口罪有毒
69,爷青结
70,爷青结
71,爷青结
72,爷青结
73,爷青结
74,500万前来考古
75,500  
76,爷青结
77,爷青结
78,爷青结
79,爷青结
80,爷青结
81,爷青结
82,爷青结
83,泪目
84,爷青结
85,爷青结
86,爷青结
87,爷青结
88,现在455w了
89,现在455
90,爷青结
91,爷青结
92,爷青结
93,爷青结
94,爷青结
95,爷青结
96,爷青结
97,爷青结
98,爷青结
99,爷青结
100,爷青结
101,爷青结
102,完结撒花
103,完结撒花
104,爷青结
105,没事继续阿
106,爷青结
107,爷青结
108,爷青结
109,爷青结
110,爷青结
111,这标题……
112,爷青结
113,川宝隐藏身份啊
114,爷青结
115,爷青结
116,爷青结
117,爷青结
118,爷青结
119,爷青结
120,爷青结
121,爷青结
122,爷青结
123,爷青结
124,爷的青春结束了
125,谁会清洁我家的厕所？
126,你们的下一句话是爷青结
127,你们的青春是
128,爷青结
129,爷青节
130,特青结 你终究是变了
131,叛变了
132,爷青结
133,爷青结
134,爷青结
135,雷姆
136,爷青结
137,爷青结
138,我懂的，都是竞选压力。风头过去继续浪。加油
139,爷青结
140,戴口罩不自由  会致癌的
141,活成了自己最不喜欢的样子
142,爷青结
143,so
144,爷青结
145,我先来：爷的青春结束了……
146,你是好人
147,爷青结
148,爷青结
149,被威胁了就眨眨眼
150,泪目
151,爷青结
152,要暴露了
153,爷青结
154,爷青结
155,你自己都没有戴口罩
156,爷青结
157,爷青结
158,爷青结
159,这不是川宝
160,爷青结
161,爷春结
162,被威胁了就眨眨眼
163,川宝宝，要是你被威胁了，就眨眨眼～
164,爷青节
165,爷青结
166,爷青结
167,爷青结
168,爷青结
169,有事你就眨眨眼
170,爷青结
171,爷青结
172,爷青结
173,就这
174,就这
175,就这
176,绑架那个等一下！让我用玉玺给你砸个核桃哈哈哈
177,爷青结
178,爷青结
179,爷青结
180,爷青又结
181,爷青结
182,爷青结
183,爷青结
184,爷青结
185,最终还是变成了自己最讨厌的样子
186,爷青结
187,爷的青春，结束了
188,爷清结
189,爷青结
190,爷青结
191,川宝，你要是被绑架了就眨眨眼
192,爷青结
193,爷青结
194,爷青结
195,泪目
196,爷青结
197,爷青结
198,爷青结，不说了，都是泪
199,爷青结
200,爷青结
201,爷青结
202,爷青结啥意思⊙_⊙
203,爷青结
204,卧底被揭穿
205,爷青结
206,爷青结
207,爷青结
208,诶，真香
209,清洁工出来工作啦
210,被绑架了你就眨眨眼
211,泪目
212,爷青结
213,爷青结
214,爷青结
215,你说的是人话吗，我们这么相信你，把你放到一线，你对得起谁
216,爷青结
217,别介啊，继续刚
218,弹幕一大堆爷青结xswl
219,这不自由！（怒）
220,爷青结
221,终究变成了自己讨厌的样子
222,爷青结
223,爷青结
224,爷青结
225,爷青结
226,终于了
227,他怕被清算啊
228,川剧变脸
229,就这
230,爷青结
231,爷青结
232,爷青结
233,活成了自己讨厌的模样
234,玩够啦，不要玩啦，戴口罩吧，你们不要听老特比比啦
235,不用围巾了?
236,爷青结
237,誓死不戴口罩，脸真香
238,爷青结
239,爷青结
240,别千万别丢掉你的自由
241, 老特，你要是被绑架了，你就眨眨眼作为中国间谍，我们会全力营救你的
242,爷青结
243,爷青结
244,爷青结
245,爷青结
246,爷青结
247,爷青结
248,爷青结
249,爷青结。
250,爷春结
251,爷请回
252,爷青结
253,爷青结
254,爷青结
255,爷青结
256,爷青回
257,爷青结
258,爷青结
259,清洁工集结！
260,爷青结
261,爷青结
262,爷青结
263,爷青结
264,老川，你变了。
265,爷青结
266,爷青结
267,爷青结
268,爷青结
269,他是觉得死的差不多了
270,爷青结
271,泪目
272,爷青结
273,四百万贺电
274,之前不是说没有事不要戴口罩的。
275,爷青结
276,爷青结
277,爷青结
278,最终活成了自己最讨厌的亚子
279,老清洁工了
280,真   香
281,爷青结
282,爷青结
283,老青结工了
284,都是一群老qingjie
285,爷清洁
286,当你被威胁了请眨眨眼
287,爷青结
288,爷青结
289,爷青结
290,爷青结
291,前面的四百万恐怕早就到了，检查出来400万人只是时间问题
292,懂王
293,o o
294,400万+
295,爷青结
296,爷青结
297,猥琐发育别浪
298,猥琐发育别浪
