,comments
0,前面假的第一次看纪录访谈吗，情境再现不懂?
1,致敬
2,团队氛围不错
3,西城大爷
4,天呐，60 岁看起来这么年轻……
5,读2字看次稿，还是天津那位厉害
6,我们也喜欢看0
7,消毒液过分了 哈哈哈
8,相比之下，美国根本不可能做到我国这样的严格管理和筛查，所以他们几百万几百万应该也只是查出来的，更多都遮掩着呢
9,只要有点阅历的人都知道，太多敬业的人们把黑暗挡在了我们远远看不到地方
10,辛苦了！
11,同！
12,太喜欢面对面了！
13,我也是！
14,辛苦了
15,30岁还差不多
16,看起来像30岁的
17,致敬！
18,这 。。。。。。。
19,60岁？？！
20,.....
21,这个人就是个憨憨
22,哇，她说话好温暖
23,不听劝啊
24,我的天，60岁这种精力，超越99%的人了
25,？？？我不信！
26,60？现在的人这么不显老的吗？
27,这60？？？
28,这60？
29,破坏警报器 外出几次
30,长得好年轻啊
31,辛苦了
32,近着看年龄大些
33,？
34,？？？60岁？？？
35,为每一位英雄点赞！
36,“星星之火，可以燎原”
37,这个电话情节，有点假啊！
38,通惠河
39,这不是才30岁的姐姐吗
40,60？？？？？
41,60？
42,特别是不能教大家注射消毒液
43,可怕
44,？！这居然60
45,61！？不像啊！
46,强
47,60岁真的不像
48,近看差不多，染发也有关系
49,这声音也不像啊，一直以为40多
50,60？？？？？
51,你说三十多我都信
52,60？？
53,这是大佬
54,声音都不像60的人！
55,这60？？？？？？？
56,我发现我爱上央视新闻了!
57,一直以为40多……
58,我不信，这也就40岁
59,非常果断.
60,啊这
61,60？？？？？？
62,皱纹少，染黑头发就显得很年轻了
63,这明明只有三十岁！
64,她有60？？？我一直以为她35 36左右
65,有点像沈逸
66,wc，108这个数字真的有毒
67,副厅级
68,庞主任穿衣很有品味，特前卫的那种。
69,这你说60？
70,绝对应该配合
71,辛苦了
72,非常小心，打牌聚堆
73,致敬！
74,你跟我讲这是60。
75,60?
76,居然60岁了
77,aaa
