,comments
0,贷款上班
1,硬汉，硬气
2,硬气
3,我们新闻播报练得就是硬骨头六连
4,硬
5,硬气
6,致敬！
7,曾嘉凉
8,硬气
9,贷款上班
10,致敬
11,我跟鼓浪屿8连军训的
12,敬礼！
13,大功六连
14,致敬
15,硬气
16,铁拳团
17,生日的别走
18,八月一号我生日然后那天出中考成绩。。。
19,硬气
20,硬气！
21,哇
22,印气
23,致敬！
24,8月1号正好是我生日唉
25,有集体一等功
26,硬气
27,硬
28,硬
29,亮剑精神！
30,跟着6连军训过！我骄傲！
31,这段让康辉来讲，效果可能更好一下
32,二团啃骨头九连的有没有！
33,钢七连的等我
34,硬气
35,平安经
36,不是钢七连么
37,硬
38,迟到了一个小时。
39,硬气！
40,生产者的最后防线
41,帅极了！厉害极了！佩服极了！
42,兄弟们把公屏打在硬上！
43,ohhhhhhhhhhh
44,军中之军，钢中之钢
45,这才是偶像
46,超级硬气
47,封面你细品
48,妙语连珠
49,硬气：形容为人刚强，有骨气。
50,梅花香自苦寒来
51,宝剑锋从磨砺出
52,还有两天八一
53,帅哥！
54,整齐
55,呀
56,2
