,comments
0,辛苦了！！！
1,辛苦了
2,穿那么多脸都热红了
3,不容易
4,加油！！！l l
5,辛苦了
6,2020年光加油了
7,武汉表示早就做完了
8,大连加油！
9,最后一面
10,大连人真没想到大连会以这种方式出名……
11,吉林为大连加油
12,辛苦了，小姐姐们
13,这是真的，毕业之后真的很难再见一面。
14,工作人员太辛苦了
15,海鲜没有肺，为啥不能吃
16,记者有点沈阳口音
17,一切平安
18,大连加油
19,吉林为大连加油
20,都好热情啊
21,大爷好可爱
22,回不去学校
23,人家是留学国外，回不去学校，开啥炮？
24,辽A为辽B加油！
25,大连加油加油！！！
26,记者的口音哈哈哈有点亲切
27,海蛎子加油
28,加油！大连一定行！
29,起码要20亿
30,各位这是大连啊，挨着海，海鲜很便宜的
31,阿姨严谨，赞！
32,加油
33,羡慕海鲜
34,坚持
35,加油！！！
36,情况不紧急就分片做，更清晰
37,毕业之前在学校见的最后一面吧，一个个挑什么毛病
38,大连是东北的！
39,不算东北算华北？搞笑
40,那个女生只在乎自己，哪里管你工作人员辛苦，看看她的表情就知道了，还翻白眼
41,醫護人員辛苦了
42,大连加油！
43,辽C为辽B加油
44,鞍山为大连加油
45,那个大连boy还记得吗？
46,始祖鸟的帽子好评
47,热，心疼他们
48,这是自家姥姥家的冰箱了，满满的
49,加油啊！
50,有钱
51,石家庄得我
52,石家庄人为大连加油
53,石家庄人为大连加油
54,sahekou
55,最后一面可还行
56,鄂A为辽B加油！
57,北方买菜是真的吃一个星期的嘛？
58,辛苦
59,加油哦
60,做好了长期战的准备
61,大热天的，别光加油，空调给人安排一下吧
62,加油
63,大连加油
64,大连老人普遍结巴吗？
65,买这么多没必要。放起来他就不鲜了啊！老人就是喜欢贪多…
66,你不对劲?
67,辛苦了
68,加油啊
69,辛苦了
70,在国外才叫回不去吧
71,辽E为辽B加油
72,辛苦了
73,平安平安！
74,加油
75,大连加油
76,漏油
77,大连加油！！！
78,这个天真的辛苦了医护人员
79,武汉没身份证也可以测，报身份证号码就行
80,一天下来一鞋子汗水
81,大热天穿这个是真的热
82, 亲友们加油
83,福建为大连加油
84,三明为大连加油
85,辽G为辽B加油
86,大连加油
87,小孩子说话不完美很正常的，一个个挑毛病真的讨厌
88,大连加油！
89,大连加油
90,大连加油
91,还吃海鲜
92,新希望好贵
93,最后一面也太真实
94,遵义人为大连加油！！！
95,大连加油
96,这个天气穿防护服不得闷气啊
97,辛苦了
98,辽N为大连加油
99,加油
100,脱氧
101,加油
102,加油
103,加油
104,大连加油
105,希望病毒有事
106,有朋友在大连，我今年还去过大连，大连是很美丽的城市，希望大连快点好起来
107,最后一面啊？
108,脸都晒红了，小姐姐辛苦了
109,祝大连早日安康，家人在大连，一切平安，加没
110,辽D来了，给辽B加油！
111,老大连人
112,沙河口德
113,我的家
114,太不容易了，这么热的天
115,辛苦了
116,加油！
117,同学：最后一面？？
118,我人傻了，吃个海鲜有问题？？？听风就是雨，我说蔬菜被病毒污染你就不吃蔬菜了呗
119,加油！！！
120,大连小伙~~
121,感觉是韩国人
122,凯阳
123,凯阳
124,呵呵
125,或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或或
126,苏B为辽B加油！
127,幸福
128,应该采访你
129,大连加油
130,海蛎子加油
131,红字说话动点脑好不好
132,鄂C为大连加油
133,辛苦了
134,黑龙江为大连加油
135,大连夏天很少上30°
136,6-800w
137,在国内读大学，假期结束开学不叫回学校么？
138,羡慕了
139,加油！
140,说不热的都是瞎说，这两年大连夏天经常三十多度的
141,沈阳人为大连加油
142,大连加油
143,龙口粉丝
144,哇
145,哈哈哈哈
146,辛苦了
147,运城人为大连加油
148,熟悉的剧情
149,全大连市应该是至少有600万人，按照一人检测一次一百块钱算的话，至少花出去六个亿
150,大连加油
151,辽K为辽B加油
152,加油加油加油加油加油
153,大连加油！
154,辽J为辽B加油
155,北京也是直接刷身份证
156,人家说的回是回不去学校，别抠字眼好吗，谁从家乡去外边上学不说回
157,江苏为辽b加油
158,上面的，我也是石家庄的
159,安全回家
160,辛苦
161,辛苦了，大热天
162,南关岭小学那天到晚上12点半左右
163,说实话，在内地平常百姓家这些只能偶尔买
164,大爷眉毛黑黑的
165,能通过塑料袋传染 不是防不胜防？
166,大连海参排面，哈哈
167,平安
168,脸都是红的，很热
169,脸都是红的
170,大连加油
171,大连加油！
172,靠海吃海
173,希望大家注意休息，不想再看到过劳出事的新闻了！！！
174,回
175,大连目前不是太热
176,可爱多嘛？
177,北方买菜按吨买
178,加油
179,最后一面……
180,大连加油
181,大连没上过30℃
182,大连这个夏天不热
183,这记者是沈阳口音
184,太不容易了，辛苦了！
185,天哪，穿防护服好热呀！
186,刚才那一幕是在和平广场
187,沿海地区产的海参一般问题不大
188,前天我们那个点干到十点
189,我们小区今天测完，
190,巧乐兹
191,比较快？
192,安心(-ｪ-)｡o
193,海参正经的海鲜
194,脸都晒红了，那些靠脸的明星们你们需要加油了！
195,是中国人我为祖国自豪
196,不是又吗
197,大连加油！！！
198,加油
199,防护服超级热
200,医护人员辛苦啊，这么热的天，防护服要命
201,结巴老爹好几天都没更新
202,大家都加油
203,辽N为辽B加油!!!
204,跟我家一样我爸也专门整个小冰柜，专门放冻的东西
205,说不贵的你买一冰箱试试
206,辽K为辽B加油！
207,大学生有什么好嫉妒的？
208,辛苦了！加油
209,突然想到外耳道多毛症（生物学考后遗症. doge)
210,高风险地区的海鲜禁了吧
211,希望没事
212,牛。加油
213,cnn同款阴间滤镜
214,看着好热啊
215,丹东人为大连加油，东北的一定要好好的！
216,红字干啥呢？咋的你了，说的是客观事实啊，嫉妒人家留学呗?
217,大连？？？？妈呀离山东好近我们山东要提高警惕了……
218,今天刚做完
219,我去检测的那天一直到晚上11点半
220,大连加油！！！！！
221,大爷果然还是你大爷
222,你多大 还最后一面
223,一切平安
224,大连哈尔滨都出美女的地方
225,大连 丹东 烟台 桓仁 盖州口音都差不多的
226,好可爱
227,大连海鲜不贵吧
228,丹东人为大连加油
229,太热了天
230,真的很辛苦啊
231,感觉刚才那个女生不愿意了，好多那样的人，我都想怼他
232,小姐姐真可爱
233,武汉给大连加油
234,武汉隔离，长胖了25斤。现在还没减下来
235,大连人没有东北归属感
236,现在辽宁普遍气温30℃以上
237,还吃海鲜？
238,记者不像大连口音
239,还有玩具！
240,不过，真的需要拿这么多的资源做全员核算吗？
241,這是屬於中國的奇跡，紅色的奇跡
242,沈阳的 加油
243,護士們，心疼你們
244,這種天氣，這是要熱死人的節奏
245,结巴老爹呢
246,可爱多
247,加油！
248,检测完了
249,6666
250,普通话标准
251,实话
252,哈哈哈哈哈
253,在辽D为辽B加油
254,跟我老婆婆家一样，冰箱溜满
255,大连和烟台口音基本一样
256,大连加油
257,大连…海参挺正常的
258,你看那个手套就能看出来，全是汗
259,辽A为辽B加油！
260,后浪
261,美国恐怕回不去
262,和平广场呀
263,大连加油
264,辛苦了
265,武汉当时是随便做，哪方便就哪
266,辽阳人给大连加油
267,回不去(学校)，有什么问题？
268,大连加油
269, 最可爱的人
270,那身衣服 现在这个温度下，不出半小时就憋得不行
271,那是辽参又不是进口的
272,辽F为辽B加油
273,非常热
274,断绝外国海鲜
275,就是进口海鲜的把
276,dmu14级，大连加油
277,口音好熟悉啊
278,大连加油
279,大连都不算东北 太看得起了
280,大连海参非常不错
281,这肯定热啊
282,三伏天看着就热
283,海大学子为大连加油，临开学两天通知延后
284,加油！
285,啤酒节是取消了，唉……
286,@美国
287,还带送玩具嘛？爱了爱了
288,大连加油
289,海参是海参……
290,我们这社区就5个
291,加油!
292,700万常住人口，我外地的都知道
293,海蛎子加油，dmu11年毕业生
294,广西为大连加油
295,辛苦了
296,这一套防护服会不会很热啊?！
297,加油！
298,大连加油东北加油
299,大连加油东北加油
300,东北人真的爱吃
301,大连加油！！！！
302,我老家
303,辛苦了
304,大连加油
305,最后
306,还有个可爱多
307,大连加油
308,辛苦了，加油
309,头发白了眉毛还黑的
310,大连确实牛
311,大爷果然还是大爷
312,大连加油
313,我的注意点都在大爷的眉毛上
314,大连加油！
315,武汉隔离的时候那是个惨啊 刚开始啥玩意都没
316,来不及 我们是26凌晨社区接到通知的
317,你们要是这么加油就涉及到我的知识盲区了
318,走私进口冷链害人啊，防不胜防
319,加油
320,加油！
321,昨天还看凤凰网大连海边全是人的新闻呢
322,辛苦了
323,这里是大连，目前状况良好
324,最后一面。。。
325,丹东为大连加油
326,拜托拜托，大连不吃海鲜吃啥
327,这是小妹妹
328,还是要看你大爷
329,大连不算东北算哪……
330,好家伙。。。
331,将近三百万，厉害
332,大连和烟台口音都差不多
333,辛苦了
334,朝阳人给大连加油
335,大连不算东北的你地理老师哭了
336,加油
337,铁板鱿鱼加油！！！
338,八月一号还得去大连考试，不知道考完能不能回家了
339,这得多热啊，脸都捂红了
340,外耳道多毛症，伴Y
341,奥力给
342,记者口音太亲切了
343,CNN滤镜？
344,辽M为辽B加油！！！
345,已经五年没有回过大连了 大连加油
346,辛苦辛苦
347,大连么，必须得海鲜
348,大连么，海参很正常
349,有钱/doge
350,大脸可还真是产海鲜呀
351,这天全套防护服闷死了
352,辽C为辽B加油！！
353,把生日取消了可还行[doge]
354,加油！！
355,辽B加油
356,大连加油
357,这眉毛好有喜感
358,同学：？？？？我可谢谢您了
359,这口音亲切得很
360,还有可爱多哈哈！
361,大连加油
362,加油！
363,12人负责1w人？
364,工作人员还没给发工资
365,大连加油
366,阴间滤镜
367,雪糕!
368,雪糕!
369,很热的
370,加油啊!一定要打赢这场仗
371,加油
372,？？？？
373,这口音是不是故意的哈哈哈
374,这次是真的在现场
375,大家都加油！
376,金州人瑟瑟发抖
377,月饼？
378,阴间滤镜？
379,大连地区吃海参还是很多的 不怎么贵 当补品吃很好
380,大连人在
381,想哭
382,大连加油
383,多少银啊哈哈哈 我们大东北口音
384,前面的那个 大连怎么不是东北了
385,这房子。。壕啊
386,武汉大检测的时候是直接刷身份证
387,这滤镜。。。这的别学啊
388,加油大连
389,这么热的天，辛苦了
390,大连算是东北的 东北三省是辽宁吉林黑龙江 而大连在辽宁省
391,和平广场旁边
392,最后一面。。。。。。
393,只是进口海鲜有问题，不要看见海鲜就害怕
394,东北三省，今年可太难了
395,铁岭人给大连加油！
396,大连加油
397,核糖？
398,我家旁边
399,我是大连长兴岛恒力石化的员工 由于工作特殊性 检测人员早上五点半就在我们班车站点进行检测 还好这两天不是很热 辛苦了你们 大连加油
400,辛苦，脸上好红呀晒得
401,鼻子好高啊这爷爷
402,大连上学，想返校读书
403,大连人少不了海鲜
404,不愧是大连大爷
405,一定
406,口音有点像烟台呀
407,本大连人已经做了两次核酸检测了
