,comments
0,致敬！
1,致敬
2,河北加油
3,致敬
4,致敬
5,致敬
6,再难熬，20年也过去了，加油
7,我当时在武汉只有两个字，非常的安静和宁静，白天几乎没有一点声音，安静的让人害怕
8,致敬
9,张骏
10,河北加油
11,感谢！
12,世卫专家说整个欧洲的机子都没有武汉多
13,有吃痛风犯了的
14,致敬
15,泸州口音
16,姑娘很好看
17,致敬
18,致敬
19,向大体老师致敬
20,致敬
21,致敬
22,致敬
23,致敬！
24,进度条感人
25,人民万岁
26,致敬
27,致敬
28,基本都会戴口罩
29,现在这里热闹非凡
30,提前放假
31,致敬
32,致敬
33,致敬
34,眼泪止不住了
35,我哭了
36,致敬
37,瑞思拜
38,泪目
39,致敬
40,致敬
41,有创呼吸特别干很难受
42,致敬
43,致敬
44,致敬
45,如果奇迹有颜色 那一定是红色
46,说实话一万多的那天反而踏实了，说明检测能力上升了很多
47,饱和式救援
48,致敬
49,安息
50,天使来了
51,热干面呀
52,致敬
53,致敬
54,没有人愿意劝他人学医，因为很难很苦
55,听拍摄者的哭声，
56,还没有，我们还得继续警惕，不能让先前的努力白费
57,夜尽天明
58,感谢
59,真的是到处都没有床位，没有床位
60,排过队的我，真的绝望当时
61,当时为了给父亲买药，开车经过半个空城武汉，只有警车和救护车
62,我刚回到武汉家里，武汉就封城了，老爸开始发烧了
63,致敬
64,武汉市八省通衢
65,泪目
66,致敬
67,致敬
68,致敬
69,致敬
70,封城印象太深刻了
71,英雄千古
72,饱和式救援
73,致敬
74,泪目
75,无数的双手撑起黄鹤楼
76,致敬
77,现在在去武汉的高铁上!!!
78,方方出来挨打
79,致敬
80,致敬
81,而方方，不奉献就罢了。明明需要鼓励的时候，你却一直泼冷水，一直找茬。所以才会被骂
82,但是你看国家一直在宣传正能量，在鼓励所有人。没有一句埋怨那些没担当的企业和个人。
83,讲真的，有很多奉献的企业，也有很多无动于衷的企业。
84,每次经过都感觉他们太不容易
85,顺丰京东流弊。整个疫情期间只有这两个物流没断过。
86,我老婆国企，她问我单位如果组织抗疫去不去。
87,社区的那些保安，大妈，警察，每天在寒风中。最少在路口守了70天。
88,我不批判很多疫情期间辞职的人，但我非常尊敬那些基层的人。
89,带着孩子，口罩也没有，因为等我反应过来的时候，口罩早卖完了
90,不要说你武汉人恐惧，连我在贵州都恐惧。
91,所以导致人手不够，医院的废弃物资都没人清理。
92,大家别喷我，我不是帮谁洗白。毕竟每天看新闻我也在哭
93,一句话就是，只有已经完全不可控了，才会封城
94,而新冠是真的到了武汉自己已经没有办法应对了
95,所以除非真正到医疗机构崩溃，不然不会封城。
96,谁都不会想封城。现代历史上封城，中国是第一个。
97,虽然很多病毒致死率原高于新冠，但其实只要医疗机构能应付。
98,其实大家如果去看看新闻就会发现，基本每年都有新的流行病毒。
99,我说了这么多，只是希望大家理性。我们不要以事后诸葛亮的身份去证明。
100,韩国因为中东呼吸综合征，关闭学校2000所，隔离1.6万人。大家可以去查查新闻。
101,中东呼吸综合征。致死率超过30%。人传人。
102,其实这样的事情出现过，可能没几个人关注。
103,大家会不会都想参照美国经验，毕竟人家那里才是最开始发现的。
104,我们再换一个角度，假设是美国先发现这个病，然后中国也有了。
105,我们换个角度说。假如封城后几天之内就发现这个病有特效药，可治。
106,我们现在说封城应该，因为我们都是事后诸葛亮。
107,主要是这个病以前没有出现过，所以谁也不能预计到危害会有多大。
108,刚刚采访妈妈，后面已经有婆婆的遗像了
109,谢谢大体老师
110,向大体老师致敬
111,中国牛逼！！！
112,加油！！！！
113,致敬
114,鸡皮疙瘩起一身
115,看着好压抑
116,我哭了
117,！！！！！
118,去时风雨锁寒江，归来落樱染轻裳，漫天飞花中，微笑望苍穹
119,千江有月映千山有情，人间最美是你逆风的身影
120,请安息
121,三层，我泪目了
122,向大体老师致敬
123,致敬
124,请安息，一路走好
125,解放军来了 人民就放心了
126,致敬
127,这个一闪而过的嘶喊真的很让人触动
128,我当时感冒了，害怕极了。
129,有一天就增长了一万多
130,最初的武汉，病了的老百姓，医生都太可怜了
131,至暗时刻……
132,大美丽尖700多万都没崩，资本家哪管穷人死活
133,致敬
134,致敬
135,努力到无能为力
136,致敬
137,边哭，致敬，我也是从2月8号到5月底，天天工作在武汉，经历了才知道生命的珍贵。
138,老奶奶走好，感谢
139,致敬
140,前方高能！
141,作为武汉人，谢谢国家，谢谢大家
142,人类英雄
143,水果碱性的，不怕
144,致敬
145,致敬
146,致敬
147,这咳嗽声~~瘟疫公司
148,这个姜学庆医生在金银潭80天里也记录到了，还捐献了遗体
149,就是这一天，我武汉的医生朋友让我过年不要回武汉，不要乱跑
150,致敬
151,好多血
152,肯定有更加需要的地方吧
153,致敬
154,致敬
155,当时看着雷神山建起来
156,code black
157,人民万岁
158,致敬
159,请安息
160,致敬
161,致敬
162,致敬
163,鸡皮疙瘩起来了。爆哭
164,我大江西
165,2020失业了
166,向大体老师致敬！
167,致敬英雄、尊重英雄、崇拜英雄、争做英雄！
168,请安息
169,我们小区感染97人 走了7个
170,致敬
171,致敬
172,请安息
173,致敬
174,哈哈哈哈好真实朴实
175,每一个基层工作者都很伟大
176,太亲切了吧 这个方言 本四川人表示 家家完全一致
177,ecmo可以说是医疗手段的最后办法了
178,帮心肺工作
179,好多小细节
180,除了中国 这个操作没有国家学得来
181,云监工
182,那段时间每天睁开眼第一件事就是看新增人数
183,基建狂魔她又开始了
184,河南牌面
185,中央强大的统筹能力 地方的动员能力 还有每一个普通人的团结配合 都离不开
186,轻症很多
187,这个片子载入史册
188,海鲜市场背锅了
189,一开始被定性为谣言吧
190,跨年还
191,致敬
192,眼泪下来了。
193,所以数字化就医迫在眉睫。未来应该废除门诊部门，统一家内报号。
194,我的生日。。。
195,大四川
196,我的大四川！！
197,致敬
198,都是看过的视频。。唉。。
199,致敬
200,致敬
201,想我外婆
202,默哀
203,请安息
204,致敬
205,我就是三月初二生日的
206,明星出的钱出的力，就能算吗，明星不是公民吗
207,致敬
208,有时候的真的不是人力能抗争的，请安息
209,不吃饭没免疫力，吃点啊
210,老人的血管好难找的
211,所幸我是个中国人
212,致敬英雄
213,还好挺过来了
214,致敬
215,致敬
216,钟院士一锤定音！！
217,致敬
218,竟然听出了委屈~~
219,脑补瘟疫公司~~~
220,致敬
221,心里压力肯定非常的大
222,请安息
223,致敬
224,看这个感觉要窒息了
225,美团的衣服，饿了么的箱子，这个可以
226,主要谣言飞起，一点感冒全来医院了
227,哈哈哈哈哈哈哈，我渡劫
228,叔啊
229,书
230,致敬
231,没病进去也得病了
232,该死的武汉卫健委
233,方方跪着进来看
234,方方跪下
235,哭了
236,眼泪包不住
237,大家加油
238,表面看着城市空了，背后却是不分昼夜的付出
239,中国牛批
240,当时就在想，夏天快来夏天快来……现在秋天了，我们走过来了TAT
241,当时挤在想
242,这是我们经历的
243,致敬
244,致敬
245,医护人员不容易
246,0！！！！
247,太难顶了
248,难受
249,英雄!
250,哭了四次 太费烟了
251,我们社区的工作人员跟大爷一样  真的分人哦
252,太费烟了
253,武汉方言啊 家家 想我的家家了
254,致敬
255,黄医生大诗人啊哈哈哈
256,致敬
257,致敬
258,在上班看的视频  一直在流泪  幸好我们生在中国
259,捐献者都是升华的医魂！
260,朴实的一句话，太泪了，奶奶走好！
261,英雄们的血融入了国旗
262,温和的白衣战魂们！谢谢
263,还有牺牲了的医护英雄们，你们用生命保佑我中华！
264,谢谢在心里的声音
265,辛苦了！！！
266,社区基层和医院的医护人员一起分别打赢两个战场的战役，辛苦了
267,看看8月的西方，明明白白的
268,这些都是后来了，前期难上百倍，哎
269,国家不出手的话，不敢想
270,这次医疗救助不是纯粹的病理治疗，支援队全部都有心理辅导，救了很多人，感恩
271,好青年！愿意一起干！
272,武汉人都能清楚的记得，太压抑了，每天
273,2月是至暗时刻吧
274,到那个关头你不感谢运气？就这么说，到现在都没有特效药。
275,致敬！
276,孝感外婆也是家家
277,这就是我们经历的
278,重生了
279,马上要清零了
280,口罩小了
281,胜利要来了
282,这个速度好快
283,这个基建速度就是个奇迹
284,泪目
285,来了
286,坚持一会马上就来救援了
287,如末日一样
288,封城了
289,这个时候开始麻烦了
290,开始了
291,感谢！！
292,致敬！！
293,致敬
294,致敬
295,致敬
296,洪山
297,我们家也战胜了，我母亲重症都挺过来了，谢天谢地
298,我妈也是重症，我也是在疑似隔离点的时候，打电话逼我母亲吃东西
299,致敬
300,感谢有你
301,致敬
302,真的不容易，还好大家都挺过来了
303,辛苦！致敬！
304,烩面志愿热干面！
305,吉大人 骄傲！
306,致敬
307,尼玛100万一台要真是自己出一辈子也还不起
308,方方，来跪下
309,14亿中国都是英雄
310,想打麻将
311,致敬
312,致敬
313,致敬
314,致敬
315,致敬
316,致敬
317,致敬
318,致敬，一路走好
319,致敬
320,之境
321,2020年月31日
322,责任人是谁
323,叔最瘦的时候
324,致敬
325,致敬
326,致敬
327,致敬
328,致敬
329,致敬
330,忍不住了，泪崩了
331,致敬
332,我想我爷爷了…  我没有爷爷了…
333,不感谢科学治疗，感谢运气
334,请安息
335,致敬
336,致敬
337,致敬
338,40斤。。。
339,关门大吉
340,关门大吉
341,致敬
342,家家，就是武汉话的外婆
343,致敬
344,致敬
345,请安息
346,致敬
347,致敬
348,那个时候上火咳个嗽都怕自己得肺炎
349,哭死了看不下去了
350,不吃就代表要走了。。。
351,天塌下来也不怕，有解放军顶着。
352,费烟！！！！
353,致敬
354,努力到无能为力
355,泪目了
356,泪目
357,致敬医护人员
358,求这段BGM
359,我那时候就是在医院上二线班，也很累的
360,洪山
361,那时候我在武汉医院上班，一觉起来发现封城了
362,我低下头，也弯下腰
363,致敬
364,致敬
365,致敬
366,越看越觉得，方方不是人，真不是人
367,我不会理睬方方，但是我也不会忘记方方的恶行
368,我不会忘记方方的恶行！！！
369,不好意思了各位，方方这种人我真的恶心的不行，希望方方去世
370,向大体老师及家属致敬
371,向英雄致敬
372,致敬
373,学习了的
374,我当时也练着守了几个月大门
375,哭了
376,┭┮﹏┭┮
377,在擦眼泪，等会儿发弹幕
378,好小伙儿
379,医护人员太不容易了
380,感谢感谢
381,太难了
382,什么都遇到了
383,武汉不容易呀
384,像世界末日
385,国士无双
386,有些人再也见不到了
387,真的崩溃了，我朋友姑姑就是武汉第一医院的，人太多了，压力也很大
388,哭了
389,致敬
390,致敬
391,致敬
392,请安息
393,我们优越的制度优势！
394,请安息
395,致敬
396,致敬
397,万松园小区中间的广场，我家就在这后面
398,致敬
399,说公务员无用的人。此时脸打的响啊
400,一转攻势
401,致敬
402,致敬
403,致敬
404,致敬
405,致敬
406,眼泪直接止不住，大半夜的太刀了
407,这段看着眼泪不自觉就掉下来了，想我去世的奶奶了
408,在安静看呢，脑子里全是那段时间的记忆
409,还好我们挺过来了
410,34路通往我大学
411,致敬
412,致敬
413,泪目
414,感谢，致敬
415,致敬
416,没想到一线是这样的，哭了，致敬
417,哭瞎了
418,作为中国人，很自豪
419,哭了
420,致敬
421,看多少遍都会哭
422,致敬！
423,冒昧的问一下，奶奶最后挺过来了吗？
424,12月8日是我生日诶！
425,音容笑貌犹在，老人家走好
426,致敬
427,太耗眼泪了
428,加油丫
429,致敬一线战士
430,致敬
431,致敬
432,加油
433,英雄走好！
434,都是英雄
435,希望再也不开门
436,恭喜！
437,换人后好多了
438,当时的那几个星期确实太悲剧了
439,致敬
440,致敬
441,黄陂话
442,致敬
443,对不起，谢谢
444,致敬
445,伟大的中国
446,加油
447,谢谢
448,我为我是一名中国人而感到自豪
449,致敬
450,请安息
451,别别别
452,在武汉被困两个多月。外地的邻居怕我回来，各种难听的话都说了。。。人性啊，谈不上多么坏吧，普通人而已
453,请安息
454,致敬
455,已经狂掉眼泪了
456,这天开始参加武汉市的关爱活动
457,致敬
458,致敬
459,江西兔报道
460,希望国家抚恤这些英雄亲属
461,太难了
462,老太太在告状
463,钟家村！我家这里
464,谢谢奶奶
465,致敬
466,致敬！
467,致敬
468,感人至深的真实记录，某方不配出现在这里
469,致敬
470,前方高能预警！！！！
471,加油！！！
472,有！！！
473,叔！！！！
474,叔！！！
475,哭了
476,武汉很多人如果跑出那座城市也许就有床位和医疗资源，但是他们没有，
477,现在我们改变了局势!
478,我一个武汉人现在看这个感觉有应激反应
479,武汉医疗资源算不错啊都这么崩溃
480,致敬
481,英雄
482,所有医务工作者辛苦了
483,武汉谢谢你
484,泪目
485,祖国必胜
486,当时真的看着增长的数字哭，太黑暗了
487,不会吧？？？？？？？？？？？？？？
488,卧槽怎么了？？？？？？？？
489,哭了
490,哭了……
491,阿卡林
492,致敬
493,致敬
494,感恩
495,三月三湖北的也有习俗
496,致敬
497,看得好窒息
498,这才是真正的武汉日记
499,神兵天降
500,谢谢大家
501,这种视频，弹幕还是不要玩梗吧
502,致敬！
503,好漂亮的小姐姐
504,當時我也去守高速路口了
505,欢迎你们来玩啊
506,致敬
507,眼泪没有停下来过哭死我了QAQ
508,我在这
509,阿念好漂亮
510,致敬
511,情安息i
512,致敬
513,方方出来死
514,方方要被钉在历史的耻辱柱上
515,感恩
516,这口罩真的好小哈哈哈哈哈
517,致敬
518,好起来
519,致敬
520,哎 真的是
521,阿念好了 但是姥姥没了
522,这段受不了
523,致敬！！！
524,致敬！！
525,致敬！
526,又想起当时看不到头的绝望感了致敬！
527,致敬
528,那段日子在家看到什么都想哭
529,当时那种压抑的情绪又来了，那段日子太难熬了
530,泪目
531,我在上海是1.20才知道的
532,要哭了
533,加油
534,心疼
535,当时阴差阳错被隔离在亲戚家了，每天心急如焚找了好多志愿者组织，最后还是在社区才找到了上门消毒这样的工作，谢谢大家把其他要紧的工作都做完了QAQ
536,建造火神，建造雷神，世界上没有神，中华民族就是自己的神
537,致敬
538,请安息
539,致敬
540,致敬
541,灾难片既视感
542,英雄永在！
543,武昌医院的刘智明院长，身后哭喊的人，是他的护士长妻子
544,他们不是神，他们只是普通人有一分光发一分热，从来没有什么超级英雄
545,安息吧 安息吧
546,奶奶是走了吗
547,向着高远，支撑起生命和灵魂！
548,广西前来报到
549,致敬
550,致敬
551,致敬
552,致敬
553,致敬
554,如果不是封城，我们本该上班到23号的
555,历历在目
556,20号开始极度恐慌，人人自危，惶惶不可终日，每天疑神疑鬼
557,1.19开始买口罩但是已经买不到了，找家里给我邮寄口罩，N95已经20一个，有人买了花几千元买了一袋
558,致敬
559,致敬
