,comments
0,室内空气不流通
1,致敬
2,上次他是迫不得已 这次是真爷们
3,人性升华
4,呵呵哈哈哈哈哈哈哈哈哈
5,东北人
6,东北人
7,东北人
8,东北人
9,这是东北人
10,在武汉的辛苦还没有恢复，
11,300一套，天天多换一套呢
12,致敬，
13,小哥哥好样的
14,aj1
15,辛苦啦
16,这种防护服产能还没跟上？？？
17,从误打误撞到主动请缨
18,带英雄体
19,已经拍好电视剧了
20,肖央
21,卧槽
22,不是带状疱疹吗
23,很棒~
24,辛苦了
25,致敬
26,这整套装备还是，嗯，不便宜的
27,这一套
28,我长过疱疹 又疼又痒 这个这么多太难受了
29,动作熟练
30,药水哥
31,辛苦了
32,梅开二度
33,这不是北乐吗
34,瘦了帅了
35,俺之前在金普新区上学，大连加油
36,致敬
37,我靠，我家门口？
38,向你们致敬
39,辛苦了
40,辛苦了
41,辛苦了
42,辛苦了
43,买防毒面具吧
44,辛苦了
45,这少说得年度十佳青年
46,这哥们牛逼
47,辛苦啦
48,佩服
49,致敬
50,著名的九楼女神等候处
51,辛苦了
52,捂的
53,妈呀，这么严重
54,专业
55,室内传染的风险高啊，一天很多人去检测
56,瘦了
57,只看眼睛是和邓伦有点像，估计瘦了会更像
58,一双眼睛，黑白分明干净单纯
59,志愿者们都很棒
60,辛苦了
61,致敬
62,辛苦了
63,哈哈、
64,不缺防护服也不能浪费啊。。。
65,辛苦了
66,你们辛苦了
67,我的妈
68,东北纯爷们
69,勇士
70,致敬
71,肖央
72,辛苦了
73,辛苦了
74,致敬
75,奔涌的后浪
76,瑞思拜
77,讚
78,致敬
79,真的佩服了，牛逼
80,真是太辛苦了
81,哈哈哈哈哈哈好小伙还讲笑话
82,辛苦了
83,太热了 辛苦了
84,辛苦你了
85,节约总是好的
86,瘦了
87,辛苦了
88,有经验了，老手了~
89,加油！
90,呀卧槽
91,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
92,能拍电视剧还是一二集
93,好样的
94,在阴凉地儿呢
95,这是没关美颜吗哈哈哈哈哈哈哈哈
96,向你致敬！
97,传递呀
98,大连
99,闷的
100,这头发啊
101,致敬
102,太难了这么热的天
103,好样的
104,致敬!
105,游击队
106,辛苦了
107,致敬！！
108,这才是后浪啊
109,向大连致敬！伟大寓于平凡之中
110,了不起的小伙子！
111,再见 再相见
112,辛苦了，致敬！
113,杜海涛？
114,胖了胖了
115,致敬
116,辛苦了
117,致敬
118,哈哈哈
119,哈哈哈我记得你！！！！
120,大连加油
121,武汉市就看到了，真是都赶上了。
122,得痱子了
123,好样的
124,电视剧都不敢这么拍
125,辛苦了
126,肖阳？
127,手套都透明了
128,当代年轻人的榜样
129,致敬
130,这个哥们坐错了车莫名其妙到了武汉然后成了自愿者
131,帅了很多啊
132,都是好样的
133,楷模
134,有血有肉的鲜活的人
135,老铁，没毛病
136,姑娘叫大连
137,辛苦了
138,多脱一次就是多增加一次风险。
139,无限接近死亡，更能体会生命的真谛
140,又是你啊，小伙子
141,说放室内没常识么
142,致敬
143,拍一部电影吧！准备好电影票钱了！
144,辛苦了
145,大连小伙很棒
146,点赞点赞
147,哈哈哈哈哈哈哈哈
148,唉 硬汉
149,致敬
150,大连之光
151,休息了
152,东北纯爷们
153,这是连续集电影的素材都准备好了
154,辛苦了，加油
155,辛苦了
156,市内又不能开空调不是更闷，外面好歹通风
157,太热了，不容易啊，加油
158,这业务大连熟
159,也向你致敬。大连兄弟。
160,辛苦了
161,也向你致敬 你也是好样的！！！
162,原来是你！！！！
163,玫瑰花疹？？？体内毒素排不出去导致的？？
164,这是风团
165,太严重了
166,感动中国吧
167,致敬
168,续集
169,请给他好的工作
170,天呐
171,秀
172,辛苦了
173,辛苦了
174,比起明星，我更愿意看见像大连小伙这样伟大的平凡人在大荧屏上
175,好样的
176,加油
177,哥们，你害怕了你也是个纯爷们，强，给你一百个赞
178,向你致敬
179,大连之光
180,敬佩
181,辛苦了
182,辛苦了
183,辛苦了
184,致敬
185,小伙子棒棒哒！
186,他自己没家没工作么？
187,致敬
188,辛苦了
189,室内效率低
190,致敬
191,吾辈楷模
192,好样的，哥们！
193,关键不用培训
194,人的成长
195,不，他是蒋文强
196,榜样
197,武汉一行打来了新世界的大门
198,辛苦了
199,北方还好比较干燥，没太阳得地方就比较凉快，南方就哪里都热
200,卧槽！！！！这天气穿隔离衣在室外？！心疼！
201,可能志愿者们觉得，哪怕宽裕了也不能浪费，不浪费是美德
202,致敬！
203,这哥们太神奇了!
204,风要是可以透气一点，防护服也没用了
205,帅哥你谁
206,加油
207,开发区大剧院?
208,金马?
209,开发区?
210,人在囧途2连囧
211,一定会平安的！
212,瘦了
213,致敬
214,辛苦了
215,熟练的让人心疼
216,蝉鸣  看着都热
217,室内不好透风
218,致敬！
219,可以拍成电影了真的
220,致敬
221,很痒的这玩意
222,天哪心疼
223,大连小伙2
224,致敬
225,致敬，应该给他颁个奖以示鼓励
226,肖央，我认识你
227,人之常情
228,志愿者和医务工作者都不容易
229,我靠，这个咪咪嘎声，和我窗外的连上了
230,辛苦了
231,幸苦了
232,辛苦了
233,有望荣登十大杰出青年
234,回家你串没少撸啊
235,大连小伙你太难了
236,致敬
237,致敬
238,很棒
239,防护服重新穿也要一个小时。所以肯定不脱。辛苦了。致敬
240,致敬
241,是个爷们
242,致敬
243,这才是吾辈楷模
244,辛苦辛苦吾辈楷模
245,向你致敬
246,肉装肖央
247,辛苦
248,我们北方阴影处比太阳直射的地方凉快很多！
249,好样的，加油
250,致敬
251,加油
252,大连棒棒哒
253,致敬
254,上头了
255,可爱的人儿哦
256,致敬
257,那也是物资啊，怎么可以浪费
258,来回换衣服，比浪费更烦人
259,肖央
260,致敬
261,都是英雄
262,室内空气不流通很容易感染
263,致敬
264,好样的，保重
265,好好洗个澡睡觉。
266,我上学的地方
267,辛苦了
268,夏天室内开空调空气不流通，可能会增加危险吧
269,辛苦了
270,giang 刚 太可爱了哈哈哈哈
271,肖央主演~
272,勇敢啊
273,回家又胖了
274,是平常人都会怕
275,辛苦了
276,瘦了
277,希望出一部歌颂医务工作者的电影
278,能不能涂点药膏
279,防护服我们现在应该有宽裕了吧，可以不用那么节省的
280,好样的
281,不，你是肖央!!!
282,在楼里就真的是闷啊
283,但有的时候在外面啊也许会有风过来会透气一点
284,辛苦了
285,辛苦啦
286,我的天
287,唉我竟然笑不出来
288,辛苦了
289,加油，致敬
290,致敬
291,辛苦了
292,牛逼大连爷们
293,室内检测有感染的不都传染了吗
294,好样的
295,脸上都是热毒瘤斑，都凸出来
296,熟练的让人心疼
297,辛苦了
298,棒小伙
299,兄台又来了?
300,致敬
301,好样的 
302,大连！
303,哈哈哈哈
304,我们向你们致敬
305,辛苦了
306,小伙好样的！！
307,辛苦了
308,感谢奉献
309,感谢
310,那个手套已经都是汗水，沾手上了
311,太有代入感了
312,室内人员拥堵，一旦有感染者也增加传播风险啊
313,哈哈哈哈
314,cnn：横尸街头的患者
315,热啊
316,室内检测传播风险高
317,也向你致敬
318,不容易
319,哇塞，真的辛苦了!
320,点赞
321,这才是吾辈楷模
322,又是你啊，大连
323,致敬
324,加油加油
325,辛苦了
326,致敬！加油！
327,电影都不会这么拍
328,市内人流密集不通风，更容易传染，还不能开空调，都不如室外
329,胖了
330,拍电影吧
331,致敬!
332,致敬
333,致敬
334,辛苦了
335,太棒了
336,新闻周刊
337,妹子不错
338,辛苦了
339,又瘦了
340,考研人的耐热能力
341,张嘴抬啥头？
342,辛苦了
343,现在的温度我光是出门戴口罩都闷一脸汗...
344,密闭场合病毒容易传播
345,为啥不可以在室内检测？现在夏天确实太热了
346,真的辛苦了
347,大连最帅小伙
348,误入？？？
349,亲切的大连口音
350,好人一生平安
351,真爷们
352,辛苦了
353,太辛苦了
354,我辈楷模
355,我们大连医护人员真的辛苦了
356,我也是大连人，做了两次核酸了
357,太热了，闷的
358,爷们
359,有志青年
360,辛苦了
361,这么热的天，这些抗疫人员真的辛苦了
362,辛苦了
363,致敬
364,这么热的天穿防护服真的不容易
365,加油
366,致敬
367,致敬！
368,累坏了好好休息休息吧
369,真了不起的小伙子
370,辛苦了
371,这笑话太冷了哈哈哈哈哈哈哈哈
372,厉害了老哥
373,真得太辛苦了，致敬！
374,致敬
375,哈哈哈
376,小姐姐漂亮
377,幸苦了
378,瘦了好多的感觉
379,致敬！
380,猛男
381,卧槽
382,加油吧
383,都有经验了，贼麻溜
384,不容易
385,是因为戴口罩吗？都吾出来痘了
386,我宁愿不要这个DLC
387,辛苦了
388,卧槽这么多啊
389,也向你致敬
390,辛苦了
391,三伏天还穿着防护服，真的很不容易
392,地面吸热快 放热也快
393,致敬
394,辛苦了
395,汗透了
396,这是续集
397,优秀的小伙
