,comments
0,？？？
1,公知震怒！！
2,fake news！
3,恭喜恭喜恭喜
4,红红火火恍恍
5,活该
6,慢慢来，不要着急我们，疫苗我们慢慢谈条件 慢慢谈不着急
7,讲真我是不会同情美国人的，美国平民一样对中国有很强烈的偏见
8,戴口罩也晚了，慢慢来哈哈哈
9,希望美国解体
10,假新闻！！！！（滑稽）
11,假新闻
12,假新闻
13,600w
14,白给之国
15,590W来考古
16,600 W了
17,600万了。。。加油美国
18,川宝  中国最伟大的大臣
19,特宝宝nb！
20,大片的既视感
21,做个人吧
22,太可怜了啊啊
23,厉害了
24,呵呵
25,自由
26,小可怜
27,美丽风景线
28,美国小孩太可怜
29,冲冲冲
30,他的意思是太慢了，3-7天等结果，感染的人早传更多人了
31,还是个人嘛
32,疫超多强
33,见证历史
34,美国的时代也该结束了
35,有趣
36,特不靠谱，特不要脸
37,说这话还是人吗
38,宝贝加油
39,相当于中国计算方法的8%多
40,569，今天8月23日
41,马上破600了
42,Make America great again!
43,600万了
44,假的
45,胡   佛   再   现
46,一两天？你在逗我？
47,翻译没问题
48,阴间BGM
49,福奇：学医救不了美国人
50,566万咯
51,今天是个上坟的好日子啊！好日子啊
52,川宝真是我辈之幸啊
53,FAKE NEWS
54,写本日记
55,恭喜恭喜
56,美国这个国家根本就不值得我们去同情，你现在去帮他，反而他会变本加厉，流氓国，死不要脸
57,美国这个国家不值得我们心疼
58,方方老苟在哪儿？
59, Fake news.
60,当然是给有钱的那个用呀~
61,fake news
62,弹幕太无情了，变质了，美国全是坏人吗？
63,惨
64,别用这阴间bgm了
65,当 代 胡 佛
66,fake news ！next！
67,恭喜恭喜
68,杀千刀的
69,自找的
70,心疼
71,狼人杀，今日说法
72,太对了
73,希望是一场梦
74,迈叔三阶了
75,正道的光
76,弟弟也死了
77,不会吧，不会真的有人以为这种病毒等它自己扩散久了，然后就没了吧。
78,疯了
79,弹幕打下面挡字幕的都啊傻缺
80,喜闻乐见
81,喜闻乐见
82,心疼小朋友
83,弹幕素质被狗吃了？
84,全世界的无产者团结起来
85,加大力度
86,不够啊
87,美股大涨，历史最高值
88,那就让他大部分都有。
89,年化率，冷静
90,福奇真的惨
91,不是检测应该免费的意思
92,要联系上句
93,翻译对的，就是一文不值的意思
94,自由万岁
95,继续继续继续继续继续继续继续继续继续继续继续继续继续
96,哈哈哈哈哈哈哈好好好好
97,哈哈哈哈哈哈哈好
98,希望人不要没事
99,好
100,心疼
101,好 很好 非常好
102,美国人好胖
103,loser
104,即将完成他的使命，并荣归故里
105,哈哈啊哈哈哈哈哈哈哈哈
106,这不太好吧
107,懂王只为自己
108,加油突破千万
109,老懂王了
110,起飞
111,川宝宝：你们都是假新闻，我厌倦了胜利
112,17w了
113,哦！这真是美丽的风景
114,欧美病夫
