,comments
0,肖央，你兄弟
1,要
2,致敬
3,超期待，这辈子最期待了
4,患者
5,小伙才28，让肖央演的是认真的吗
6,邓伦可以期待
7,哇邓伦啊
8,完了，又有感情戏
9,可以本人出演的啊！！！
10,他瘦了吧？好像。。
11,邓伦！！
12,男二，三，四
13,邓伦！！！
14,邓伦！
15,好像肖央
16,辛苦
17,主要是包吃包住
18,好人，一生平安
19,肖央，rookie
20,牛逼啊啊啊啊啊啊啊啊
21,期待鸭
22,肖央
23,邓伦
24,扫地工
25,要
26,这兄弟还进了阅读理解
27,应该让肖央来演的
28,肖央？
29,邓轮演技可以的
30,哈哈哈哈哈哈哈哈哈啊
31,听说【在一起】清了肖战？那我不看了
32,应该找个和大连长的像的，胖点的
33,哈哈哈哈哈哈哈哈哈哈
34,期待
35,他怎么又隔离了？
36,期待！！！！！！！
37,哇好棒啊，支持
38,邓伦！！支持
39,不是肖央啊
40,确实肖央有点像
41,卧槽，他演
42,真希望黄波演
43,换个人演行吗
44,总让我会心一笑！
45,瘦了
46,真帅
47,包吃包住
48,永远可以相信宋义进
49,ig都输了可以叫Rookie去演大连话和韩国话很像都是海蛎子的味道
50,演员东北味应该再强一些
51,邓伦！！！
52,卧槽
53,说找大连演的 又不是谁都会演戏
54,哈哈哈哈哈哈
55,感觉筷子兄弟演更合适
56,Allen
57,Allen
58,劝退
59,全退…
60,找肖央啊  
61,哈哈哈哈
62,好想看，啥时候播阿
63,瘦了
64,肖央？
65,邓伦就是东北滴呀
66,觉得邓伦很适合这类型的影视
67,加油！
68,可能选的演员太帅了，没有那种平凡中的英雄的感觉
69,伦伦！
70,邓伦好帅哈哈哈
71,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
72,我也感动qwq
73,第一眼以为是肖央
74,误入演艺圈
75,邓伦啊
76,肖阳
77,我先笑
78,让肖央来演嘛哈哈哈
79,邓伦挺好的啊
80,虽然有点逗，但向你致敬
81,期待
82,要！
83,应该找肖央演
84,还被邓伦演了
85,邓伦？？？？？
86,找任重啊
87,找邓伦是拍偶像剧去了
88,真的找错人了
89,肖央肖央肖央
90,要是肖央来演更像
91,邓伦，哈哈哈哈，要看
92,你才是主角
93,肖央演比较好
94,啊不是真的很肖央好像啊
95,邓伦演技好
96,期待！
97,咋不让肖央演？
98,肖央
99,为什么不是肖央
100,邓伦演技可以的
101,卧槽！好想看！
102,ohhhhhhhhhhh
103,？？？
104,邓伦啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
105,？？？？？？谁演的？
106,我们做过这个阅读理解！！！
107,邓伦我老公！
108,唔哩伦伦
109,我居然做过这篇改编的英语阅读
110,邓伦？
111,选角好不好关你屁事这么欠吗
112,期待！
113,眼睛挺像
114,……
115,这家伙跑武汉兼职去了
116,这应该找肖央
117,患者吧
118,肖央
119,你瘦了
120,主角就行
121,演病人吗？
122,我们也很期待
123,我刚看到这个漫画。
124,眼睛还挺像
125,让本人去演不行吗
126,肖央啊！！！！
127,期待
128,会期待的！！
129,肖央和腾妹演可能更合适
130,加油
131,期待
132,可以吹一辈子了
133,有演技不就好了，为什么非要长得像啊，你看都没看就说选角选错了？
134,刘晓骞
135,应该请肖央啊！
136,司机！热着市民！！？？
137,要啊
138,邓伦男粉在这里
139,邓伦不配
140,不应该让这么帅的演啊
141,找肖央演啊
142,可以
143,邓伦演技还是可以的
144,比邓伦还高
145,邓伦劝退
146,我们英语考试考过这篇短文
147,已编入某省英语中考阅读题
148,能让大连自己演吗
149,选邓伦真有眼光
150,肖央多符合啊
151,病患
152,帅
153,哈哈哈哈
154,还有点像
155,应该请肖央
156,肖央！
157,沁沁
158,谁说选角应该就按原型一模一样，能把这份感情演出来就好了嘛？抬什么杠
159,邓伦er！
160,肖央不演吗
161,为何不是肖央主演
162,。。。。这么快？？？
163,邓伦劝退
164,邓伦是邓伦啊
165,邓伦我来了
166,邓伦我可
167,邓伦啊我要看
168,主要是啥，主要包吃包住
169,肖央哈哈哈哈哈
170,肖央，是你
171,邓伦演技不错
172,应该让肖阳来演
173,选角感觉不够好
174,邓伦李沁？这是有戏啦
175,找的个什么人演啊，这张脸首先就不行
176,期待啊
177,卧槽
178,要
179,好！
180,体型不像
181,刚刚那个演员没有这老哥的气质。
182,李沁！！！
183,哈哈哈哈
184,邓伦啊哈啊哈
185,肖央是个大叔，就算长得有点像，原形可是个小伙子啊，找年纪大的不合适
186,竟然是邓伦哈哈哈
187,筷子兄弟
188,我要看
189,对您的期待比任何明星都高
190,冷宴华我知道是你
191,真人好高啊
192,哈哈哈哈
193,？？？？
194,优秀！
195,肖央
196,邓伦？
197,电视剧太长了
198,肖央呢
199,你应该找筷子兄弟
200,患者？
201,是肖央就好了，演技更好
202,感觉魏大勋合适
203,ohhhhhhh，邓伦
204,应该再胖一点哈哈哈
205,邓伦吗
206,应该请肖央的
207,期待！
208,大连比邓伦高诶
209,感恩
210,武汉感谢您
211,我是来看护士姐姐
212,我在快看上面也看到了他的抗疫漫画
213,好人一生平安
214,感动啊啊啊啊啊
215, 快兄弟呢？
216,为什么不找辽宁籍的演员来演
217,期待!
218,邓伦啊！
219,这就是青年人的偶像。真正的榜样
220,伦伦
221,我觉得真应该找个胖胖的帅哥来演
222,这不得喊肖央来嘛
223,为啥要邓伦演。。。
224,肖央
225,好的，肖央
226,谢谢您
227,汉囧
228,主演换成肖央
