,comments
0,伟大的国家给出了保障
1,国家顶级战力！
2,几个人的生命挽救一个人生命，太伟大了
3,前面两个争好坏的小学生呵呵了
4,天啊…
5,看头发可还行？学医挺好的，就是头冷！
6,真的眼泪在眼眶转了
7,中国nb
8,致敬
9,致敬
10,致敬
11,致敬
12,鸡皮疙瘩都起来了
13,中国牛皮！！！
14,华西排面
15,致敬！
16,泪目
17,没意识的时候是不痛的
18,嚯
19,一级暴露
20,这个是线上采访
21,面对面是这样的啊，前面的没看过节目？
22,gai？
23,散装江苏来了
24,主持人：咽口水www
25,这记者经验超丰富的，大家不用担心
26,国家包费用
27,心疼
28,我为我交的税感到自豪
29,昆明
30,已经不单单是一个病例了，可以说是一个国家支持的科研项目
31,无锡人好自豪！
32,饱和式救治
33,肺移植不止的，至少准备60万，80+的也有
34,Ohhhhhhhhhhh
35,QC30
36,ECMO转回来的其实不多
37,可以换，国内最好的是无锡人民医院和中日友好医院，都是陈静瑜带的，全球肺移植手术量第一
38,向辛苦的醫護人員致敬！
39,哈哈哈
40,感谢
41,感谢祖国妈妈
42,华西排面
43,医学奇迹，生命奇迹
44,中国天下第一！
45,真大佬
46,浙一浙二牛逼
47,祖国万岁！
48,百位天使一起和死神抢人
49,太不容易了
50,向捐献者致敬
51,太辛苦了。感谢所有医护
52,感动
53,此生无悔入华夏
54,感谢捐献者和家属
55,不幸中的最大幸运
56,太难了
57,小姐姐很坚强
58,大家都尽力了
59,老爷子求生欲真的可以，除了肺别的都正常
60,医生现在谈起还是兴奋，真的太难的了
61,全是中国顶级医生
62,感觉医生现在回想仍然激动，这也算是一种成就感吧
63,崔佛？
64,ECMO直接代替掉你的心脏和肺来帮你进行血液循环和呼吸
65,我以后一定要定期献血
66,医闹学着点，尊敬医生
67,!!!
68,被感染的风险也很大!!
69,大佬！
70,这个医生很像我们的班主任摘掉眼镜，估计戴上眼镜跟像
71,这个程度肯定在国外的直接放弃了。
72,姑息疗法……
73,致敬
74,致敬
75,我说的是有些弹幕
76,弹幕……
77,笑容
78,中国牛逼
79,膈肌估计都忘记怎么主动干活了
80,我觉得他不是患者更多的是和医护人员并肩作战的战友
81,医护人员
82,雷姆
83,致敬
84,右边的应该是专门的器械护士，负责准备需要用到的器械的
85,幸好国家出钱，不然根本没钱治啊
86,这得多少钱啊，美国肯定没钱救
87,前面的，这叫打架？
88,好聪明啊
89,面对面就是这样的
90,60万
91,不是遭罪吧，起码活了。
92,好可怕
93,真好啊
94,酸辣面…
95,陈老师！！！！
96,陈静瑜老师！！！！
97,辛苦了
98,上亿你也凑不齐说真的
99,正常情况必须考虑，换肺手术风险也大，一般情况斥巨资换了人没了或者瘫了，家属肯定也难以接受
100,没翻，我家新买的口罩就这样两边翘着
101,器官移植，有钱能移植，但成不成就不是钱的事了
102,致敬
103,哈哈哈哈哈
104,酸辣面！！！
105,邪风入体
106,致敬
107,看医术进步了吗
108,该让康复团队上了
109,感谢捐赠者
110,考虑医患关系，考虑家庭经济状况
111,记者就是背锅的，问的都是别人想问的
112,那碗辣汤会刺激呼吸道粘膜吧，感觉肯定对病情有影响
113,太可怕了
114,所以大家有病就要去医院
115,一个人花了几百万啊
116,太幸福了在中国
117,人工肺
118,等等等应该不是打瞌睡，面罩太重了呼吸困难
119,天啊
120,就是怕医闹的委婉说法。他们是人 不是神
121,能想象一个女儿有多绝望
122,陈院长nb
123,大自然放生
124,牛b
125,他们也会有压力，全国人的努力不希望到自己这因为失误毁掉
126,之前不知道哪看的所有重症患者治疗费用都在80万以上，哪个国家敢全免的，真的自豪
127,中国崛起
128,酸辣面（doge
129,前面的 国家包付
130,全靠眼睛
131,家属伟大，赐给陌生人新生
132,铅衣也只能挡一半多点
133,这个能量有了，不再收到限制，可以想怎么做就怎么做了，这是专业人才最渴望的
134,蓝衣神仙
135,这个眼神
136,我大无锡牛逼！！
137,厉害了
138,天哪，心理素质是真的很强。
139,感动
140,麦克很感谢你
141,老崔
142,你觉得问的不好你上！现在是记者采访，搞清问题；又不是心理咨询，需要安慰。
143,祖国牛皮
144,我靠
145,一个月得40万
146,啊这
147,julao
148,新冠是国家报销
