,comments
0,这不自由
1,大国风范
2,美国就是为国民着想，不让潜在危害出现在美国（滑稽）
3,真就大义灭亲呗
4,《自由》
5,难道不是应该限制美国公民出国吗？
6,你爱美国，美国爱你吗？
7,美国都快成病毒母巢了，谁去美国找死啊
8,你以为谁愿意回你美国吗
9,实际上墨西哥已经禁止美国人入内了
10,谁还回去啊！这是要强行作死吗。
11,留着给他国来医，美国可以省心又省钱
12,哈哈哈哈哈
13,住在外国的，有福了
14,为什么要回去
15,墨西哥有老美严重？
16,高晓松您回不去了啊，哈哈
17,高晓松您回不去了
18,高晓松您回不去了→_→
19,放心接下里的日子还有很多反操作
20,美国这吊样谁愿意回去
21,美国现在国内都成啥样了？心里没点逼数吗？还有脸说防外来别国感染。。
22,行了行了，谁比得上你严重
23,好呀，支持
24,禁止自己国家的人回国可还行
25,真是自由的国家
26,是个狠人
27,已经这么多了还在乎再多几个？
28,？？？
29,自由
30,美国NB！！！
31,不！这不自由啊
32,闭    关     锁   国
33,我觉得美国最合适群体免疫
34,《这就是美国》
35,主要是不想回去
36,这不是应该其他国家的操作吗？
37,美国霸气小护照
38,这，国内也差不多吧...
39,谁还比你严重啊
40,笑死
41,哈哈哈，还敢说美国是自由的吗？
42,谁还敢去美国?
43,这是在保护自己人吧
44,不是吧阿Sir，自己人呐？
45,你不祸害别人就谢天谢地了
46,野人国度
47,哈哈
48,美国牛逼！！！！！！500万就是厉害
49,自由！！！！
50,这不自由
51,这，我反正理解不了
52,美国是世界中心
53,这不就是杀红眼了吗？
54,哈哈哈哈哈哈哈哈
55,自己国家的人都想往外跑，还在这装逼
56,自己就是病毒载体，应该是全球拒绝所有美国人入境本国
57,美国杀疯了
58,我们再一次走在了前列
59,哈哈
60,疯了？？？
61,我感觉在国外的美国人都不敢回美国
62,回去是我没想法的。。
63,还回去美国是我没想到的。
64,人家还不愿意去呢
65,墨西哥严重。。。
66,太好了
67,别呀
68,我方是否也如此？
69,特殊的减轻国内医疗压力的方式
70,不愧是你
71,垃圾米国
72,自作孽，不可活
73,公知震怒
74,人家也不想回去啊
75,都那么多了不差那一两个了吧（滑稽）
76,闭  关  锁  国
77,矮大紧，你看到了吗
78,贼喊捉贼
79,妙啊
80,无法无天
81,不要过来啊～
82,可惜了，香甜的空气，只能他们自己享受了
83,美国霸气小护照
84,谁要回美国呀？
85,不是谁会想回去
86,你们别出来就好了
87,？？*
88,不会有人想去吧
89,⬆️请放心，黄字已经没有了
90,米国这操作牛啊
91,驱逐出境啊这是
92,真是搞笑
93,158
94,全境封锁3
95,放你出去，从此自由了
96,自己就是个培养皿
97,自由
98,所以禁止还是不禁止 怎么算有理
99,啊，这？！
100,现在不会有人想去美国吧  不会吧 不会吧  不会吧
101,建议直接从飞机上丢下去
102,墨西哥有你严重→_→
103,美丽国
104,我国不也是防止的嘛？这有什么奇怪的
105,啧啧啧
106,都已经成毒窝了，还嫌别人带毒
107,还说墨西哥？到底是谁防谁啊？
108,挺好挺好
109,谁跟你是自己人
110,都这德行了，还禁啥啊，直接搞群体免疫得了
111,这不自由2333
112,翻译出来给我听什么惊喜？
113,自由呢
114,那么美国的航母编队怎么算？
