,comments
0,红五星是俄罗斯军徽之一，也是俄罗斯空天军机徽，继承了苏联
1,雷霆嘎巴
2,管风琴。
3,乌拉
4,乌拉乌拉乌拉
5,魔法雷霆见
6,有载具的地方就有安东星人不是挺正常吗
7,乌拉
8,乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉
9,波兰会是新武器试验场
10,。。。
11,乌拉
12,刷苏卡是我不能理解的。
13,给力
14,达瓦里氏
15,女士们先生们跟我一起摇起来
16,乌拉
17,劲啊！
18,一次军演又要花多少钱啊
19,一起摇摆，就一起摇摆
20,帅帅帅！
21,还是保留了红星标识吗……
22,安东：这bgm我要了
23,乌拉！
24,这个音乐 哈哈哈
25,"这个BGM,不来个说唱可惜了。"
26,"这个BGM,不来个说唱可惜了。"
27,这个BGM，应该来个说唱。
28,俄罗斯人真的是能打就不要吵
29,乌拉
30,人家拍的好帅啊
31,乌拉！
32,毛子还是厉害的，中俄加起来，谁敢放肆？
33,有共同的敌人吗
34,乌拉
35,看来大家都准备了
36,什么东西
37,乌拉
38,好酷！
39,坐着打机枪
40,在现场 
41,俄罗斯舰队除核潜艇 一个能打的都没有。。。。
42,这飞机是真的漂亮啊
43,凯申狂喜（有端
44,苏卡
45,大号窜天猴
46,一般不会这么大规模军演，除非....
47,我特喵抖上腿了
48,乌拉
49,乌拉
50,估计是配合中国军演 让美国不要误判
51,su34鸭嘴兽
52,波兰:没错，正是在下
53,IFV ready
54,2S19
55,TOS1太阳地
56,Su34
57,Su24
58,Mi17
59,干翻美帝
60,这个。。
61,乌拉乌拉
62,乌拉
63,清库存
64,乌拉
65,乌拉
66,乌拉
67,这个视角吓得我一激灵......
68,是为了核裁军协议加码吧
69,天天军演？？
70,唯一的就是反恐的时候有点太虎了。
71,冲锋号！
72,气突苏
73,颜值既是战斗力
74,乌拉
75,中央军区啥意思？针对谁呀？
76,抖肩？
77,排雷火箭弹
78,喀秋莎的别逗了
79,死掉的毛熊才是好毛熊
80,管风琴
81,左右摇摆的是排雷的引爆索
82,未必是针对谁的呢。。
83,乌拉
84,乌拉
85,乌拉
86,乌拉
87,苏卡布列
88,yiu can really dance那位，怎么发的视频评论？
89,乌拉
90,平原游击队
91,能动手就别吵吵
92,乌拉
93,乌拉
94,乌拉
95,乌拉
96,以上出现的装备本次均有销售
97,乌拉
98,精苏狂喜
99,这BGM听得我摇头晃脑了
100,线控导弹你认真的么，那个线你看不到的，哪有这么粗
101,乌拉乌拉
102,神线控导弹，那是火箭排雷神线控导弹，那是排雷火箭
103,tos2
104,这是什么电影
105,乌拉
106,这火箭好猛
107,红色警戒
108,吹牛笔的
109,数字化俄军？？？？
110,馋毛子的武装直升机
111,排雷的
112,左摇右摆的那个应该是扫雷爆破索
113,哈哈，好像放了颗哑弹
114,大威天龙
115,......................
116,有红警里的句子
117,这个是排雷用的铁链
118,北约啊
119,主结构断裂
120,剑拔弩张，危机四伏
121,哦豁 看来有共同的敌人了
122,安东星(ღ˘⌣˘ღ)
123, 安要这
124,又在清库存了
125,这左右摇摆的是个啥
126,火箭弹掉地上了！！！
127,央妈改改营销策略哦
128,我拖鞋掉了
129,全世界都在军演……
130,还我河山
131,线控导弹
132,这电影够真实
133,动物世界的开头乐。。。
134,大帝你加油啊，川宝他，不服干他
135,好燃啊
136,喀秋莎！！！！
137,中俄可以联合一下 
138,这又是给谁看呢
139,鸟拉
140,苏卡不列
141,好帅
142,乌拉
143,好nb的亚子
144,↓解放军直呼快乐↓
145,攻顶导弹？
