,comments
0,厉害了
1,牛
2,西城大爷牛逼
3,很虚弱
4,首都就是首都啊
5,其实最危的是护士，医生可以不用进病房，一切检查采样都是护士在做
6,厉害
7,看黑眼圈。。。。
8,哈哈哈哈，我也膨胀了
9,治愈率非常高啊，这个还是零死亡诶
10,还是有实力啊。
11,公有医疗才是根本
12,你管这叫简易病房（后仰）
13,厉害了我大中华
14,国之栋梁都是
15,看来已经有特效药了
16,NB
17,中国人，要团结，西方没得空儿钻，就像苍蝇绕一圈就飞走了
18,中国人，你要自信
19,不愧为基建狂魔
20,6666666
21,泪目
22,地坛医院不在地坛...
23,这不是雾霾！这是雾！北京这几天湿度堪比重庆
24,不 你理解错了 这是强制性的 根本就没有不转的选项 不转就给你安排出院
25,致敬
26,致敬
27,体外循环
28,一般都回转，明知道收新冠你还不转胆子得有多大啊
29,强
30,当时给首经贸的都整傻了
31,因为不能委屈病人啊
32,哇，感动 都是英雄
33,应急病房都这么好。。。。。
34,那这些转移不了的病人到哪里去？不是说清空所有的病人吗
35,这个速度，
36,太棒了
37,辛苦了
38,从二元对立到连续统一
39,66+12
40,棒
41,这个记者的表情有点怪啊
42,医生们辛苦了
43,想吃鱼很正常，怎么嘴欠了，前面的做人善良点
44,这力度够大啊
45,中国牛逼
46,哎不容易
47,发展好快
48,@武汉啤酒节
49,致敬！！！！我膨胀了！！！
50,致敬
51,一看副院长就是做实事的，一问就能回答完全不迟疑。
52,时机把握的真的相当好
53,致敬
54,没有人吗
55,普遍性的家国情怀！
56,我骄傲，我是中国人!
57,全员配合
58,nb!!!!
59,老百姓给劲啊 要是闹起来就不是24h了
60,感动！
61,？
62,效率太高了
63,致敬
64,空间记忆大师-西城大爷
65,打错了，白衣天使！（doge）
66,精确到每个人，辛苦了白体天使们！
67,感动！
68,行动力MAX
69,我来承包空屏
70,有
71,6666
72,提前泪目
73,来了
74,厉害了我的国！！
75,中国NB
76,没人？
