,comments
0,爷爷是我的榜样 我也要开始持续地运动
1,？？我是垃圾呜呜呜
2,泪目了
3,致敬
4,AirPods
5,致敬
6,致敬
7,令人尊敬的前辈
8,汉普
9,武汉话
10,哭
11,泪目
12,跪了，大佬
13,致敬
14,王宁姐姐好美啊
15,66666
16,牛逼啊
17,口音大佬啊
18,致敬
19,一字不落看玩，只有致敬
20,致敬
21,卧槽
22,辛苦了
23,致敬
24,伟大
25,辛苦了
26,李姐
27,佩服
28,主持人是董倩吗跟户外采访不一样
29,被脸欺骗的身体
30,666666
31,厉害了
32,主持人好评
33,狠
34,汉呛给赞
35,历史告诉我们 以前得生活贫苦 好好珍惜现在的生活
36,爷爷辛苦啦
37,致敬！！
38,呼吸衰竭一型
39,全都是水汽 医护人员真的辛苦
40,泪目 致敬
41,明显AirPods啊 
42,我才30岁，我是个废人
43,致敬！
44,dna？
45,太牛逼了
46,结核病防治！！！
47,你大爷永远是你大爷
48,最幸福的人，在魔镜里看待的就是现在的自己
49,致敬
50,致敬
51,这个名字好听啊
52,天呐我都跑不了十公里
53,慈眉善目
54,挖槽。。
55,央视不打码好评23333
56,活到老学到老
57,哇哭了哇啊啊啊啊
58,前面说挣钱的，是猪
59,62年啊老大夫了
60,+1
61,致敬
62,武汉话太亲切了
63,辛苦了
64,是的  武汉话
65,亲切的武汉普通话
66,湖北人泪目
67,"前面说要挣钱的,你还是个人吗?"
68,反正是湖北话
69,武汉话
70,说钱的都是傻子
71,致敬
72,他把资源给其他人
73,犀利犀利！！
74,厉害！
75,不是武汉话，江汉平原这边的口音
76,八十多岁不容易啊
77,+1
78,他们都是国家的英雄，不要敲着你的键盘
79,前面的你以为他需要上临床这点钱吗
80,国之重器 国之栋梁
81,华为无线耳机？ 
82,病人指导医生
83,卧槽
84,致敬
85,好吧，我也要慢跑……
86,五公里我都受不了
87,？？？
88,这口音为什么有种莫名的舒服...
89,泪目
90,膝盖给您
91,这个年龄的老专家带的学生肯定遍布整个医疗系统的
92,我好惭愧
93,原来是老师。。。哈哈哈哈。。。
94,所以新冠没有带走他~
95,=。=
96,学习
97,老医生，身体很棒哦
98,致敬
99,他这种高级职称人事，医药费都是全免的
100,自己有个健康的身体才能给他人带来健康
101,强！
102,卧槽。。。。
103,辛苦了
104,太厉害了
105,十公里？
106,厉害
107,致敬
108,先驱者
109,腹式呼吸
110,他不差钱的。
111,致敬
112,寿比南山!
113,致敬
114,致敬
115,果然一辈子做医的，早已看破生死。。。。
116,辛苦了
117,这是湖北话吗
118,对不起，我废了，我二十一，您的一半量我都受不了
119,致敬
120,老人家不容易啊
121,我尽然看完了
122,辛苦了！
123,泪目
124,我跑5公里都是极限了
125,致敬
126,好强
127,致敬
128,太厉害了
129,工作量一样蛮大的
130,太强了！！！
131,致敬！
132,致敬！
133,致敬
134,厉害
135,致敬
136,大爷请收下我的膝盖！
137,老爷子 当心自己啊
138,强
139,对不起，我25岁我做不到。
