,comments
0,辛苦了
1,辛苦了
2,加油！
3,加油中国，加油大连！
4,不穿这么多，容易感染啊，
5,看这个防护服，好像是我们公司做的
6,炸酱面为大连加油
7,京东打钱
8,肯定是汗，最近天气热的要命
9,烟台人感觉很亲切⊙▽⊙
10,快递和外卖永远是最神秘的职业
11,辛苦了
12,辛苦了
13,辛苦了
14,辛苦了
15,京东nb
16,辛苦了
17,大连加油
18,哈哈哈像卖大饼的声嘶力竭的喊
19,王境泽好样的！
20,看京东感动少你啥心理哦
21,菜鸟的呢
22,京东顺丰好评
23,看路
24,可爱
25,辛苦啦
26,哈哈哈哈哈哈哈
27,好样的
28,感谢你们的付出
29,辛苦了
30,致敬
31,感恩有你们，
32,辛苦
33,大家辛苦了
34,声音都哑了
35,辛苦了
36,赞
37,这么热的天，装这么多，容易中暑
38,中国加油
39,不容易
40,辛苦了
41,辛苦了
42,帅
43,相比美国
44,加油奥利给
45,加油
46,辛苦了
47,我10岁来大连 说不出老家话 也说不出大连的海蛎子味...
48,泪目
49,京东和顺丰两个最让我放心的快递公司
50,大连真的很热
51,中国加油！大连加油！
52,辛苦了！中华民族是英雄辈出的民族！我们必定傲立于民族之林！
53,这里面得全是汗啊
54,真是辛苦了
55,加油
56,辛苦了
57,说到家里人语气立马变了
58,每个人都很有精神！辛苦你们了，加油啊！
59,辛苦了
60,味太冲了
61,辛苦了
62,我是
63,哈哈哈
64,从早上10点一直到晚上10点
65,点赞，辛苦了
66,和公司无关
67,谁**买小米
68,辛苦了  大伙都加油
69,辛苦了
70,致敬
71,海蛎子味
72,幸苦了
73,辛苦啦，
74,盛滨小区？
75,对道路很熟悉呢
76,感动
77,辛苦了
78,感谢
79,啊，这么严重啊，我还能不能回去啦
80,那段时间刚好是大连最热的时候
81,辛苦辛苦
82,社区工作人员辛苦了
83,大连人，棒！
84,天啊大热天
85,灾难是无情的，人心总是温暖的
86,致敬
87,辛苦了
88,真是辛苦啊 
89,盛滨小区
90,吓我一跳，我以为是王境泽
91,致敬
92,突然顿住这下真的泪目
93,说到大连就想到大连小哥
94,京东
95,感谢一付出平凡的人
96,辛苦啦
97,辛苦
98,辛苦了谢谢你们
99,辛苦了
100,辛苦了
101,加油
102,手动点赞
103,辛苦了
104,谢谢
105,谢谢你们
106,辛苦了，感谢有你们
107,泪目
108,辛苦了
109,安心在家
110,加油阿
111,京东打钱
112,狗东
113,加油
114,王境泽？王境淳？
115,大连牛逼!!!
116,金州欸
117,海蛎子味道哈哈哈
118,辛苦了辛苦了兄弟们
119,牛
120,牛
121,牛
122,牛
123,牛
124,谢谢
125,牛
126,辛苦了！
127,个个都是好样的
128,真的 看到京东感动一下就少了很多
129,辛苦啦
130,泪目啊
131,美丽国学一学好不好！！！！！！！！！！
132,点赞点赞
133,伟大的普通人！！！！！好人一生平安！！！！！
134,核酸检测（重要事情说三遍）
135,感动
136,京东可还行
137,泪目
138,有小哥哥们真好
139,多灾多难的一年啊
140,大连棒棒
141,哈哈哈哈这不我家小区吗
142,快递小哥真好
143,辛苦了
144,辛苦了
145,恐怖
146,大连人素质很高的
147,辛苦哦
148,说的好
149,辛苦了
150,给你们点赞
151,集体主义的光芒
152,加油啊
153,这波宣传厉害了。
154,柠檬派？
155,辛苦了
156,有内味儿了
157,尊敬！
158,谢谢
159,没弹幕？
160,辛苦了
161,0弹幕？
162,快递和外卖果然是个神奇的行业
163,这是汗吗，真的辛苦了
164,让人心疼的熟练
165,一定会好的！！！！！
166,好样的
167,我想回大连 呜呜呜(┯_┯)
168,神秘组织
169,辛苦了
