,comments
0,怕和勇敢不是相对的它们是可以共存的
1,太要命了
2,哈哈哈
3,想想挺慌的
4,这次是主动请缨了
5,因为你诚实
6,这是个意外，哈哈哈哈
7,太真实了
8,哈哈哈哈哈哈哈哈哈哈哈
9,哈哈哈哈哈
10,哈哈哈哈哈哈哈哈哈哈哈哈哈
11,有机会去大连一定要尝尝
12,这个防护服穿着特别热，我当时穿了全套过一会就感觉想吐了…真的不容易
13,哈哈哈哈哈哈哈得救了
14,医生太伟大了
15,太缺人了
16,泪目
17,真实到差点这轱辘掐了别播
18,快跑！
19,平凡的人做不平凡的事
20,平民英雄
21,你好实诚啊
22,不不不你是
23,哈哈哈哈哈
24,当时封城了，进了武汉就不能出
25,是个狠人
26,您能分清大连话和东北话吗？完全不一样好吗
27,不好意思，这样很不好，我还是笑了！
28,泪目
29,哈哈哈哈哈！
30,说最怂的话，干最勇的事
31,老本行了
32,炸什么？
33,这才叫真实
34,辅助
35,包吃包住
36,和肖央太像了
37,真实的人在囧途
38,武汉站在青山，第一医院在汉口。坐地铁要近20站
39,由于贪吃
40,致敬！
41,实在人
42,小伙还是机灵
43,我会懵了
44,给压抑的人们带来了快乐
45,这次真的升华了。小伙太棒了
46,孤独的直面恐惧的，就是勇敢。
47,感谢你们负重前行
48,包吃包住
49,因为你是一个典型，是一个本来初心不是为了支援最后却因为善良留下来拼命的
50,平凡人的英雄！
51,连
52,武汉的时候还是春冬季，大理都夏天了
53,主要九楼男神都是医生。医生的活干不了
54,他开始搜志愿者是想让志愿者来帮他。最后他去做志愿者了
55,哈哈哈太可爱了
56,现在是正规军
57,算是勋章吗
58,太实在了哈哈哈哈哈哈哈哈哈真实
59,偷渡  
60,你知道央视广告多贵吗？
61,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
62,在一起还原的好真实
63,在一起上也出现过
64,伟大
65,东北小伙牛批
66,走？走哪儿去   
67,还是怕！真实！怕也要去就是勇敢！
68,成功混入医疗队可还行，哈哈
69,女护士：？？？你说啥！？
70,直接进重症红区，简直要吓死了
71,有吃的了
72,我是谁？我在哪？我要干嘛？
73,游擊隊成功混上正規軍了
74,游擊隊變成正規軍了
75,阿姨你误会了，哈哈
76,名场面，啊哈哈哈
77,医
78,误入前线  只好加入
79,雷佳音？？？
80,23333333
81,虽然心疼但是好想笑啊哈哈哈哈哈哈哈
82,战友
83,有被抓壮丁的感觉。。
84,给央视点个赞，这才是人的真情实感，没有什么假大空。英雄也有胆怯，有懦弱，有犹豫，有彷徨。这才是人啊。
85,小伙子能成大事
86,您配得起
87,那种，哈哈
88,又怂又可爱
89,虽然现在笑真的很不好意思，但是真的很想笑
90,懂医的知道怎么回事，其实更怕
91,这小哥太真实了，说话不讲场面话
92,平民英雄！谢谢你！
93,被迫营业哈哈哈哈
94,配极了
95,真实
96,这么看居然真的有点像邓伦诶
97,这个真的应该拍成电影，哈哈哈
98,不不不，你是大连
99,要来小强家吃烧烤
100,这是我见过最真实的采访
101,不笨，意识到能找工作
102,稳了
103,说话怂，干活勇！
104,混入正规军了
105,哈哈哈哈哈
106,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
107,兄弟你当然配得上！！
108,哈哈哈哈哈哈
109,哈哈哈哈哈
110,这家伙像个战士
111,生死间有大恐怖啊...
112,人生地不熟的
113,兽人永不为奴  除非包吃包住
114,想想就好热
115,我去
116,海鲜？
117,哈哈哈哈哈哈哈
118,哈哈哈哈
119,又哭了
120,感动
121,经历过更能理解国家
122,哈哈哈哈
123,哈哈哈
124,哈哈哈哈哈哈哈哈哈
125,哈哈哈哈哈哈哈
126,哈哈哈
