,comments
0,？？？
1,这辈子都不会去美国了
2,好歹保险保了30万
3,这些钱买条人命不贵啊，付呗
4,美国医院市场发展的很好
5,680万来考古
6,680来考古
7,没保险就这么多
8,哇哦，自由
9,啊这，我家一分都给不起……
10,美国胖子大部分都是穷人，买不起蔬菜，只能吃肉
11,假新闻
12,她决对能一拳KO我
13,大把没保险的就倒霉了
14,中国的医院不也这样吗。。。
15,天下医院是一家。。。。
16,步履蹒跚
17,保险已经报销一部分了  他还要付40w  真惨
18,趁机赚一波
19,没医保的话  直接爆炸了
20,收到账单一套房没了
21,对资本家来说跟四毛钱一样哈哈哈哈
22,死了算了
23,没有未来 没有信仰 自我放弃了 自作自受
24,是呀 是给治好了 死的那十九万人呢
25,可以先治病再咐钱？这样的国家真没话说了
26,卧槽无情
27,卧槽
28,650万纪念
29,治不起病啦
30,感谢祖国
31,差不多凑够首付了
32,我giao
33,好家伙
34,说说而已
35,因疫破产
36,好壮
37,记者口罩戴的什么玩意
38,怪不得需要新冠蔓延，这太挣钱了
39,这人太胖了  一堆并发症
40,老资本主义了
41,资本运作的体现，一切都是利益至上
42,救护车费用？？？？
43,好家伙！还是重开吧
44,等死吧
45,体质！一定是体质的优越性
46,。。。。。
47,米国的胖子一般都是底层人
48,270
49,医院：惊不惊喜
50,今日俄罗斯杀人诛心啊！
51,居然还有精美在弹幕里
52,穷人都死光了
53,【矮大紧进入直播间】
54,没钱别去医院
55,出院后再次感染
56,有命活却没钱了
57,又是睿智换算怪，美国人一个月工资的数值也和你差不多
58,(⊙o⊙)哇
59,他们虽然失去了美元和生命，但是得到了自由啊
60,呵  中国医院也好不到哪去 
61,哈哈哈哈哈哈哈 还不如死了
62,资本主义
63,资本主义。。。。
64,！！！！！
65,fake  news
66,资本主义必将灭亡！
67,41万与42万差别已经不大了
68,美国资本家定的
69,你是看的央视新闻吧大妹子？
70,自由美利坚
71,这就是你们大街上乱耍的理由吧
72,hhhhh
73,还好生在中国
74,我活着！不，我死了。
75,我天
76,走程序都需要时间哈哈哈哈哈
77,这么多
78,美国人有钱，一年工资而已是不是
79,呵呵，自由
80,后面鼓掌的:耶！奖金加倍！
81,傻不傻先活着再说
82,美国普通人的命好不值钱啊！
83,你们在读到高中大学才知道一些事，我很小就知道母亲的伟大
84,那还治个屁啊等死吧
85,虚晃一枪
86,鸽了？？？？
87,这是要把人逼死啊！
88,？？？？？？
89,和死无异啊！
90,还会复阳哦，双倍
91,@公知
92,美国人间天堂。
93,这个口罩带了个寂寞？
94,我滴天，离谱
95,？？？？？有医保
96,俄罗斯
97,没有医保的下辈子记得买
98,死了还要加上丧葬费，墓地费用等多着呢
99,跑路吧这
100,中国应该就没有这种情况吧
101,我的天……
102,我的妈呀
103,公知退出了群聊
104,fake news
105,这就是公知们向往的自由和私立医院
106,个人破产吧
107,淘汰贫穷人
108,字由美利坚
109,就很恐怖，就很离谱
110,放屁
111,先救回来再死等于白救
112,fake news
113,选择死亡
114,国外不都基本免费的吗？只付极少费用
115,喔天呀！
116,这记者戴的什么口罩？！！
117,不多
118,说疫苗贵的赶紧去美国吧！
119,幸好是华夏儿女
120,我国兜底治疗牛逼
121,涩普歪斯
122,40万？！美元！？
123,救助又不是按斤算，你说她胖干啥？
124,这还是有大保险的人
125,这就是生活吧
126,活着也想死吧这是
127,把公知都送到美国去！
128,美国加油，，，依然世界第一！
129,中国就完全不收钱
130,买了保险就不怕了
131,哇哦
132,美国人完了
133,美国佬，真nm肥
134,那就是8.1万到9.1万刀乐，还好还好。
135,活不起活不起
136,巨害怕这费用
137,发达国家还不能免费治疗？
138,Rt
139,(⊙o⊙)哇
140,假新闻，下一个！
141,账单编的好！
142,死吧，哈哈哈哈哈哈哈哈哈哈哈哈哈哈，自由国家，我看着你死
143,fake  news！
144,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
145,自由国家
146,鼓掌，真好，白救了，死了算了
147,资本主义
148,撒普瑞的吗的法克儿?
149,可怕
150,……
151,哈哈哈哈，美丽风景线
152,几百万人
153,俄罗斯电视台？？
154,前面质疑步履蹒跚读音的笑死我了
155,想起那个卖房子被抢的
156,美国的医疗保险是私营的，就是骗钱
157,买辆宾利他不香吗
158,？？？？？？、、
159,前面步履蹒（man）跚的，建议回去重修九年教育
160,40万拿什么还
161,资本玩的就是心跳
