,comments
0,hhhhhhhhhhhhhhhhhhhhhh
1,是virus
2,why not english version?
3,炸鸡和可乐，这很鹰酱
4,鹰酱的配音
5,佛奇哈哈哈
6,美帝推特治国，中国精英治国
7,中国出了
8,注入灵魂
9,推特治国
10,奥8马
11, 700万了
12,中迟但到
13,草
14,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
15,哈哈哈哈哈哈哈哈哈哈哈哈哈
16,注入灵魂
17,所有要点都在了干得漂亮
18,哈哈哈哈哈
19,233
20,好正经
21,哈哈哈哈哈
22,赏
23,670万
24,带制作
25,甩，让他甩
26,2333
27,600万了
28,好活
29,我吃我自己
30,没有人比我更懂建墙
31,哈哈哈哈哈哈哈哈哈好哈哈哈哈哈哈哈
32,先把会费交上
33,大制作
34,不发工资重点
35,红红火火恍恍惚惚哈哈哈哈哈哈哈哈哈哈哈哈哈哈
36,料到了，哈哈
37,600万了
38,口罩的保质期好像只有两三年
39,哈哈哈哈
40,好活
41,请做成英文发给美国人看，不用做给中国人看
42,哈哈哈哈哈哈
43,美国人不想去墨西哥移民吗
44,好活当赏
45,心疼福奇
46,中国虽迟但到
47,1.5倍正好
48,呆资本削弱
49,你为什么住在锅里
50,举个锅？
51,确实啊，人就不应该走动
52,整个英文版
53,哈哈哈哈
54,铁锅炖自己
55,懂王
56,真实
57,大沙雕哈哈哈
58,china！
59,推特出来了
60,灵魂了
61,佛挡杀佛
62,经典大片
63,Reblamers！ Assemble！！！
64,哈哈哈哈哈哈哈
65,百万漕工衣食所系
66,有内味了
67,好活！
68,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
69,哈哈哈哈哈哈哈哈笑死我了
70,23333333
71,哈哈哈哈
72,比如打高尔夫球
73,话都让你说了，白头鹰
74,我要是福奇，我早就跑路了
75,可乐好评
76,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
77,好活当赏
78,MAGA：Make A Giant A**hole
79,鹰酱是你吗
80,困难
81,啊这
82,好大的锅
83,懂王
84,哈哈哈哈哈哈哈哈哈哈
85,三连走起
86,哈哈哈哈
87,你行你上啊
88,呀，动画版
89,迷惑
90,褪裙！
91,CDC:感觉被冒犯
92,WHO：wtf???
93,哈哈哈
94,哈哈哈哈哈哈哈哈哈哈
95,哈哈哈哈哈哈哈哈
96,hhhhhhhhhh
97,没人比我更懂。
98,OHHHHHHHHHHHHHHHHHHHH
99,哈哈哈哈，专业！
100,坐在锅里？
101,好活
102,哈哈哈哈哈哈哈哈哈
103,这锅甩得好远233333
104,总是敲键盘声
105,喝消毒液
106,谭德塞难道不是演黑豹吗？
107,注入灵魂
108,哈哈哈哈哈哈
109,笑死
110,china
111,福奇的刘海是不梳反了？
112,鹰酱
113,一键三连有了
114,中迟单到
115,铁 锅 炖 c d c
116,兔在家中坐锅从天上来
117,who世卫组织
118,哈哈哈
119,中国：我TM？？？？
120,福奇：我让你们戴上口罩。。。
121,福奇是真的惨
122,想不到我的祖国这么有意思，不过没关系祖国有意思些才不会吃亏
123,fake news!
124,CHINA!!!!
125,推特治国
126,有内味儿了
127,鹰德赛？
128,no body knows better than me!!!!
129,奇异福奇
130,CHINA!!!!!
131,啊～～～
132,a
133,都是表面现象没有直击本质
134,hhhhhhhhhhhh
135,hhhhhhhhhhhh
136,hhhhhhhhhhhh
137,hhhhhhhhhhhh
138,退群！
139,注入灵魂
140,hhhhhhhhhhhh
141,hhhh 
142,谭兄
143,"hhhh,鹰酱"
144,哈哈哈哈哈哈哈哈哈
145,杠精满满
146,这只鸟真逗
147,真实
148,↓     消毒液
149,一目三行，三行以上都是空气一目三行，三行以上都是空气
150,好活
151,我懂王，懂吧
152,中国就像一个熊孩子的爹，总是包容孩子
153,哈哈哈哈哈～
154,哈哈哈哈哈哈
155,哈哈哈哈
156,还不如直接把那兔里的鹰酱形象拿来用
157,哈哈哈哈
158,离20万不远了
159,离20
160,注入灵魂
161,哈哈哈哈哈哈美队
162,这是鹰眼？
163,哈哈哈奇异博士还戴着时间宝石
164,China
165,CHINA !
166,哈哈哈哈哈哈哈
167,哈哈哈哈哈哈哈哈哈哈
168,哈哈哈哈
169,哈哈哈哈哈
170,哈哈哈
171,自信点，把快去掉
172,我在B站看央视，不敢想象
173,刀贝儿上~
174,刀be上~
175,哈哈哈哈哈哈哈
176,哈哈哈哈哈哈
177,哈哈哈哈哈哈哈哈哈哈哈
178,生意生意，都懂都懂
179,哈哈哈哈
180,生意
181,学医救不了美利坚
182,懂王
183,不去打高尔夫么？
184,哈哈
185,好活
186,简单易懂
187,宅在家，出门戴口罩，注意个人卫生
188,好，简单易懂：
189,奇异博士表示不背锅
190,我的IP被我的国家接受了，我可太感动了
191,没人比我……哈哈哈哈哈哈
192,注入灵魂
193,注入灵魂！！
194,有点僵硬，话太多了，哈哈
195,谭塞得
196,哈哈哈哈哈哈哈
197,草哈哈哈哈哈哈
198,推特治国吗，哈哈哈
199,锅从天上来
200,厉害了
201,鹰酱？
202,？？？？
203,FAKE NEWS
204,开心十分的画风？
205,推特治国
206,1.5倍速食用更佳
207,还差个手风琴
208,懂王
209,HHHHHHH
210,好活当赏
211,生动形象
212,已经600万了
213,China
214,三行太真实了
215,快乐驿站的带上我
216,鹰酱
217,奇福博士
218,哈哈哈哈哈
219,哈哈哈哈哈哈
220,必须比病毒更懂病毒
221,你在教我做事？
222,刀刃：造航母
223,红红火火恍恍惚惚
224,哈哈哈哈哈哈
225,不是整数都不想看
226,China！
227,傻贼鹰！
228,注入灵魂
229,官方玩梗
230,好活
231,有快乐驿站那味儿了，以前超好看
232,译 制 片
233,大流氓
234,到处甩锅，要你何用
235,我们就他毒怪
236,鹰嘴是懂王的发型么
237,好像肯德基那个
238,来自USA
239,哈哈哈哈
240,前应该花在刀把上
241,大制作
242,快乐驿站？
243,大片
244,来自美国的自然界
245,哈哈
246,MARVEL STUDIOS
247,对
248,福奇，学医救不了美国
249,来自米国
250,…………
251,《葵花宝典》看多了，看成了 自宫甩锅记
252,这口锅，hhhh
253,一目三行，三行以上都是空气
254,喜欢
255,刀把上
256,别后悔
257,666
258,奇异博士风评被害
259,哈哈哈哈
260,求真不如作假
261,奇异博士福奇
262,推特治国
263,哈哈哈哈哈哈哈哈哈
264,这墙确实该修 对面也确实该给点钱
265,哈哈哈哈哈哈哈哈
266,一千万冲冲冲
267,哈哈哈哈哈
268,懂王
269,鹰酱
270,鹰酱无尺
271,哈哈哈哈哈哈
272,带  制  作
273,哈哈哈哈哈哈哈哈哈哈哈或
274,把钱花在刀背上  刀把上
275,葛平
276,全民免疫
277,蓝猫
278,好活
279,花在刀把上
280,川宝经常吃快餐配健怡可乐，就纳了闷了已经这么快乐为啥不再快乐点，长胖了就去熬夜打高尔夫啊
281,哈哈哈哈哈哈哈
282,灵魂！
283,消毒液2333
284,谭德塞为什么长这样哈哈哈
285,福奇队长
286,哈哈哈哈哈
287,哈哈
288,注入灵魂
289,明天就不是了
290,啊哈哈哈哈
291,哈哈哈哈哈推特
292,草
293,刀  刃
294,？？
295,冤
296,惨WHO惨
297,哈哈哈哈
298,奇异博士
299,  哈哈哈哈哈哈哈哈，有内味了
300,带制作
301,你不给钱，我很为难啊
302,哼唔~
303,好活，赏
304,哈哈哈哈哈哈哈哈
305,死了17万+特没谱
306,yeah
307,不戴口罩到处走动，就是让你待在家里，把省下来的口罩给医护人员
308,火钳刘明
309,好活
310,600w了
311,熟悉的声音。
312,白宫栅栏
313,真实！
314,福愁者
315,只用20万，感染到578万，是什么概念？
316, 栅栏好评
317,那兔风
318,哈哈哈哈哈
319,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
320,好好
321,好活当赏
322,hhhh
323,这锅我们接不住啊
324,哈哈哈哈
325,赞
326,哈哈哈
327,WHO世界卫生组织
328,央视整的好活  真是好活  
329,哈哈哈哈哈哈哈，推特治国
330,有亿点像
331,ohhhhhhhhhhhhhhhh
332,快餐好评
333,注入灵魂
334,就是就是
335,噗  哈哈哈哈哈
336,接受现实吧
337,哈哈哈哈
338,懂王
339,哈哈哈哈哈
340,鹰酱
341,有内味了
342,老谭的帽子太黑锅了
343,兔子不背锅
344,你这个坏鹰酱
345,哈哈哈哈，不错不错
346,我笑了
347,哈哈哈哈
348,哈哈哈哈哈央妈皮了
349,注入灵魂
350,哇哦。。。。。
351,真·刀刃
352,CHINA ，CHINA-…- CHINA！CHINA～
353,注入灵魂
354,奇 异 博 士
355,千万大奖近在咫尺，美国加油！（滑稽）
356,哈哈哈
357,哈哈哈哈哈哈哈哈
358,哈哈哈哈哈
359,像
360,注入灵魂
361,who是什么
362,好活
363,这是蹲在锅里？hhhhhhhhhhhhhhh
364,MARVEL
365,哈哈哈哈哈哈哈哈
366,懂王
367,鹰醬
368,哈哈哈哈哈哈哈哈哈哈哈哈
369,哈哈哈，经典
370,火钳刘明
371,鹰酱
372,兔子：我谢谢你、
373,鹰！！！鹰酱！！！
374,哈哈哈
375,可乐快餐好评
376,好烫
377,hahaahaha
378,。
379,fake news
380,youarefired
381,哈哈哈哈哈哈哈哈哈哈哈哈哈
382,那太好了，可以不用救人了
383,翻译有问题没有翻译 易懂
384,太长了，不看
385,你这点钱，我很难帮你呀
386,带制作
387,美国满嘴跑火车，恬不知耻自取其辱，臭不要脸。
388,不发工资哈哈哈哈哈哈哈哈哈哈
389,退群！！
390,玩尬的？
391,哈哈哈哈哈哈哈哈哈哈
392,干得好
393,china
394,川宝呢
395,《生意》
396,全程高能
397,生意
398,尬
399,没内味
400,福气:我傻了
401,奇怪的配音
402,600万多了！！！！！
403,china
404,这就是央视吗，爱了爱了
405,有味道了
406,以推治国
407,哈哈哈哈哈哈哈哈哈哈或
408,哇哦
409,？？？？？？？？？？？？
410,这锅甩的，啧啧啧
411,注入灵魂
412,hhhhh
413,hhhhhhhhh
414,好活
415,干得漂亮
416,哈哈哈哈
417,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
418,哈哈哈
419,已经被风刮倒了
420,注入灵魂
421,哦~这翻译腔~
422,哈哈哈哈哈哈
423,绝活
424,冤
425,哈哈哈哈哈
426,哈哈哈哈
427,1000万不是梦
428,你在教我做事？
429,哈哈哈
430,鹰酱
431,注入灵魂
432,哈哈哈哈哈哈哈
433,哈哈哈哈哈哈哈哈哈哈
434,哈哈哈
435,你永远都叫不醒一个装睡的人
436,华 迟 但 到
437,兔子戴帽子
438,老谭谈交通
439,哈哈哈哈
440,飞碟说……
441,奇异博士
442,CHINA ，CHINA-…- CHINA！CHINA～
443,china
444,谭？
445,你这点钱我很难做啊
446,冤
447,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
448,美国有疾控中心？
449,笑cry
450,漫威的既视感
451,美国梦
452,要18万了都
453,草
454,哈哈
455,克烈？？？
456,炸鸡哈哈哈
457,哈哈哈
458,哈哈哈
459,时空警察
460,开口跪
461,别后悔？
462,冤
463,能！
464,专业
465,中国1/1
466,刀背上
467,哈哈哈哈哈哈退群
468,6666
469,哈哈哈哈哈哈
470,哈哈哈哈哈
471,董王
472,懂王：你懂我懂？
473,鹰酱你瘦了
474,哈哈哈
475,厉害了
476,哈哈哈
477,哈哈
478,大 片、、、
479,巨人打钱
