,comments
0,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
1,？？？这不是很平常么
2,不太好看。
3,太尴尬了吧。。
4,ohhhhhhhhh
5,666666
6,nb
7,游戏结束
8,世界聚焦于你
9,？乒乓球不应该找小区大爷？
10,这个我们村里就有
11,OHHHHHHHHHHHHHHH
12,全球唯一
13,爱我中华
14,全体起立
15,凉宫！！！
16,一加8
17,ohhhhhhhhh
18,上海很多便利店都有了，用着不方便
19,全体起立！！
20,66666
21,SAO
22,我甚至没一只机器人灵活
23,真的假的。
24,6666
25,ohhhhhhhhhhhh
26,中国人和善做的机器人也可爱，反观一下欧美的机器人，感觉会被机器人奴役
27,嘶～那啥。。。能不能口服（doge)
28,水果蔬菜的种类还是要自己选，还没到放上去就知道是什么的程度
29,这个现在国内外超市自助结账区都还算比较常见的
30,凉宫春日的bgm！！！
31,啊还要自己选择香蕉
32,国内也早有了吧我楼下果蔬店就有
33,芜湖！！！！！！！！
34,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhh
35,牛Bohhhhhhhhhhhhhhhhh
36,ohhhhhhhhhhhhh
37,China NO.1
38,排面
39,NB
40,ohhhhhhhh
41,早有了
42,好白呀
43,ohhhhhhhhhhhhhhhhhhhhhh
44,凉宫
45,啊哈哈哈嚯哈哈哈哈哈嚯哈哈哈哈哈哈哈哈哈哈哈
46,？？？？？
47,买不起，没有钱
48,ohhhhhhhhhhhhhhhhhhhhhhhhh
49,凉宫厨狂喜
50,凉宫233
51,牛
52,666
53,喜大普奔
54,全体起立
55,保剑锋
56,你又
57,我买不起
58,我爱別人家，，，，
59,早有了啊
60,刷脸他不香吗！
61,ohhhhhhhhhhh
62,ohhhhhhhhhhhhhhhhhhhhh
63,厉害了我的国
64,沃尔玛不就是这样吗
65,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
66,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
67,全  体  起  立
68,ohhhhhhhhhhhhhhh
69,芜湖～
70,ohhhhhhhhhhhhhhhhh
71,从耗子来的。
72,66666666
73,你在教我做事
74,全体起立
75,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
76,金色传说！！！
77,ohhhhhhhhhh
78,电子称多人工智能系统吗？
79,ohhhhhhhhhhhhhhhhhhhhhhhhh
80,Ohhhhhhhhhhhhhhh
81,ohhhhhhhhhhhhhhh
82,ohhhhhhhhhhhhhhhhh
83,芜湖
84,全体起立
85,ohhhhhhhhh
86,OHHHHHHHHHH
87,pc秤
88,ohhhhhhhhhhhhhhhhhhhhhhh
89,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
90,ohhhhhhhhhhh
91,普通人用能得起吗？
92,ohhhhhhhhhhhh
93,ohhhhhhh
94,还是弱，硬件这么明显的形状不能自动识别。
95,超——市——服——务——员——
96,ohhhhhhhhhhhh
97,祖国牛逼！
98,ohhhhhhhh
99,，ohhhh
100,HTC Vive打钱
101,全球唯一！
102,大佬的眼圈
103,全体起立
104,这不能失业吧？机器和人娇不是还有本质的区别吗
105,？？？？？？
106,老早产品了
107,终于！！！
108,ohhhhhhhhhh
109,看见奶茶了
110,这个不是都有了吗？
111,空腹不要吃香蕉，可以吃苹果
112,ohhhhhhhhhhhh
113,起立
114,ohhhh 
115,ohhhh 
116,普天同庆
117,ohhhh 
118,哈哈哈哈哈
119,应该自动识别果类
120,哇塞
121,厉害
122,ohhhhhhhhhhh
123,弹幕能别口罩口罩了吗？人家央视新闻能不带口罩说明没有强制要求了啊
124,哇，厉害啊
125,全体起立
126,五块钱
127,我爱我国
128,哈哈哈哈
129,ohhhhhhhh芜湖！
130,ohhhh
131,超市不早有这个了吗？
132,全体起立
133,这疫苗包装之前微商发过，居然一个样
134,不免费就有鬼
135,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhh
136,太棒了
