,comments
0,？？？？？
1,为什么还要这么说啊……
2,世界第一
3,《very well》
4,没人比我更懂
5,罪  己  诏
6,XD
7,呵呵(=_=)
8,《了不起》
9,美国有没有文亮李那样的医生
10,泪目
11,没有人比我更懂啦啦队
12,我看过他的抖音
13,懂王干得好
14,现场演示
15,泪目
16,所以就放任那么多人感染？你是人？
17,你是小丑演员
18,刚才那句咋带电呢
19,《了不起》
20,了不起，占7成
21,做   得   很   好
22,加个英文字幕
23,美国啦啦队长简称美队
24,懂王
25,懂王
26,没有人比我更懂世界和平
27,我们=中国（狗头）
28,没看到力量
29,继续加油
30,害怕
31,？？？？？
32,？？？？？？？？
33,为了不让你们害怕，只好让你们死
34,有电音吗？？？？
35,美国（啦啦）队长
36,逻辑鬼才
37,《了不起》
38,减轻恐慌，增加死亡
39,我们已经在颁奖了，川宝还在当队长
40,YES! USA NO.1!
41,美  国  队  长
42,那效果呢？没有效果就是坏
43,美国啦啦队长哈哈哈哈哈哈哈哈哈
44,standard是你定的，你说好就好呗
45,什么jb公关
46,我更喜欢高尔夫
47,保护
48,China!
49,窝癌霉国！
50,没人比我更懂拉拉队长
51,永不背锅
52,泪目
53,弹幕都作假，我信你个鬼
54,amazing
55,穿个超短裙跳个舞吧
56,非常好
57,？？？？？
58,地堡男孩变拉拉队长
59,看他这么有精神估计还能活20年以上
60,全世界都知道这是个蠢货了
61,世界：我特么谢谢您
62,这货又出来叫啦
63,那确实是了不起
64,了不起了不起
65,看数字确实牛逼！
66,好可怜啊，你为了世界，但是世界不承认呢，你说你怎么办？
67,不知道，所以就不存在
68,之后美国就剩你了
69,都是伪装
70,哈哈哈哈哈哈
71,哈哈哈哈哈哈哈哈哈哈哈
72,世界关你屁事儿阿！
73,他一直自我感觉良好，这是比较令人佩服的
74,笑出猪叫
75,政治对手放出来的录音
76,（了不起的成绩）
77,666
78,等群体免疫吗
79,刚刚看完白头神探感觉连接起来没什么违和感
80,从某个方面来说，也确实是了不起的
81,切！！！！！！！！！！
82,切
83,小学生都不好意思说出口
84,这个我赞同，死了20万人确实做的很不错
85,说谎大王
86,心理安慰式屏蔽  不能在现实中解决问题
87,公知狂喜
88,Are you kidding me ？
89,。
90,确实很了不起啊
91,是啊，了不起的成绩
92,今天没带红领巾呀
93,配得上诺贝尔奖
94,啧啧啧
95,川宝变正常了好不习惯
96,这都行？？公知不说话？
97,哦哟谢天谢地
98,一起哈皮
99,厉害厉害
100,加油ヾ(◍°∇°◍)ﾉﾞ川宝
101,世界：为了我？？我咋诶看出来呢？？
102,泪目
103,你爱你的祖国？那你的祖国到底是哪个嘛？
104,一方面说美国强大，又解释这解释那
105,非常成功，隐瞒了美国人半年，还宣传了喝消毒剂
106,确实amazing job！
107,老糊涂了
108,光放屁你不出措施，有毛用
109,无敌的逻辑
110,啦啦美国队长
111,开口忽悠大师
112,有人比我更懂世界和平 
113,确实了不起
114,猜那
115,不让它们吓坏，让它们拥抱他们
116,？？？？？
117,又开始啦了…
118,China!
119,让美国陷入恐慌，就是为世界着想
120,世界和平就靠你了
121,人没了，不慌不慌
122,不想让他们吓坏所以就不全力阻止病毒传播？
123,感动
124,确实了不起
125,美国啦啦队长
126,人太多了
127,hhhh
128,他当然知道，新冠病毒就是美国搞出来的。
129,干得漂亮。
130,泪目
131,世界？
132,没有我
133,还吹呢
134,还有我
135,你们漂亮国做了得好？做了个寂寞
136,还有我
137,了不起
138,请分析此处请使用的写作手法（6分）
139,老火星人了。
140,很诚实
141,提前CHINA
142,看笑话
143,没人比我更懂拉拉队
144,没一句实话也是牛逼
145,管他怎么样呢
146,哈哈
147,"""了不起"""
148,有弹幕
149,你他么还真是为了世界着想啊
150,拉拉队麻烦穿上啦啦队服
151,确实
152,说话都不过大脑
153,500万确实了不起
154,双标白皮
155,厉害厉害
156,讲真的，他这么做没问题，直接摆明说出来是这没想到！
157,这记者选择这个时间公布也是耐人寻味！
158,听他吹
159,指印度
160,没有人比我更懂拉拉队
161,？？？
162,↑弹幕就咱俩↑
163,去你的
164,美国的国家力量就是让病毒茁壮成长？
165,川宝漂亮
166,有
167,千错万错都唔系我错！
168,哈哈哈，美国公民听的下去吗？厚着脸皮
169,我爱美国（伏拉夫式呐喊）
170,每日笑话
171,建议改成：每日一笑
172,啊这
173,这次我真的想笑
174,这波凉凉，拜登血赚
175,厉害！
176,？？？？？？
177,终究我一个人抗下了所有
178,老懂王了
179,什么毛病？
180,是挺amazing的
181,？？？
182,不知道就没有
183,？？？
184,只要我遮住眼睛我就什么都不害怕了
185,是是是
186,致命是不高，可是你是真的很致命
187,《确实》》
188,？？？？
189,天
190,是真的了不起的“成绩”
191,那确实。。。
192,真是“减轻恐慌”啊
193,..........................................
194,牛皮 脸都不要了
195,show strength that dosen't exist.
196,老懂王
197,刚发布还没啥人
198,没有弹幕吗？？
