,comments
0,强盗国家
1,爸爸的好大儿
2,犹太人从自身利益出发没有错
3,果然亲父子
4,什么提议说下啊，在这对射呢
5,父子同心
6,父子局
7,父子同心
8,大人，食大便了
9,。。。
10,刷儿子的，醒醒吧。以色列才是爸爸
11,求精美分子解释一下你国家的操作
12,美国反人类计划
13,笑死我了
14,笑死我了
15,好狗
16,孤儿形象
17,孤儿影响
18,以色列大孝子
19,建议退群嗷
20,犹太人真的一言难尽
21,英国日本都不跟着老大哥走了？
22,当然了，团结应对就是要薅美国的羊毛，自私的懂王自然不同意
23,以色列：如果你要与全世界为敌，我将是最后一个背叛你的。
24,父慈子孝
25,父慈子孝
26,以色列真狗
27,美国:我们孤立他
28,《击败》
29,这对父子太搞笑了
30,美国是真的觉得自己能一个人对抗全世界吗？加一个以色列有什么区别？
31,啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
32,看看以色列是什么货色了吗
33,父死子笑
34,啥决议？
35,带孝子
36,退出联合国吧
37,底下的字好嘲讽，不愧是你，央妈
38,安理会有一票否决权，这是联大，没有
39,川建国  加油
40,父慈子孝
41,不要一杆子打倒
42,不愧是你们
43,知道那些国家是人类公敌了吧？
44,五联盟呢？
45,高佑思是怎么想的
46,犹太人是不是想被屠杀了
47,美国高层大部分都是犹太人
48,父慈子孝
49,古巴，永远的好东西
50,总有人说以色列感恩什么的，这下明白没，美以是父子关系，休戚与共
51,以色列是美国的爹好吧
52,哪怕与全世界为敌
53,父慈子孝
54,所以犹太人为什么会被屠
55,美国世界孤儿
56,儿子投啥你投啥
57,大人，时代变了
58,以色列：儿啊，怎么和你说的不一样啊？
59,父子相亲
60,古巴的决议居然被接受了，爷青结
61,以色列是受美国控制的
62,哈哈哈哈哈哈哈
63,阿富汗不是还在美国控制中么
64,美国就是现在世界的邪恶轴心
65,《得逞》
66,美国真的疯了
67,耶稣爱你们
68,以色列才是父亲啊
69,不卖他们疫苗，本国疫苗一经出售不得转卖
70,建议直接退出地球
71,以色列可是美国人爸爸
72,爸爸是以色列
73,戴胜鸟可不是好鸟
74,死去了快一百万人了，美国还这样
75,绝了
76,反人类者
77,犹大人，你想笑死我吗？
78,在世界之外，我并非独自存在，带着小以胡来，谁人敢与我对白。——漂亮
79,父与子
80,父慈子孝
81,父子同儿
82,有本事退出联合国
83,以色列老实人啊
84,父慈子孝
85,以色列！
86,犹太人忘记了2战时，中国大使的9助，很多在美犹太人都是从德到中，由上海去美国
87,新冠脑炎
88,孤儿形象
89,孤儿形象
90,以色列：不是说好的吗，怎么就我一个人跟了？
91,以色列：怎么就我一个跟了??
92,以色列就是美国的狗腿子
93,让他俩好好“团结”
94,父慈子孝
95,错的不是我是这个世界（滑稽)
96,所以说犹太人真是罪有应得！！
97,否决了，完蛋
98,父慈子孝
99,父慈子孝
100,孤立形象✖
101,注意底下滚动字幕
102,垃圾桶才是这两个孤儿的家
103,父慈子孝
104,以色列操控美国？？？？
105,父子同心
106,美以蛇鼠一窝
107,孝死我了
108,和平
109,原来以色列才是亲生的
110,真是父慈子孝啊
111,不管美国新冠，警惕他们各种搞事
112,赌场无父子！
113,丢人
114,父慈子孝
115,父子齐心，其利断金
116,不你弄反了，美国是以色列的狗
117,老舔狗了
118,父慈子孝
119,与世界为敌
120,父慈子孝
121,美国：不是匿名投票的嘛？！
122,天下苦美久矣
123,以色列老儿子了
124,以色列还真是条忠诚的狗
125,犹太人要亡耶路撒冷早死了
126,古巴的医疗是世界一流
127,哦觉得他俩互为儿子
128,孤儿形象
129,联合国大会不可以一票否决
130,@高佑思
131,以色列？？？
132,自取灭亡
133,以色列乌克兰？？？
134,绝了
135,谁站在新冠那边不用我说了吧
136,被全世界厌恶的犹太人到底为什么
137,不愧是美国佬
138,父：以色列
139,对犹太人唯一一点好感存在于英语课本上
140,美国有一票否决权
141,快拉倒吧，以色列人是你爹？
142,退联把
143,父子上阵
144,建议美国退出联合国
145,人类公敌美利坚
146,制裁全世界，以色列亲爹除外！！！
147,我觉得以色列是因为一时紧张才按错按钮的
148,以色列 谢谢耶路撒冷
149,每年都在预测的家伙，行了行了，我预测每年每个都会灭亡，行了吧？
150,前面说美国是以色列的儿子的，你不知道不同的犹太人有不同的利益吗
151,被VS掉的那两个是谁说出来老子盘他
152,万 绿 丛 中 一 点 红
153,给爷灭绝
154,两个孤儿
155,以色列人还是对我们比较尊重的
156,以色列这个国家是靠美国控制联合国得到的国土
157,父慈子孝
158,这俩是人类毒瘤吧
159,犹大人
160,以色列是美国爸爸
161,主人和狗罢了
162,犹太？呵呵！
163,公知们不出来走两步么？这是站在全人类的对面了
164,？？？？？
165,美国政坛其实大部分由犹太人控制
166,经典一票否决
167,很明显，犹太人站在全人类的对立面
168,前段时间以色列说中国是什么来着？这次证明了和说的相反！
169,美国准备退出联合国，你们害怕不
170,明天美国就退群了，不和你们这些小人玩咧
171,父慈子孝
172,不愧是父子啊~~
173,幸好是联大会议，要安理会美国就一票否决了
174,犹太人和美国狼狈为奸
175,笑傲江湖有云:公道不在人心，是非全凭实力！
176,犹太人就是资本的具象化
177,父慈子孝
178,狗腿子以色列啊。多美尼加呢？
179,以色列：我按错了
180,有俩弃权
181,阿富汗和克罗地亚
182,联大……
183,联大没有一票否决，一票否决只有安理会有
184,哪两个弃权了？
185,不愧是犹太人
186,古巴医疗很强
187,五年后还有美国吗！？
188,漂亮国排面
189,拉丝
190,以色列才是美国幕后的爹
191,不愧是父子
192,狗父狗子
193,MAGA
194,以色列：爸爸~
195,大嘤呢
196,美国也是嘴里说不要而已，因为它没动用一票否决权
197,正 道 的 光
198,父慈子孝
199,毒瘤
200,爷青结啊
201,这种情况是不能行使一票否决权的
202,父慈子孝
203,丢人现眼
204,以色列是疯了吧
205,父慈子孝
206,父慈子孝。
207,父子情深
208,哈哈哈哈哈 连戏都不演了站在
209,天下苦美久矣
