,comments
0,检测出来又如何，医院也不够用
1,新冠：解除封印
2,世界和平
3,世界和平
4,印度这还找事，无语
5,惨的是贫民
6,真的好可怜阿
7,惨字
8,这是演播室还是虚化背景了
9,他脖子下面那个不是口罩吗。。无语你们
10,啊吧啊吧
11,一百万检测就有十万确诊。。。十分之一那就是总共一亿感染了
12,魔笛老仙法力无边 讲真老仙其实挺厉害的 只是发育时间不足
13,猛的一批
14,印度：冲啊！世界我第一
15,大家都感染了还戴啥口罩
16,哎，挺不容易的
17,人口要超过我们了吗
18,检测能力真牛
19,能测这么多阔以啊
20,得亏有喜马拉雅，害怕
21,等疫苗咯
22,王炸
23,真挺难受的
24,挺难受的
25,弹幕别这么得意忘形
26,还记得我们某一天破千的时候大家什么感觉吗？
27,每天？
28,但是你人都没了还有什么经济啊
29,超过美国
30,百年未有之大变局。
31,流水都没有。。这和战乱地区有啥区别额？
32,贫民窟的不是人啊。。。。泪目
33,我生在中国是何其幸运
34,它们“控制”过？？
35,恒河水喝少了
36,摩的老仙 法力无边
37,每天死多少？
38,"莫迪老仙,法力无边"
39,没有办法的事啊，可怜
40,……封锁的结果，就这？？
41,我已经吐血三升，印度在加把劲啊！别真没了
42,赶紧隔离治啊！！！我看着都着急
43,96年之前印度都不记录，啥啊这是
44,Deserve it
45,牛保佑印度
46,ฮิฮิฮิฮิ
47,呵呵呵呵呵呵呵呵呵呵呵呵呵
48,"Hola, soy tu padre."
49,好惨
50,一月一百万
51,印度凉凉
52,唉
53,一开始就注定失控
54,安静祥和
55,起飞
56,name：拉姆
57,太可怜了
58,检测手段能跟上
59,漂亮
60,李沁保护好自己！
61,合肥
62,垃圾国家
63,只有
64,？卧槽
65,还是都快点儿好起来吧，你只要地球上还有一个人有新冠，那么中国就有可能被感染。
66,已经失控了
67,哈不离不离不拿
68,似乎……障碍重重！
69,没戴口罩？？？？
70,这家伙名叫“运行内存”
71,1月！我一直以为印度是这几个月才开始
72,建议减少检测（狗头）
73,？？？？？？
74,中间那个护士姐姐有点好看
75,啊吧啊吧阿里巴巴
76,抗体？
77,八十天。。。。
78,世界第一！
79,还不戴口罩
80,日本:只要不检测就没有确诊病例
81,印度人太多了
82,美国检测的估计都没他们多
83,害怕
84,害怕
85,爆发
86,莫迪老仙法力无边
87,印度的富人和贫困人就像是灵笼里面的上民和尘民
88,上民和尘民的差距
89,赶超英美
90,乱世才刚刚开始
91,莫名心疼印度底层人民
92,活该
93,人类末日
94,牛尿说不定也有病毒
95,印度有恒河水
96,美国的老大哥
97,她的口罩呢
98,就没有控制过 那谈什么失控
99,蛮可怜的
100,哈
101,bana
102,假新闻
103,幸好我生在中国
104,在不控制，怕印度是要亡了
105,14亿？
106,然后把欧美人全放进来传播
107,继续生，生多点孩子！
108,恭喜成为世界第
109,比美国做得好？潜能未爆发
110,赶英超美
111,每天？
112,漂亮
