,comments
0,嘎子好棒
1,拍的什么玩意
2,阿云嘎厉害
3,太强了阿云嘎！
4,这个高潮真的感动
5,泪目！
6,2020不容易
7,眼睛好好看
8,He   Tui
9,离谱
10,致敬!
11,太TM让人失望了，去看隔壁的《在一起》了
12,???
13,国泰民安得声音
14,这首歌适合春晚唱
15,好喜欢这个歌手的咬字
16,歌手也太帅了
17,阿云嘎真是青年艺术家
18,好好听
19,阿云嘎好帅
20,可惜了阿云嘎的演唱
21,草，垃圾电视剧
22,弹幕都是虾吗？
23,他好像费翔
24,致敬医护人员，反抗恶心导演
25,凉凉
26,致敬！
27,垃圾剧
28,歌手是音乐剧演员哦！阿云嘎！
29,歌还是不错的，可圈可点
30,歌是好歌  剧什么鬼啊！
31,希望它别播出，别人的努力难道这么轻松就能抹杀吗？
32,央视爸爸你要是被绑架了就眨眨眼
33,太好听了
34,让我看看有多丢人吧
35,大天使阿云嘎!!
36,仗著歌手會唱，放飛自我的編曲!!
37,致敬英雄，但是抵制烂片，篡改历史！
38,国家队排面！！！
39,做成纪录片不香么
40,取消评分就能掩耳盗铃吗？亏我期待，看着气人。
41,致敬！
42,阿云嘎是音乐剧演员，所以唱歌很具有感染力
43,这是？
44,评论里全部都是骂的，这剧也是牛逼
45,致敬
46,烂剧浪费一首好歌
47,？
48,歌手阿云嘎~眼裡有光~心中有大愛~
49,唱的好棒，本來嘎子要演其中一個角色的，可惜時間沒配合上，才製作了這首歌參與
50,歌曲好听，剧就算了
51,歌挺好 剧情扯淡
52,演了个寂寞
53,恶心
54,停播吧
55,。。。。。。
56,好听
57,垃圾电视剧
58,阿云嘎满满的正能量！
59,致敬！感动！
60,致敬工作者，可是这拍的什么玩意儿啊
61,烂片
62,？？？？
63,来一个女同志啊
64,歌是真的好，阿云嘎唱的也特别好，电视剧是真的恶心，这个剧是真的不配这首歌
65,英雄是真英雄，剧是真的烂
66,每晚0:00熬夜追剧熬夜哭。
67,每天0:00熬夜追剧。看八级哭8+1次
68,致敬
69,春晚唱这首吧！
70,嘎嘎
71,嘎嘎
72,尬，很尬
73,给我糊糊糊糊糊糊糊~
74,参与抗疫的女性占所有抗疫人员的2/3（2.8万人）
75,参与抗疫的女性占所有抗疫人员的2/3（2.8万人）
76,参与抗疫的女性占所有抗疫人员的2/3（2.8万人）
77,参与抗疫的女性占所有抗疫人员的2/3（2.8万人）
78,娘道2
79,我们的女同志呢？
80,我们的女同志呢？
81,我们的女同志呢？
82,屁股歪了啊
83,烂片
84,致敬英雄
85,帥到可以當演員的歌手阿雲嘎~其實是音樂劇演員啦～
86,啊啊啊啊啊……泪目
87,愿国泰民安
88,大军官
89,我吐啦
90,这部剧配不上这首歌
91,人生第一次告别那一集的配音也是他哦
92,举报了
93,呕，宁不配
94,滚蛋啊
95,怕
96,弱化女性，我连看了六集，这个导演有毒！！！！
97,歌是好歌，剧嘛......
98,没人吗
99,我爱你，中国
100,大 军 官
101,割割八卦不你
102,按时间顺序看评论
103,按时间顺序看评论
104,致敬英雄
105,？
106,凉了
107,全员男性
108,嘎子真的是，不只是因为他是少数民族呀，他还有他自己的努力
109,今年春晚奶一个！
110,阿云嘎！歌者唱着让人落泪的歌！
111,肖战滚
112,致敬真正的抗疫英雄
113,伟大的抗疫女战士们站起来！伟大的劳动妇女们站起来！
114,致敬！！！！！
115,期待期待
116,阿云嘎
117,致敬
118,鸡皮疙瘩已经起来了
119,我死了
120,这是任敏吧
121,歌好好听，可惜了
122,和某粉绝配
123,做个人吧，好吗，好好的题材搞成垃圾
124,声入人心
125,这么好的歌配给这剧这特么可惜了
126,现在已经凉了
127,哭了
128,演员台词太棒了
129,泪目
130,感人至深
131,肖战还没糊啊
132,致敬
