,comments
0,，。。。仔细听，是同声翻译。。。
1,这个所长有个了不起的爹
2,英语好好啊……
3,都说了起源于自然
4,请不要造谣
5,谣言止于智者
6,有种赛尔号的既视感
7,借壳上市
8,弹幕不要臆想，好好看节目。
9,有病，美国人的病毒所让人去看了没？51
10,不是美国实验室做的吗
11,很紧张
12,王岩艺这么年轻啊，这么年轻就当研究所领导啦
13,中国的科学界和情报界出来呢？反驳美国啊
14,得了吧，那些动物能同时传到巴西中国意大利法国等？
15,学医的人感觉都驻颜有术，像钟院士和福奇大佬一样，我猜不出院长什么年纪。。。
16,没人?
17,11对11
18,艺术家
19,真的丢人
20,好好说话不好吗？！
21,艺术生怎么搞起科研了
22,小黑声音好鬼畜
23,他哪大？
24,前面的
25,赞同
26,美帝经典贼喊捉贼
27,依然是弱者思维
28,...
29,怕不是美国人造的，情报部门怕被查出来息事宁人了吧？
30,那美国的那些实验室给我们去采访么
31,哈哈，黑哥
32,能不能好好说话！！
33,女巫的手势啊
34,是的  小黑
35,这个特效，我给2毛钱。。。
36,真相大白？？？
37,贝尔实验室
38,和狗没什么可说的
39,你好，小白
40,给外媒看就是没骨气？
41,别掉下去了
42,众所周知 大白是
43,大可不必这样，看新闻的都是成年人，没有小孩
44,艺术生所长
45,你好 小黑
46,这个所长好啊，艺术生就是好
47,我要看到电报才能说
48,出来吧
49,从一只蝙蝠讲起吧
50,前面的连引用都错了。真理看来在你嘴里
51,中二
52,魔术师
53,清者不能自请，真理在人多的一方
54,大白是赛尔号么
55,你永远叫不醒一个装睡的人
56,啊，我还以为是你……的意思
57,澳大利亚、美国山火肆虐，没准就是无家可归的动物传染给人，然后传入中国。
58,80后
59,这不是小白吗
60,这女的年轻有为
61,自己清白与否需要别人证明
62,手势可爱
63,好年轻的所长
64,说不定就是美国的实验室里出来的，
65,别人说的，就让别人来看
66,啊？不是说美国实验室吗？
67,一
68,精灵胶囊
69,没有小白可爱
70,等等不是在说自己吗
71,央视的台词的语气一般都是跟少儿频道的语气一样的
72,有點憨
73,MEIREN?
74,好憨啊
75,舒红兵
76,这个机器人的语速听着好难受
77,中二
78,好傻啊
79,美眉
80,是的，美国实验室泄露的
81,拳头才是硬道理，，感觉从古至今都没有变过！那来什么对与错
82,假设是就是美国造的，以上言论就非常合理了
83,主持人的手好像在施法
84,。
85,@蓬佩琪
86,美国估计怕再查下去查到自己家
87,sensitive but unconfidential
88,眼神
89,？？
90,?
91,。
