,comments
0,谢谢你们(*°∀°)=3
1,有谁能认识这废坦克的型号吗？
2,致敬你们的
3,一定要一个不少的回来
4,一定要平安归来
5,平安
6,祝平安归来
7,没有排片，没地看，等B战上映吧
8,都没有排片
9,鼻子酸，肯定是柠檬惹的
10,从来都没有岁月静好，只是有人替我们负重前行
11,美国军队和中国军队，在他们眼里哪个更好
12,都平安回来 愿世界和平
13,致敬
14,加油，记得回来。
15,注意安全英雄们
16,致敬英雄！！
17,平平安安，安全回家
18,平安回家
19,哪有什么岁月静好
20,童言无忌
21,一个都不能少，都要给我活着回来
22,泪目
23,安全回来 但他们心里也会有创伤
24,泪目
25,这种画面太触动人心了，泪目
26,看到这些装束，唉
27,一个不少的回来
28,泪目
29,泪目
30,我只希望你们怎么去的，怎么回来，一个不少的平平安安的回家
31,我只希望你们每一个人去的
32,不仅是维护世界和平，也是为我军积累实战经验
33,扫灭异族 山河一统
34,敬礼！
35,。。。？？
36,文明之师威武之师
37,蓝色的帽子
38,注意安全
39,没有美国或许世界就和平了
40,对不起，我笑了
41,熊孩子，我看你是找打，2333
42,哈？zfju
43,泪目
44,致敬！
45,推荐大家去看
46,蓝色防线，要去电影院看哦，原先期望没太高，后面发现节奏剪辑都挺不错的。
47,漂亮
48,平安回家
49,这些人是真正的英雄
50,致敬中国维和部队，希望你们平平安安的，致敬[奋斗][奋斗]
51,说实话，这片拍的比八佰好，可惜没人去看
52,China
53,平安回来
54,泪目
55,加油中国
56,555555
57,因为任务被安排提前写遗书的感觉真不怎么样
58,致敬
59,泪目
60,突然鼻子一酸
61,平安
62,致敬
63,帅死了
64,反向fl
65,泪目
66,平安回家
67,安全回家
68,正义的光
69,致敬
70,平安
71,这才是应该致敬的，这才是男人，这才是英雄
72,哎呀
73,致敬
74,China No. 1！！！！！！！
75,昨天刚看
76,注意安全
77,你们真的太棒了
78,为英雄们点个赞
79,致敬
80,致敬
81,中国万岁
82,泪目
83,请平安归来
84,泪目
85,注意安全
86,注意安全
87,照顾好自己啊
88,无上光荣
89,中国红，和平蓝
90,致敬
91,前排，中国加油！
