,comments
0,人民英雄
1,致敬
2,大佬
3,猎枪？不~迎接他的只有灭亡！
4,石家庄加油！
5,欢迎武汉回来
6,院长
7,致敬
8,大概我一生的好运都用来投胎了吧。
9,国泰民安，风调雨顺
10,再来亿遍
11,引起共鸣，中国我爱你
12,致敬
13,致敬
14,致敬人民英雄
15,2021年来了加油我的祖国
16,赔我眼泪
17,我爱你中国
18,我爱你中国
19,我爱你中国
20,不知不觉的泪水
21,致敬
22,医务工作者辛苦了！有幸认识你们，全国人民都记得你们的付出。辛苦了
23,泪目
24,敬礼
25,再来亿遍
26,江西人民发来祝福
27,俺也一样
28,致敬
29,伟大的祖国，万岁！！！
30,直接泪崩
31,致敬
32,致敬
33,我又回来了
34,致敬
35,我爱你祖国
36,尤其是武汉人可能感触更深
37,一二月份的时候哪能想到现在
38,致敬人民英雄！！！！！！
39,致敬人民英雄
40,这唱的也太好了
41,致敬
42,我爱这土地爱的深沉
43,泪目
44,致敬
45,四川人民发来祝福
46,致敬
47,我的妈。。张院长
48,人民英雄张定宇，致敬
49,歌曲一起来就泪目啊，当年志愿军抗击美帝，今天后辈抗击病毒
50,祖国万岁
51,今天的生活来之不易
52,英雄的人民
53,致敬
54,致敬！！！
55,江河无恙，国泰民安
56,致敬
57,向您致敬张张院长
58,打死那些豺狼虎豹~~~
59,中国万岁~~~
60,致敬！！！！
61,专门把眼镜摘了方便擦眼泪
62,中国必胜！
63,致敬
64,致敬
65,俺也一样
66,俺也一样
67,致敬
68,爱国主义是我们的基因
69,我家是汾河的一条小支流
70,过来了
71,江大诶
72,锋范
73,致敬
74,英雄的城市！英雄的人民！
75,致敬
76,这个视频做得好
77,只要祖国需要我随时回军队，为祖国而战。
78,若是那豺狼来了迎接他的有猎枪。
79,我变色了
80,中国加油
81,致敬
82,警察小哥哥好帅！！
83,致敬
84,人民英雄！
85,人民英雄
86,我们有14亿英雄，所以我们牛逼！
87,眼泪哗哗
88,武汉是一座英雄城市
89,致敬
90,祖国万岁
91,永远年轻永远热了盈眶永远爱这边土地
92,致敬
93,致敬
94,致敬！！
95,致敬
96,致敬
