,comments
0,恭喜恭喜
1,99
2,新婚快乐
3,恭喜恭喜
4,祝福
5,恭喜
6,百年好合
7,恭喜
8,啊啊啊啊啊啊祝福！！
9,恭喜
10,这狗粮真好吃 再给我来一碗
11,恭喜恭喜
12,百年好合
13,恭喜
14,一键三连随份子
15,投币随份子
16,新婚快乐！
17,甜甜蜜蜜
18,百年好合！甜甜蜜蜜！
19,英雄夫妻！
20,百年好合！
21,恭喜恭喜恭喜，百年好合！百年好合！
22,好漂亮
23,好漂亮
24,恭喜恭喜
25,好甜
26,呜呜X﹏X
27,绝对同意
28,恭喜
29,祝福百年好合
30,嗝
31,百年好合，早生贵子
32,恭喜恭喜
33,百年好合
34,恭喜
35,啊啊啊啊啊啊祝福啊啊！
36,这碗狗粮我干了！大家随意！
37,新婚快乐！恭喜恭喜啊！
38,祝福！新婚快乐！
39,普通人践行伟大的事业
40,恭喜，祝福你们
41,央视点名  恭贺
42,新婚快乐！
43,祝福祝福祝福
44,新婚快乐！永远幸福！
45,恭喜恭喜，新婚快乐
46,哎，吃撑了。。。
47,百年好合！
48,恭喜，希望一生顺遂
49,百年好合
50,百年好合
51,新婚快乐
52,恭喜
53,以后你们都要平平安安的
54,咯嘣脆
55,百年好合，早生贵子
56,这狗粮我先干为敬
57,百年好合
58,随俩币，当份子钱！
59,恭喜恭喜
60,恭喜恭喜，百年好合，早生贵子
61,恭喜恭喜
62,祝福！
63,祝福
64,恭喜ヾ ^_^♪
65,恭喜恭喜
66,百年好合
67,恭喜
68,恭喜恭喜
69,恭喜恭喜
70,恭喜！
71,百年好合
72,狗粮我干了！
73,恭喜恭喜
74,新婚快乐
75,喜
76,百年好合(✪▽✪)
77,早生贵子！
78,恭喜！恭喜！
79,百年好合，新婚快乐
80,新婚快乐
81,百年好合
82,带着我的祝福百年好合！！！！！！！！
83,恭喜
84,恭喜恭喜
85,哇哇哇哇哇恭喜恭喜
86,祝福祝福
87,恭喜恭喜
88,哇哇哇
89,好羡慕唉
90,要幸福呀
91,新婚快乐，百年好合。兄弟们这碗狗粮我先干为敬
92,哇哇哇
93,百年好合！
94,恭喜恭喜
95,恭喜
96,囍囍囍囍囍
97,这个婚礼牛逼，央妈播报
98,恭喜
99,经历过磨难的感情才是真感情，古人诚，不欺我！
100,囍
101,两硬币当份子钱
102,恭喜，恭喜！
103,谢谢央妈让我还相信爱情
104,央妈见证，我tm酸了
105,恭喜！百年好合！
106,恭喜恭喜
107,99
108,投币随份子
109,百年好合
110,我得病了，吃狗粮才会好，快上多点
111,央视的见证，我好酸啊
112,恭喜ヾ ^_^♪
113,恭喜恭喜
114,新婚快乐！
115,好幸福啊！
116,恭喜恭喜呀！
117,恭喜
118,恭喜恭喜百年好合早生贵子万事如意
119,新婚快乐
120, 恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜
121,你们要幸福平安！
122,感谢你们 要幸福
123,一定要幸福
124,百年好合!
125,囍
126,新婚快乐
127,俩币份子钱已发出，恭喜
128,恭喜，恭喜，可喜可贺，可口可乐，百年好合，早生贵子。
129,第一次心甘情愿吃狗粮
130,第一次心甘情愿吃
131,百年好合
132,百年好合！
133,恭喜恭喜
134,恭喜恭喜
135,囍
136,恭喜恭喜
137,百年好合
138,恭喜
139,俩币随份子了
140,恭喜恭喜
141,百年好合
142,囍
143,百年好合，白头偕老。
144,这狗粮我吃了
145,新婚快乐
146,祝福
147,最美天使
148,喜结良缘
149,好帅啊
150,真好 一定要幸福
151,说的我满眼泪框
152,吃了
153,恭喜百年好合早生贵子！
154,百年好合
155,感激感谢感恩，但是不鼓励同时上一线
156,新婚快乐
157,祝顺顺利利美美满满
158,nnd，说得我眼泪都要流出来了
159,祝福你们
160,呀！沾沾喜气
161,已币，恭喜恭喜。
162,恭喜恭喜
163,恭喜恭喜
164,囍囍囍囍囍囍囍囍囍囍
165,百年好合
166,投币随份子
167,百年好合
168,永结同心！
169,般配
170,恭喜恭喜
171,狗粮管饱
172,恭喜！百年好合，永结同心！
173,百年好合
174,哇塞
175,幸福平安啊！
176,恭喜
177,恭喜恭喜
178,恭喜恭喜
179,好甜
180,白头偕老
181,祝新婚快乐！万事如意！
182,百年好合
183,恭喜
184,永结同心！白头偕老！百年好合！
185,百年好合！！！！
186,新婚快乐
187,恭喜恭喜哈
188,祝福
189,这特么才是真女权
190,恭喜
191,三连随礼
192,这波狗粮我咽下了
193,有情人终成眷属
194,羡慕了
195,白头偕老
196,百年好合
197,百年好合，早生贵子
198,百年好合
199,百年好合
200,好吃的狗粮
201,恭喜恭喜
202,祝福
203,恭喜
204,祝福，新婚快乐，百年好合！
205,百年好合！！！
206,百年好合！！！
207,着狗粮玩撑也撑下去
208,人在家中做，狗粮天上来[doge]
209,百年好合
210,囍
211,恭喜
212,投币随份子钱
213,祝福你们！
214,这狗粮吃定了
215,投币随份子，永远幸福
216,投俩币随份子
217,嗝嗝嗝，好饱，但我还能吃
218,百年好合！
219,投币随礼，愿百年好合！
220,好合啊
221,祝福你们
222,狗粮我想再吃多一点
223,一定要幸福
224,百年好合
225,这狗粮我吃定了
226,恭喜恭喜
227,恭喜恭喜
228,最美婚纱照
229,祝福
230,新婚快乐！
231,恭喜！
232,外科和骨科的医护都上了
233,祝福
234,恭喜恭喜
235,百年好合
236,沾点喜气
237,沾沾喜气，百年好合，永结同心哦
238,这恩爱秀的
239,Congratulations
240,撑起半边天的女战士！
241,好吃的狗粮
242,这狗粮，嘎嘣脆
243,这狗粮吃着上头
244,幸福美满
245,新婚快乐，百年好合
246,祝福你们
247,永结同心白首偕老
248,百年好合
249,百年好合
250,恭喜！！！新婚快乐！
251,真幸福啊
252,这狗粮真香
253,恭投个硬币随份子
254,这才是真正的土味情话
255,恭喜恭喜，百年好合
256,祝福祝福祝福！！！！
257,恭喜
258,恭喜恭喜！
259,恭喜恭喜
260,恭喜恭喜
261,永结同心，白头偕老，早生贵子哈
262,百年好合，早生贵子哈
263,百年好合
264,恭喜恭喜
265,两个币的份子随了
266,祝福
267,恭喜恭喜，新婚快乐！
268,白头偕老
269,恭喜
270,来，这狗粮我还能吃
271,新婚快乐
272,新婚快乐
273,百年好合
274,郎才女貌，白头偕老
275,百年好合（不好意思上面打错了）
276,百年好和
277,百年好合
278,恭喜恭喜
279,恭喜
280,嫁衣比婚纱好看的多啊
281,恭喜
282,恭喜恭喜
283,随个份子
284,百年好合
285,百年好合
286,囍
287,白头偕老
288,恭喜恭喜
289,囍
290,给不了怎么办？
291,祝福
292,白头偕老子孙满堂！
293,有多少狗粮  我一个人吃了
294,恭喜恭喜
295,恭喜恭喜
296,恭喜恭喜
297,这波狗粮我吃了！
298,投币就当随份子钱了，要幸福
299,好般配啊
300,般配
301,百年好合！
302,恭喜恭喜
303,早生贵子
304,新婚快乐
305,恭喜恭喜
306,幸福一生。谢谢你们
307,百年好合
308,恭喜恭喜
309,百年好合
310,投币当随礼了
311,恭喜祝百年好合
312,恭喜
313,恭喜
314,恭喜
315,啊啊啊啊啊啊啊啊
316,一直看她好浪漫啊
317,恭喜恭喜
318,百年好合
319,祝福
320,百年好合
321,都好漂亮啊
322,恭喜恭喜啊！
323,恭喜！！
324,恭喜
325,祝福你们！永远幸福！！！一定要幸福！
326,百年好合
327,恭喜
328,百年好合
329,恭喜，新婚快乐！
330,百年好合
331,祝福
332,百年好合！！！
333,感动，这种在抗疫战场上生死与共的伉俪之情让我感动
334,恭喜
335,恭喜啊一定幸福
336,百年好合
337,恭喜恭喜！新婚快乐！
338,祝福！
339,百年好合！
340,祝百年好合
341,恭喜恭喜
342,祝福
343,新婚快乐
344,恭喜
345,早生贵子
346,百年好合！
347,真好啊！
348,恭喜恭喜
349,囍囍囍
350,恭喜，新婚快乐
351,恭喜恭喜  新婚快乐
352,百年好合
353,赶紧随份子
354,两个硬币，当我随份子了
355,囍
356,我同意这门亲事！
357,祝，百年好合，早生贵子
358,我硬币没有了，等我攒两天，我来随份子
359,百年好合
360,与国同喜，恭喜恭喜！
361,你理解了！
362,这颜色，真是喜庆，喜结良缘，恭喜恭喜
363,加油！！祝好！！
364,辛苦了
365,一个美，一个帅！
366,恭喜！百年好合！
