,comments
0,禁止冷冻食品。
1,不吃进口货
2,是要实践 实验室环境还安逸的 没有物流
3,板蓝根有用吗
4,李梓萌贷款上班2333
5,内搭也太好看了
6,我来学习了
7,可怕 全天下的人与物都想害朕
8,冷冻食物要煮熟啊兄弟们，
9,寒冷抗性
10,马上又要进冬了，又到了呼吸道疾病高发季节了。。。
11,BGM: To Victory - 横山克
12,勤洗手
13,央视里面果然有二次元卧底
14,这BGM是认真的吗？好出戏
15,空之轨迹背景音？
16,BGM是机巧少女不会受伤里的
17,冷冻食品，危
18,不吃进口吃品就是
19,最近不要吃进口冷冻食品
20,这bgm好像是某部日剧的插曲
21,卧槽
22,知己知彼 胸怀天下
23,知己知彼 纵横天下
24,啊这不是我今天练的稿子的完全版本吗
25,guan一声好评
26,亿点
27,中国强
28,BGM有点来头啊
29,BGM有点开头
30,等等，这个bgm不是《机巧少女不会受伤》里的吗？
31,宇宙敌人
32,彻底解决了自然产物
33,好方
34,萌萌
35,美国买苹果
36,建议不要有弹幕功能
37,细思极恐
38,旭旭宝宝
39,石锤。
40,吓人
41,这个BGM是认真的？
42,冬天来了，万物皆可传染
43,进口的冷冻食品
44,这个眼妆有点。
45,加BGM挺好的
46,没有弹幕嘛
47,可怕
48,建议别配BGM
