,comments
0,这个病毒喜欢冷环境
1,我估计武汉海鲜市场也是外国传进来的
2,害怕
3,人传物，物也可传人
4,？
5,不论荤素，病毒都能不死啊，跟食素什么关系
6,吃熟的最好
7,这病毒真是没完没了了
8,海鲜真是防不胜防
9,不能吃进口的东西了
10,没声音的是啥？
11,死不了
12,害怕
13,可以 唇语
14,害怕
15,jl一起 aimosv
16,很多冷冻食品，猪脚，骨头，猪肉，鸡，海鲜
17,禁竹鼠不禁海鲜就离谱
18,为什么不禁止海鲜进口
19,食素戒杀
20,害怕
21,了解了病毒是什么 就知道物传人一点都不稀奇 
22,别慌
23,长舒一口气 天天回家先用酒精喷外面带回来的东西 算是没白做
24,太难了
25,害怕了…………
26,？？？惊了
27,尽管尽管
28,？？？
29,各地海关：海鲜包装
30,北京：海鲜砧板
31,武汉：海鲜市场
32,wc
33,害怕
34,为什么还不禁止冷鲜进口WHY？多少次了？ 还不禁？
35,像韩国人
36,害怕
37,冷链！
38,好在我一直坚持买东西消毒。
39,？
40,我的天
41,长期啥？！关键点P掉了
42,giao
43,又进化了？？
44,？？？？？？？？？？？？？
45,给冻品做咽拭子？（不是）
46,害怕
47,害怕
48,害怕
49,害怕
50,我的天 还长期的
51,以前是不是算物传人
52,害怕
53,不是声音卡了，是关键字屏蔽，略过就行了
54,大家不要松懈，一定要平平安安
55,防不胜防
56,啥
57,昨天刚刚吃了雪糕
58,啊这
59,哈？
60,害怕
61,害怕
62,那没错，你卡了
63,接触传播
64,门把手
65,？？？？？？？？？？？？
66,害怕
67,恐怖
68,妈耶
69,害怕
70,？？？？，刚才说了什么
71,天哪
72,害怕
73,话说为什么央视不是百大
74,我好害怕
75,害怕
76,我是物
77,核病毒！
78,天啊
79,可怕
80,背锅的武汉
81,本来就可以传呀
82,唔可以传人，那还是不吃外国货了吧。要是真有个病毒，唉。咱这我还是个六年级的学生啊，不是人传人，把整个学校给传的，然后不可想象。
83,不怕
84,不慌
85,怎么到现在还有人再说群体免疫这个荒唐的做法 还唯一的 
86,这玩意儿太顽强了吧
87,可怕
88,战术静音？
89,害怕
90,疫苗
91,妈呀
92,我好害怕
93,难道群体免疫才是唯一出路么…
94,都卡了吧
95,卧槽
96,智能病毒
97,我的天
98,啥时候能完
99,卡了？
100,消音
101,进口的
102,讲话还带口罩，前面的你傻吧
103,那个说滤镜的，你觉得你很幽默？
104,这里消音了
105,不是早就物传人了么
106,物传人！！！！！
107,害怕
108,所以武汉的海鲜市场。。
109,害怕
110,太难防了
111,我的天哪
112,能不能整点阳间的滤镜
113,别惊讶物本来就可以传人，比如扶手桌椅食品
114,所以极有可能是美国军方通过污染海鲜市场导致的
115,我聋了
116,我也卡了下
117,卧槽
118,不看稿，牛逼啊
119,！！！！
120,我也是
121,武汉海鲜城  你细细品
122,啊这
123,就我这里消音了下？
124,啊
125,我以为我卡了一下
126,懂了，不吃冷冻食品，特别是进口的
127,就应该这样，不要瞒着
128,我聋了？
129,声音忽然卡了
130,这个信息公布很重要
131,物可传人
132,对外贸打击相当恐怖 谁还敢买国外产品？
133,相当恐怖
134,天啊
135,物传人了呀，难搞了
136,越了解，越勇敢
