,comments
0,中国基建狂魔不是盖的
1,你的命不止400 
2,能不能别一副lsp的样子
3,狂笑
4,好像开了大头特效，可爱
5,蝴蝶结漂亮
6,吾与曹贼何异
7,前面的，只是没有严重不良反应
8,nb
9,有点像武契奇！！
10,一定要狠狠的卖一波，赚一波外国人的钱
11,哪家公司做的？发了
12,我只爱漂亮的
13,马保国
14,和珅脸
15,你家两杯星巴克四百？
16,胖头鱼
17,厉害了我的国
18,中国牛逼
19,开心的笑脸
20,我老婆
21,你们这些花心的男人
22,小黑的X1!
23,新的老婆已经出现
24,声微饭否？
25,中国加油
26,浙江200一支
27,疫苗的使用更多是一种权衡下的利弊，你不可能要求百分百安全，关键是能完全降低疫情的伤害
28,那冰冰就是我的了
29,新老婆
30,200挺便宜的
31,50？那的是包装的价钱
32,医保，钱不够啊
33,慈祥
34,新收视密码？
35,收视密码？
36,新老婆
37,又找到了诀窍
38,国内普通民众没有太迫切需求
39,做瓶子和物流企业发财了
40,医生先打吧，我们后打无所谓
41,无不良反应，就是没问题啦。
42,漂亮的小姐姐都上交国家了
43,发了发了
44,冰冰对不起
45,没有三分钟了
46,666666
47,牛逼！
48,这是谁这是谁？
49,好专业的回答啊
50,我是来看小姐姐的
51,点赞
52,音效比声音大太多了
53,这是我的新老婆，大家不要抢
54,真漂亮
55,我们没啥疫情了，都能接受，可想而知多低
56,现在央视记者一个比一个漂亮耶
57,看到这样的笑容 心里就觉得安稳了
58,必须严谨啊，你不能说大概什么时候吧，这种场合
59,让你们来看新闻，你们特么的在干啥都
60,这个小姐姐也好看
61,哈哈哈哈哈哈
62,真牛！
63,200美元不过分
64,多少都接受
65,牛批
66,重点是没有不良反应，证明是有质量保证的疫苗了
67,牛逼！！
68,涨粉密码
69,嫌贵就晚点打就是
70,家里干这个的说得了病，疫苗也可以帮助治疗
71,涨粉密码
72,小姐姐衬衣上是不是还别了一个小蝴蝶结
73,好可爱
74,我国14亿人，国内都得两年的产量啊。
75,50美元有点低了，再翻2倍爱要不要
76,拔刀吧，各位
77,欢迎来到科技美学
78,我是三类人哈哈哈
79,只能说这东西关注点太高了，不敢乱说，而且临床试验保不齐会出什么问题
80,好看
81,马保国
82,央视掌握了播放量密码
83,太少了
84,我能接受的就是的价格就是30。现在穷了。
