,comments
0,现在依然不能回忆，还是会哭
1,有的人嘴真臭，你没有追求就说别人官腔？马斯洛追求的最高层不行吗？
2,我还记得这个
3,太惨了这个
4,中国人感到自豪
5,漂亮姐姐，加油
6,小姐姐好好看
7,小姐姐好好看
8,小姐姐好好看
9,小姐姐好好看
10,小姐姐好好看
11,555555   又泪目了，我的眼泪不值钱
12,谢谢你
13,感慨
14,印象很深
15,写新闻
16,赞
17,漂亮
18,新闻行业是帮民众提供信息还是赚钱的，只会说一句话吗？
19,我也93的！！！
20,这年代谁还写日记，都是外出拍日记
21, 是我，我给央央发过四五条私信
22,央视是国企，啥资本家啊
23,我采访我自己
24,强调重点，团队
25,一看这样的就感动的眼眶湿润
26,我不用放假，24小时在线，想加入
27,7*24
28,现在看姐姐说还会触动的盈眶
29,‘’
30,兼顾及时辟谣
31,央视这样的媒体真是差错零容忍
32,年轻人都是受过教育的一代人，更相信科学
33,现在回头再看抗疫相关的纪实影像还是很激动
34,信息必须准确，央视在关键时刻更不能犯错误，传达错误的信息，压力很大的
35,这应该用可爱
36,算了说了你也不懂
37,这个是责任
38,突发情况，真的压力很大
39,屁孩动不动就资本家
40,责任
41,漂亮
42,这是国家媒体，和资本家无关
43,没有上班时间，没有下班时间
44,前面的，有稿子的，不过能进央视的，也是高材生
45,好漂亮啊
46,弹幕呢
47,川宝说你不及格
48,小姐姐好漂亮
49,做好本职工作就资本家内行了？
50,声音好好听
51,主持人开启聆听模式
52,央视也有被采访的一天233333
53,这个妹子语言组织能力很强啊！！聊到四分钟了，就听到1个语气感叹词。。。太牛了！
54,这女人好厉害
55,辛苦了
56,习惯了心酸，让人更心酸
57,辛苦了
58,真不容易
59,呵呵，996就是你们的福报，吸血的资本家
60,太官腔了吧，看得难受
61,好可爱的姐姐 圆脸！
62,哈哈哈哈跟方方日记对线
63,辛苦了
64,拿命去肝啊！！！
65,名言名句
66,"啥意思,鼓吹7247?"
67,慌得一批
68,川建国？
69,资本家高呼内行
70,咋没弹幕
71,关键是从1.13传播影响到14
72,饼叔。。。
73,这编辑小姐姐绝对是名牌大学毕业的，思路和表达太强了
74,暗示24待机，够弹性吧
75,"有個媒體人可以上節目接受觀眾稱讚,有的媒體人在那裡還不知道"
76,这就是央视小编啊有点好看
77,1
78,看过武汉日记，第一视角真的很震撼
79,哈哈同行们加油
80,感动
