,comments
0,China！China ！China！
1,懂个
2,中国
3,魔法？？？！
4,课费课费
5,电视关了就没有了，何必等大选
6,China
7,可可爱爱
8,阿巴阿巴阿巴
9,画大饼
10,内战！！！
11,因为都死了？？？？
12,一天死1000多，飞机坠毁500人算什么？
13,川宝可爱 妈妈爱你
14,啊这
15,靠北
16,哈哈哈哈哈哈哈哈
17,china！
18,一群傻子
19,假新闻
20,新素材get
21,COVID
22,不报道就等于没有，疫情结束啦，狂欢吧
23,大选后，美国boom
24,听不到等于没有，完美
25,最多维持1天
26,哈哈
27,复读机
28,押韵是什么回事
29,China China China China  China China
30,哈哈哈哈哈一飞机几百人，一个州都病死多少了
31,China
32,China
33,China
34,China
35,China
36,China
37,China
38,China
39,China
40,可爱
41,哈哈哈哈
42,要点脸吧
43,人没了可不就听不到了吗
44,复读机
45,哈哈哈哈
46,没有china，味道不纯了
47,Fake news
48,这字幕配得真像手风琴
49,Kobe Kobe Kobe
50,对于生命的漠视到了令人发指的地步
51,那好办，只要人都死光了就不会报道了嘛
52,因为都死光了是吗
53,yeah～
54,新冠：看来你还是不懂我，等我，川建国同志
55,？？？？？？？
56,咖啡咖啡咖啡咖啡
57,掩耳盗铃
58,什么时候死了500人
59,听不见了
60,咖啡
61,害怕
62,20w都看不见
63,手风琴带师
64,挖耳盗铃？！
65,只要我听不到，它就没发生，典型的掩耳盗铃
66,哈哈哈
67,咖啡咖啡咖啡
68,国家兴亡，匹夫有责。
69,可爱
70,咖啡？？？
71,？
72,终于不是拆哪了吗？
73,有画面了哈哈哈
74,有这样的人当总统 何愁美利坚不亡
75,China！！！
76,这个人就是个傻子
77,大选之后都是rip
78,哇哦。。
79,I love China!
80,哈哈哈哈哈哈哈哈
81,众所周知  只要新闻不报道新冠就不存在
82,急急急哈哈哈哈哈
83,手风琴演奏开始
84,china！china！china！
85,咖啡
86,咖    啡
87,是说活不到那时候了吗
88,我来证明这不是鬼畜视频
89,我来证明不是鬼畜视频
90,复读机
91,新 闻 管 制
92,。。。。
93,。。
94,掩耳盗铃呗  不报道就没有了么
95,500＞20w
96,新鬼畜题材
97,hhhhhh
98,一天五百
