,comments
0,好样的
1,建议红白机一套
2,辛苦了
3,三哥泪目
4,移动电信差评呀！
5,给三哥送葬那个笑了
6,给三哥送葬那个笑死我了
7,哈哈哈哈哈哈哈哈哈哈哈哈哈
8,@华为来修基站
9,辛苦了
10,够不够馋死对面阿三的啊?
11,没网怎么下小说
12,藏南
13,战士辛苦了
14,东北小伙子
15,主要我们的迷彩服没有汗馊味，三哥不喜欢
16,没有咖喱三个不爱
17,辛苦了
18,没网也能玩单机游戏啊，局域网对战啊
19,华为：听说这儿没信号？
20,致敬
21,也致敬后勤保障单位
22,天基互联网必须要加紧建设
23,科长飞啊
24,多准备点PS4
25,邹姓！！
26,活捉满广志
27,赞
28,网络早拉过去了
29,点赞
30,航校培养不少优秀飞行员
31,辛苦了
32,辛苦了
33,辛苦了
34,5G搞起来
35,隔壁三哥流下了羡慕的泪水
36,好
37,致敬！
38,花生米何在？
39,消逝的光芒同款，哈哈哈
40,辛苦了
41,nice
42,致敬
43,我大唢呐请求出战~~
44,致敬
45,三哥现在过的好吗？
46,不应该准备半年的物质吗？
47,无人直升机不试一下
48,辛苦了
49,致敬
50,三哥:wdnmd
51,致敬
52,声音很小
53,三哥：你们尽管秀，谁被冻成狗谁知道
54,复水蔬菜
55,带上本电子书，下好各种小说。
56,需不需建基站弄个wif?我会熔纤拉宽带设wif跳光。
57,好，我鼓掌
58,mi17
59,三哥称我们为少爷兵。我很欣慰
60,没有外网吧
61,致敬
62,辛苦了
63,吃不完能打包不……
64,送个华为，开个吃鸡
65,穿短袖……
66,拉有线网络
67,这一听就是东北普通话
68,三哥：求蹭网
69,虾仁猪心
70,不考虑送一台ps4嘛
71,三哥哭了
72,没网？不存在的，架个基站啥都有
73,好家伙，24架次
74,东北口音
75,好评！多送书籍电影音乐资料
76,保家卫国的战士辛苦了！
77,边防战士物资一定要保证
78,保家卫国！人民英雄！
79,无线电
80,有内网
81,没有蔬菜?
82,文化箱就有点过了吧？
83,隔壁三哥馋哭了
84,致敬
85,这种地方天气多变，有时候白雪皑皑有时候烈阳暴晒
86,好
87,给官兵们搞几个xbox ps4呗
88,锣……锣鼓？这是要送阿三上路了吗？建议再加个唢呐
89,这次印度确实要哭晕在厕所了
90,科长
91,沈阳口音
92,看到战士们吃得好就放心了
93,个多月h
94,照顾好他们
95,加油
96,好
97,单机游戏才是王道
98,一人一个小太阳
99,三哥流口水
100,jf
101,米171？？
102,锣鼓？给三哥送葬的吗？
103,后勤角度这么一看，直20当真是比武直十重磅啊！
104,在高原，青菜就是奢望
105,肉放在外面都不会坏
106,好家伙 堆成山
107,辛苦了
108,这红箱子是烟花吗
109,致敬
110,阿三，泪目
111,给战士们配几台电脑打打怀旧服吧。
112,阿三吃的可好了呢，十多种口味的咖喱，吃三天就吐了。
113,沈阳人
114,辛苦
115,不错
116,辛苦了
117,多弄点好的！
118,有电话啊
119,辛苦他们了
120,这种环境最适合学习了
121,有好书就行
122,三哥心痛
123,野战文化箱可太6了
124,要是没网怎么和外界沟通呢？
125,致敬
126,这特写给的，俄罗斯赶紧打钱！！
127,辛苦了
128,5G基站搞起来啊
129,没网怎么联系
130,这个乐器箱.......战术乐器
131,吃火锅，听着“我在东北玩泥巴”
132,送一批猫猫狗狗过去陪兵哥哥过冬
133,锣鼓算是声波武器，紧急时刻可以制造雪崩
134,辛苦了
135,给战士们多整点好吃的！
136,致敬
137,锣鼓？
138,米171NB
139,一级粳米
140,米171
141,PS4加血源诅咒和黑魂3，1个冬天过不去
142,应该要通网络。。。要不真太枯燥了。
143,真好！
144,这红箱子看成啤酒了
145,开玩笑，非国产电子产品运到边防地区，后勤长官脑袋不要了？
146,有温室大棚吧
147,三哥哭晕在直播间
148,准备些单机游戏啊
149,直升机针不戳
150,锣鼓还行，建议给三个吹个唢呐
151,多冷的隆冬
152,。
153,thicc
154,可以自己发点豆芽萝卜苗啥的
155,给他们多弄点好的
156,现在是ps5了
157,蔬菜应该是菜干
158,辛苦了
159,买几台游戏机
160,辛苦了！
161,辛苦了呀
162,我在东北玩泥巴
163,在山脚的后勤中心，还是干体力活
164,低海拔地区准备出发，温度还好
165,switch啊，舞力全开
166,致敬
167,我们的科技还得不断进步啊，好让战士们不这么困难
168,咋还穿短袖呢
169,给战士们，吃最好的，喝最好的，住最好的。
170,致敬
171,不给个单机玩吗
172,物资，行！
173,阿三羡慕吗
174,辛苦呀，人民子弟兵
175,再买点ps4
176,时蔬有吗
177,吃青菜怎么办
178,战术锣鼓
179,戍边真的太辛苦了！向战士们致敬！
180,起码应该有个4g啊
181,再运点象棋围棋啥的应该也不错吧
182,锣鼓文化箱，哈哈哈
183,这大碴子味儿还是挺浓
184,向守护边彊的战士致敬！你们辛苦了
185,四川口音
186,辛苦了
187,优酸乳！
188,没有网络 天呐
189,超级棒！边防官兵太辛苦了！暖心！
190,好家伙  比我家里都舒服
191,辛苦了...
192,辛苦了
193,战士们辛苦了
194,辛苦了(≧∇≦)/
