,comments
0,来了就不好赶走了
1,来了就不好就赶走了
2,躲避
3,国外应该更久
4,进口外国人
5,新闻不需要美颜
6,这个主持人笑起来好温柔
7,姐姐有点美啊！
8,几千万的合同，隔离个14天又如何，又不是没事做
9,我也觉得是假发
10,小S？
11,澳大利亚参展商来了……
12,国外疫情这么严重，刺激他们生产合适吗
13,万国来朝
14,过来打疫苗的
15,洋鬼子表示：国外太危险，自己能活一天是一天
16,666
17,这是假发吧
18,弹幕
19,赶紧把高新技术买来我们看看
20,外企：谁都不能阻止我来这里(╯‵□′)╯︵┻━┻
21,这美颜有点狠了
22,人为财死鸟为食亡
23,买买买
24,中国万岁！
25,买
26,预祝顺利
27,加油
28,凡所互重，皆为朋友。
29,姐
30,安全
31,我不算好汉233
32,你真美
33,这衣服咋穿。。。难道是新型领带？
34,安全
35,在一起，就可以！
36,在一起，就可以！
37,这边安全→_→
38,到了长城真遗憾
39,因为安全。。。可以过冬
40,国内疫情平稳有充分的购买力
41,别的地方去不了
42,以人为本，得民心者
43,因为他们不想走了
44,国庆去过了
45,安全啊
46,对外开放是基本国策
47,来了不走，因为这里最安全
48,走向繁荣富强！
49,666666
50,来了也可以旅旅游，我们也欢迎
51,不吃烤鸭真遗憾
52,因为算上隔离的时间他都是最安全的
53,真不错
54,国泰民安
55,可以
56,666
57,真好
58,中国加油
