,comments
0,泪目
1,84岁无敌
2,泪目
3,你们那些说18岁的眼睛瞎吗 八十几岁这样是很不容易 但是没必要说18吧
4,致敬
5,中国女篮跟你闹呢
6,这位黑衣服帅哥别哭
7,优秀的人相互吸引
8,真挚的感情
9,zhenzhid
10,王学圻老师
11,老太太年轻时是国家女篮队员
12,致敬
13,致敬
14,国家批准划重点
15,人家是运动员
16,，
17,泪目
18,厉害！
19,声音真像
20,致敬
21,致敬！！！！！
22,住过院的知道医生的时间有多紧
23,郎才女貌天生一对
24,郎才女貌
25,打打球减减压，让担心的心放下来
26,哇
27,文武双全
28,儿子比爹看着都老
29,国士无双
30,泪目
31,泪目
32,厉害啊
33,划重点:国家队！
34,李少芬奶奶，以前可是国家队的
35,声音好像！
36,这腰板也太直了
37,84岁身体好好！！！
38,老运动员了，得过世界冠军
39,天啊！神仙爱情
40,这儿子也是医学大佬
41,詹姆斯直呼内行
42,没有一根白头发
43,致敬
44,80多还没退休
45,钟老儿子也快60了吧
46,儿子很棒
47,泪目
48,钟院士的儿子好面善
49,致敬
50,泪目
51,小撒说话真不错
52,标准广普
53,致敬
54,非典也是钟老啊…
55,84？！我的天
56,旭旭宝宝配和钟老相提并论?
57,致敬
58,牛逼！
59,郎才女貌
60,这84？？？
61,好家伙 我直接好家伙
62,钟老腿好看
63,自古忠孝难两全
64,文武双修
65,84岁还能打球，好厉害
66,年轻时候好像旭旭宝宝
67,是你转轮王
68,民有医如此民之幸，国有士如此国之运
69,好帅
70,我的天啊
71,不负天下 终负了你…
72,希望老太太健康长寿啊
73,钟惟德先生眼角的泪光！
74,心系天下好医生不是好家人
75,老奶奶辛苦了
76,神仙结婚
77,np
78,走步啦！走步啦！院士快过来指导一下你老婆哈哈哈
79,84岁能打篮球这身体也太好了
80,害
81,致敬
82,奶奶身体真好
83,他们家人都好真实
84,致敬
85,这样的爱情才幸福美满
86,一家子都是大腿
87,帅哥
88,好家伙
89,致敬
90,有钟院士在一线，国家甚幸
91,致敬
92,弃体从医
93,致敬
94,妻子是篮球国家队的
95,国士
96,奶奶身体健康
97,神仙爱情啊
98,突然泪目了
99,哈哈哈哈老人家身体真好
100,你等我，我等你，等的身份掉过来了，但等的那颗心不变
101,八年之恋
102,84？？？
103,长的真像
104,声音好像
105,哭了
106,太不可思议了
107,声音好像
108,好漂亮
109,老太太可是国家女篮的
110,致敬
111,看到脸了吗 漂亮
112,致敬最可敬的您们
113,nb
114,国家能后继有专家的话，何必让80多老人在外奔波无法陪伴家人
115,满门精英，这才是我们国家栋梁
116,致敬
117,强强
118,致敬
119,致敬
120,孤独
121,哇哇哇哇
122,这身体太好了吧
123,84？
124,祝愿健康长寿
125,致敬 伟大的人
126,把自己的人生几乎都献给了科学
127,北医
128,这男的流泪的亚子好帅
129,祝平安健康
130,想哭
131,致敬
132,国士无双
133,哭了
134,这里是广州医学院的操场
135,84打篮球身体真棒
136,致敬钟院士和他的家人
137,致敬
138,钟惟德先生也是我国医学专家
139,哈哈哈哈钟院士你儿子喊你回家吃饭啊
140,致敬
141,文也行，武也行
142,太强了
143,致敬
144,我觉得只要是为国家做贡献的职业都值得尊敬
145,牛蛙
146,钟老太强
147,卧槽，声音好像啊
148,致敬
149,泪目
150,忍不住了。投币走了。不然要哭
151,我天，这身型，太强了
152,神仙眷侣
153,哇啊啊啊啊！
154,这看起来哪像84啊！
155,能文能武的一代人
156,我哇
157,致敬
158,急救车的声音，朝那边看了一眼
159,致敬
160,ohhhhhh
161,已经84岁了啊。。。非典那时他都到退休的年纪了啊
