,comments
0,致敬所有医护人员
1,致敬
2,2020年真男人 点赞！
3,南山风骨，国士无双！！！
4,致敬！
5,先天下之忧而忧，后天下之乐而乐。国士无双
6,zhijin
7,国士无双！
8,致敬
9,致敬
10,gxt
11,好帅的小哥
12,感谢
13,国士无双
14,致敬
15,致敬
16,背后的故事，更令人敬佩、感动
17,辛苦！谢谢你们
18,感恩
19,辛苦了，感恩
20,是的当时看就觉得钟爷爷很疲倦了
21,国士无双
22,致敬
23,医者仁心 医圣
24,权威。敢言
25,向当时一线每个战士致敬
26,致敬
27,致敬
28,致敬
29,照顾好自己
30,心疼
31,致敬
32,致敬最好级别院士，嘴
33,说真话压力很大
34,致敬
35,辛苦了
36,南山风骨，国士无双
37,致敬
38,国士无双
39,院士辛苦了
40,致敬
41,真正的《武汉抗疫日记》
42,心疼
43,医者
44,致敬
45,感谢
46,致敬
47,致敬
48,方方是个球
49,这个时候再回看，感觉做梦一样啊~这个新冠
50,致敬伟大的中华民族
51,致敬
52,致敬
53,太累了，反应很慢
54,想想福奇·是真的可怜··
55,塑造新雷锋
56,致敬！
57,国士无双
58,泪目
59,要记得他已经是八十多岁的人了。
60,那时候的确是什么都不知道
61,致敬
62,但价值不一样
63,国士无双
64,感恩
65,致敬
66,致敬
67,这声警钟真的是很重要
68,泪目
69,他真的优秀多才到让我觉得我就是来凑数的QAQ 
70,致敬
71,致敬
72,唉
73,84岁了呀
74,致敬！
75,辛苦了辛苦了
76,致敬钟老
77,致敬致敬
78,致敬
79,辛苦了
80,致敬
81,致敬
82,辛苦啦
83,我18号回的家  19号在杭州玩了一天  20号发现之前没在意的病毒危险了！
84,国士无双，致敬！
85,这是个84岁的老人啊
86,对
87,致敬钟老
88,福齐退出直播间
89,泪目，致敬！
90,心疼
91,谢谢您！谢谢各位院士无私的奉献
92,对对对
93,钟老真的好累
94,致敬
95,致敬
96,辛苦了
97,辛苦了
98,致敬
99,xxx出来挨打
100,那时确实是一无所知
101,致敬
102,致敬
103,累到一倒就能睡吧
104,致敬
105,国士无双
106,致敬！
107,致敬
108,致敬
109,先天下之忧而忧
110,榜样！
111,难怪有段感觉没对上
112,国士无双！
113,国士无双
114,为什么这种人的热度比不上马保国？我要给钟爷爷顶上三连！！！
115,致敬
116,致敬
117,太难了
118,太累了，会不自主地走神
119,这个完全KO方方日记
120,以后可以进博物馆的
121,已经很疲倦了
122,致敬
123,三连让更多人看到
124,致敬
125,这个小哥哥头发白了，辛苦了
126,致敬
127,致敬
128,致敬
129,致敬
130,撒撒
131,致敬
132,致敬
133,致敬
134,钟老您辛苦了！致敬
135,造
136,造神
137,致敬钟老！
138,可惜还是晚了点
139,看到那段艰难时期，还是会落泪
140,致敬！！！
141,致敬
142,致敬！英雄
143,致敬
144,致敬
145,致敬
146,国士无双
147,唉
148,麻了
149,难怪
150,泪目
151,厉害，说这些话得顶着多大的压力
152,记得很清楚
153,立党出来挨打
154,国家强力的干预背后也离不开您背后的巨大付出啊
155,国士无双！
156,国士无双，致敬！
157,84岁啊
158,讲好中国故事，做好中国人，加油！
159,致敬
160,值得三连，要让更多人看见
161,谢谢您们
162,致敬钟老
163,拐点之后下降的就很明显了
164,太难了，本来年纪就大
165,致敬国士
166,致敬
167,致敬
168,1
169,..
170,致敬
171,理解
172,.
173,南山定调
174,拐点出现
175,敬佩！
176,致敬
177,致敬！！
178,致敬
179,致敬
180,国士无双。
181,国士无双
182,致敬！钟爷爷和白衣天使！
183,致敬！钟爷爷和白衣天使！
