,comments
0,钟老长命百岁啊！
1,国士无双
2,国士无双
3,严谨
4,致敬
5,钟爷爷好
6,冲
7,感谢
8,辛苦辛苦啦
9,国士无双
10,此时钟爷爷 84岁了！
11,新冠病毒能感染皮肤汗腺细胞，境外快递必须消杀。
12,给钟老打call
13,吾辈楷模
14,偶像
15,国士无双
16,这是对的
17,respect
18,辛苦了
19,挺好的
20,国士无双
21,没弹幕？
22,老当益壮，国士无双。。。
23,国士无双！！！
24,这是八十多的人？
25,国士无双
26,实在
27,生物岛
28,人数不支持
29,这几天因为作业查钟老资料非常感动，致敬
30,致敬！感谢！
31,后辈当自强
32,学生物的狂喜
33,专业
34,辛苦了
35,我也是
36,a
37,国士无双
38,老当益壮
39,话语权！
40,我们控制住后国内再也没有发生，都是外来，可以判断不是来自自然界。
41,道路还很长啊
42,很实在
43,就是说国产疫苗需要更严谨客观的数据出现才会公布
44,辛苦了
45,牙是真的吗
46,厉害了
47,国士无双 致敬
48,致敬
49,钟老辛苦了
50,为社么没弹幕
51,老爷子八十多，看着真的年轻
52,这是一个最好的时代，也是一个最坏的时代
53,辛苦了
54,致敬
