,comments
0,有心了
1,太委婉害人啊
2,马里奥
3,瘟疫公司
4,好家伙 直接出口
5,进化得太厉害了
6,前面说生物是文科的怕不是没读过高中……
7,干了不可描述的事情
8,血液也会传染
9,细胞：单纯无辜
10,美国性病
11,好用心
12,感染艾滋病，基本只能在无菌室里面生活了
13,大制作啊，做这些挺费心的
14,谢谢
15,模型好用心
16,就像新冠一样？
17,血液也会传播的，不要只知道性传播
18,好家伙，生物必修三才学的
19,.....
20,太好笑了吧哈哈哈哈哈哈哈
21,老原儿!!
22,厉害
23,卧槽
24,这个细胞是t细胞
25,治疗成本相当高的
26,那个是RNA，要先逆转录的
27,？？？
28,别去hiv吧
29,抖音关注了老原儿的，出息了
30,？？？？？？
31,了改了改
32,道具太可爱了
33,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
34,生物难道不是文科？
35,模型厉害了
36,我生物老师要会这样两下，我也不至于选文
37,干了奇怪的是
38,鸡尾酒疗法
39,哦草
40,这猎人的捕获就离谱
41,病毒通过伤口传染
42,快乐
43,所以呀，没有捕猎野生动物就没有这种伤害。
44,翻云覆雨
45,用心了
46,不知不觉
47,哈哈哈哈
48,又不是只有性传播，血液更会传播。。
49,饮血，很正常
50,可以的很形象
51,重做系统吧
52,都怪猎人
53,。
54,6666
55,龟龟
56,很快啊，啪的一下就站起来了
57,众所周知 弓兵会近战
58,硬核猎人
59,666
60,我爱发明
61,猎人是单身狗，全剧终
62,击剑
63,这模型厉害了
64,真有心了！！！
65,666
66,击剑
67,蜘蛛侦探
68,击剑
69,近日科学家发现一种未知病毒正在蔓延
70,通俗易懂
71,好可爱
72,？？
73,猫咪
74,哈哈哈哈
75,洁身自好
76,等等不知不觉
77,哈哈哈哈好好笑
78,老袁
79,哼快啊
80,哈哈
81,热乎二十分钟
82,野味病毒
83,抗体？？？
84,？？？？？？
85,：
86,用心了呀
87,很快啊
88,形象啊
89,？这个姿势是在暗示什么
90,没这么简单吧（滑稽）
91,不知不觉
92,大制作
93,做得真好
94,很快啊
95,sure？
