,comments
0,顶上去
1,因为没痊愈的都见耶稣了
2,美国道歉
3,能杠下来就活着，抗不下来就死了
4,前面的英文错了吧意思全反了
5,病毒性肺炎 没毛病呀 新冠也是病毒嘛
6,美国赔款谢谢
7,就是美国病毒
8,fake news next
9,呵呵
10,好家伙。
11,好家伙
12,那个时候的病毒可能还没有进化得这么厉害
13,usvirus
14,可还行
15,这个舅妈是怎么翻译出来的？
16,这个没错啊！就是病毒性肺炎
17,并不是没有扩散，而是不知道这个病毒，没有检测的手段甚
18,蝙蝠，我错怪你了
19,三个月呼吸机！这是矿里有家啊
20,有什么奇怪的
21,没治愈的都去世了
22,病毒性肺炎那不就是新冠病毒肺炎吗？
23,好家伙整整一年了 
24,好家伙我直接好家伙
25,其中大部分，应该都是没事找事博关注
26,去拍个片看看肺部什么样就知道了
27,好家伙
28,virUS
29,病毒型肺炎不就说新冠了啊
30,电子烟: 我好惨
31,好家伙
32,《China needs to apologize》
33,好家伙
34,美国病毒实锤
35,可怕
36,好家伙好家伙
37,新冠的确也是病毒性肺炎（狗头）
38,火钳刘明
39,天阿
40,这是什么app啊 可以和国外网友聊天
41,德克里特肺炎
42,德克里克肺炎
43,美国病毒
44,美国肺炎
45,我觉得
46,幸存者偏差可以发言论的都是活下来的
47,幸存者效应可以发言论的都是活下来的
48,北美病夫
49,美国病毒
50,万毒之源美国，历史可鉴
51,没治愈的现在也没办法上网分享了吧
52,好家伙
53,virUS
54,。
55,把或去了
56,好家伙
57,思细级恐
58,病毒性肺炎没毛病
59,前面的，那不是都治愈了，幸存者偏差而已，没治愈的哪能活到现在
60,美国医学界自己的研究早在去年12月美国就流行了
61,离谱
62,好家伙
63,美国传来的病毒实锤？
64,竟然全治愈了
65,美国新冠病毒
66,美国bd？
67,这肯定是扩散了啊……
68,那个国家很漂亮
69,那时病毒还没太毒吧
70,那里病毒还没太毒吧
71,我的天
72,←阅读理解零分
73,关键每次这种事情爆发欧美佬都是藏着掖着的，不然也不会搞得全世界都这么严重
74,北美病夫
75,好家伙，贼喊捉贼
76,他高兴的是科学家报道出来了
77,这是自愈了啊
78,他们以为是流感
79,好家伙
80,好恐怖
81,好家伙，有钱
82,病毒性肺炎好像没什么问题
83,发现美国人抵抗力厉害
84,美国去年有大规模的病症，被他们用流感一笔带过
85,好家伙
86,好家伙
87,美国自己自爆，没办法了，只能叫美国病毒了
88,额…这次新冠事实上就是病毒引起的肺炎…
89,集体免疫
90,哈哈哈哈
91,美国
92,美国流感！
93,好家伙
94,这种引用到底需要打码吗？
95,好家伙
96,好家伙美国病毒
97,发烧13天！！？？
98,因为你们看不起医生
99,也许是新冠之前的致死率不是很高的变种
100,美国病毒
101,哦吼~
102,那到底是哪国病毒呢（手动狗头）
103,那没有产生抗体嘛？
104,咱别人说啥就是啥 管好自己家的事不好吗
105,公知表示：没有检测，不严谨，我不听，哼~
106,才一个赞？
107,万物皆可流感
108,你品，你细品！
109,好家伙
110,好家伙
111,好家伙
