,comments
0,网曝真的狠恐怖
1,狠有道理
2,对啊
3,说的对
4,对
5,加油，成都！
6,轮不到你们来哔哔
7,一起加油呀
8,对对对
9,这样孩子会留下心理阴影吧
10,对对对
11,说得好
12,是呀！！！
13,对！！！！
14,对✓
15,哇，这个紫色太好看了
16,正道的光
17,这个说的好
18,对啊
19,恋与的bgm 真的很应景 也讨论过人性的问题
20,这件衣服也太好看了吧
21,对！
22,这个正道 好样的
23,是的
24,太对了！
25,最看不起网暴的人。
26,嗯嗯
27,严惩那些乱评论的
28,关注疫情（✓）人肉患者（X）
29,强烈赞同主持人
30,献上我的三连，不白嫖了
31,就事论事，她怎么过她自己负责，网暴就不对
32,就没必要吃这无聊的瓜
33,不愧是央妈，说得好！
34,说的太好了
35,说得好，没错！
36,我们要消灭的是病毒，而不是感染者
37,对对对
38,关键是还骂错了
39,网络键盘侠才应该被抓起来
40,就是，一码归一码
41,对
42,对
43,个人生活方式没啥高低贵贱的，轮不到键盘侠们喷
44,有道理
45,嗯
46,确实
47,刘翔
48,有什么资格曝光他人
49,真的无语了，在哪都有人阴阳怪气女孩
50,那些自以为读了两年书人太多了
51,说得真好
52,说的真好
53,对！！
54,个人作风问题
55,真会玩
56,有道理
57,对
58,确实！
59,对对对
60,说得对，请不要站在道德制高点批判别人
61,一码归一码
62,键盘侠先判一下
63,对
64,没错！
65,太好看了吧这姐姐
66,抵制网暴！成都加油！！
67,这才是理性的
68,谁想生病呢
69,对啊，管好你自己
70,对
71,对
72,说的太好了
73,都是一些外知，以前的公知，瞎喷
74,对！
75,对的对的
76,对
77,说得好
78,对
79,对
80,很正
81,对
82,对对对
83,对对对
84,嗯
85,哇这个西装 好漂亮
86,你戴口罩了吗？
87,抵制网爆
88,是的！！！
89,人心最可怕
90,可是她去的酒吧也太多了
91,对
92,人肉的必须全部抓了
93,没毛病
94,同意
95,对
96,祖国万岁
97,说得好！
98,对
99,好
100,这句话在理。
101,对对对
102,支持支持支持
103,点赞
104,希望大家平安无事 希望国家国泰民安
105,说的真好
106,有一说一
107,网暴太可怕了
108,还有谣言假照片的
109,这不是两码事么
110,对！那些人真的恶毒
111,这种天气老人家有点咳嗽太正常了，谁会在低风险区往疫情想
112,网络暴力真的可怕啊
113,说得对，
114,据说是官方发的？
115,哎，他们也是受害者。真的没必要这样。
116,人心险恶
117,对
118,是六到七
119,不太合适
120,说得好
121,同意
122,严于律人，宽以待己
123,支持！
124,五角星
125,来回跑
126,请严惩网暴的凶手
127,说的太对了
128,所以人肉她的人抓了吗
129,对！！！
130,说得好
131,理性看待
132,确实如此，这样行为不严厉禁止，那么以后的感染者将不会说实情，疫情将会蔓延扩大化，在座的都有责任
133,确实
134,这对人不公平
135,在不知情的情况下 得病人家也不想啊
136,现在在成都家里，没打算网暴
137,一晚这么多酒吧，懂的都懂了
138,是实话
139,确实网暴太频繁了，这是个世界网络课题
140,中国人表示很害怕。
141,说得好
142,没错
143,赞同
