,comments
0,这太惨了
1,走好
2,美国真是造孽
3,安息
4,一路走好  惨
5,都不相信
6,怀孕男孩母体的免疫系统会被抑制啊。。。不是论文吗
7,哎
8,是不是哦
9,RIP
10,举报了，笑你马啊！
11,RIP
12,唉
13,安息吧
14,一路走好
15,日记记下来
16,热爱生活，热爱自由，支持你
17,哎
18,好可怜 哎
19,安息
20,命运多舛
21,哎
22,唉。
23,惨
24,哎
25,唉…
26,太惨了……
27,唉...
28,哎
29,悲剧
30,R.I.P
31,一路走好吧
32,可怜的母亲和孩子，唉
33,可怜的孩子，为母亲可惜！
34,RIP
35,人间惨剧了这个真是
36,嗨，rip
37,愿逝者安息，可怜小宝宝了，刚刚出生就失去了妈妈
38,唉
39,唉
40,丈夫太痛苦了
41,一路走好，rip
42,前面那个，已投诉，你真可悲啊，啧啧啧
43,一路走好
44,美国即地狱
45,太可怜了
46,安息……愿新冠赶快消失……
47,重症患者还是孕妇都住不上院么？
48,rip
49,RIP
50,可怜啊
51,哎
52,R.I.P
53,哎
54,前面的竟然说没事.....
55,R.I.P
56,哎
57,这个病毒剥夺一位母亲最大的权利
58,RIP
59,他们确实这么想
60,哎。。。。。。
61,hhh美国平民的命不是命
62,等一下，之前确诊都没住医院的吗？
63,真是人间惨剧
64,唉，看着难受~
65,太惨了吧
66,诶
67,诶
68,天哪
69,唉
70,想知道孩子还好吗？
71,人间惨难
72,可怜
73,太可怜了
