,comments
0,踢皮球
1,老师随便出入哈哈哈哈哈哈
2,所以怎么考试？还是没讲？
3,单独放个教室不就行
4,？？？？？？？？
5,不只是隔离考场，还有交通路上。
6,关键是考研啊，大事啊，一年一年耽误不起啊
7,不仅是考知识，还是考心态，太难了
8,计划赶不上变化
9,机智的我，早就去考点附近 备考了。。
10,互相推
11,李林，爱了爱了
12,踢皮球现场
13,经典踢皮球
14,可以单独安排考场啊
15,这。。。
16,除非再跟今年年初一样，否则不会取消考试
17,直接取消合并到明年考
18,不是唯一的出路，但是这个经历不能少！
19,考研大军
20,考研大军
21,不可能因为一两个人就延期
22,青岛大学
23,考研大军的铁蹄都失了
24,太难了
25,其实考研也不是唯一的出路
26,果然得走啊
27,擦！气死了
28,不支持推迟 但请设立隔离考场
29,延期一个周期 保证考生安全
30,定点隔离，专车接送，单设考场，很多问题应该可以得到妥善解决
31,哎呀妈呀，二战
32,设置个隔离考场
33,东宁再设个考场
34,说气人的，人家放行了，疫情反弹是不是又要说人家监管不严，执法不严?
35,为啥在讲放假开学啊 先解决一下考试问题吧 球球了
36,同二战 太同情刘同学了 一句都不好使 好绝望啊
37,如果哪个环节的放松出了问题，丢工作都是轻的，谁敢懈怠
38,隔离考试吧
39,因为学生好管
40,这就生气了？
41,单独放一个考场不行吗
42,还是二战的，认真复习不能考试可太惨了
43,这就是命
44,能不巨婴么？语气也挑刺了
45,我要气死了
46,要不让他去南方考？你们南方不隔离？
47,不死板，疫情扩散咋整啊
48,可是突然成为中风险地区人家也不知道啊……怎么怪别人不去隔离
49,唉考研我不怕，就怕考不了
50,语气很正常
51,隔离人都在一个考场是有风险的，就像国外回来隔离都得一人一家一间，只能一个人一考场比较安全，但是这可能吗
52,相信有啥用
53,说延期考试的都不懂脑子，张口就来？
54,唉
55,工作人员也是按规则办事有啥好喷的
56,422万 越来越多
57,延期
58,考研上岸
59,希望疫苗赶快做出来
60,这语气真不错
61,延期更麻烦，夜长梦多的
62,一例而已
63,本东北人表示 在东北就是因为这些人说话语气 觉得活的憋屈
64,老黑龙江说话方法了
65,辛苦备考了一年，心里上的压力该有多大，希望快点找出办法
66,东北大学综合楼啊，好久没见了
67,太不可行了吧，还剩10天考试，隔离14天？
68,哈尔滨某高校已经放假回家线上考试了
69,难怪东北留不住人才...
70,皮球
71,他也可怜好吗，又不知道会成为高风险地区，而且这个病毒怎么拖那么久啊
72,要我我也会崩溃
73,他怎么会知道成为高风险区了
74,告诉你要考试最后不让你考试是么
75,没到需要推迟的地步
76,不要地域黑
77,小皮球照脚踢.马莲开花二十一.
78,这声音是AI吗？
79,...
80,主要是工作人员的态度有点差，为人民服务
81,李林就是那个18年漏题的那个
82,心态炸了，考也慌了
83,太真实了，我六级也应为疫情没考成
84,单独列考场不行？
85,四川考生加油！
86,不是有疫苗了吗。。
87,延期吧 安全第一
88,卧槽
89,经典操作
90,严格吗？都是作秀
91,春运也重要
92,这语气
93,挺难办的了这样，毕竟有专业课的题
94,爱了爱了
95,延期不可能的
96,好无语 
97,无语
98,这咋办啊
99,呜呜呜
100,就是哈工大
101,兄弟，我也是准备了好久，但我希望大家可以一起考试
102,生气了
103,太惨了
104,过分了
105,他们都没这个权限好吧
