,comments
0,想哭
1,推迟考研吧
2,哎，我是七台河的只能去鸡西考试
3,？
4,这电话那头说话语气特别扯
5,希望大家都能顺利进入考场啊啊啊啊啊想哭了
6,早点结束吧 我不想再熬了
7,三分之一往届生，太离谱了
8,377
9,？
10,不是377吗官网上说
11,不要推迟，反正我已经上岸了
12,这是东大
13,研招网上明明写着377万。。。。
14,加个考场不就好了。
15,矛盾的特殊性
16,河南省有隔离考场啊，我记得，就算你中途发烧也会根据综合医生的综合判断来断定你到底能不能考试
17,大成
18,东大
19,太惨了
20,放进去一个万一出事就是一个考场
21,当个人利益与集体利益冲突时，应当舍弃个人利益。
22,哪怕说话带点同情也行啊，其实一般人多少都会同情吧，就这么冷漠？
23,小皮球
24,不能推迟了，再推迟影响22考研了
25,考研真的太难了
26,李林火了
27,踢来踢去
28,太难太难太特么难了
29,往届生越来越多
30,往届生
31,加油，做题人
32,这是机器人播报吗
33,我们这有隔离考场
34,人家态度怎么了？研招办在网上已经说了有这类情况和报考点联系，我们这里还发短信提醒了。
35,现在好像还有人不能考
36,考编怎么办
37,大连的考研人怎么办
38,我放弃了，报名费还没退我
39,推迟吧
40,从大连去往别地的考生又被隔离了……
41,推迟！！！！！
42,4套卷
43,看成了考研撞上爱情
44,李林排面
45,在本地设置个隔离考场有那么难吗？
46,555555
47,特殊情况特殊处理嘛！卷子可以运过去考！
48,屁话
49,加油
50,这什么态度？这不是有啥说啥吗？
51,很影响心态的，真的
52,太难了
53,综合楼
54,东大大活
55,考研推迟吧
56,422万哟
57,81万
58,422万
59,而且考研二战失败风险太大，二战我整个人都要抑郁
60,高考其他备考事项学校老师都给你安排好了，考研是一个人的战斗
61,太惨了
62,强烈建议改初考时间，年尾考试太不方便
63,这什么态度？
64,加油
65,他们怎么办呀
66,唉
67,这也太惨了
68,人念的吧，有很大的换气声
69,这是中国制度的优越性！！！(^～^)
70,！！！！
71,延迟时间基本不可能，第一考研是到各个学校考试，考生来自全国各地，不可能光等你一个两个，而且如果先后考就有可能会出现泄题的风险
72,近日，国内多地出现零星本土病例。在距离考研还有5天的关键时刻，部分学生的考试计划却被疫情打乱。今年，各地考区要求考生提供有效核酸检测结果，但一些需跨市参考的中风险地区考生，即使提供检测结果，也可能因需
73,每两年多一百万
74,否极泰来
75,强行拉低参考率
76,这是播音腔
77,大不了考试完了出来再隔离
78,不会灵活运用啊
79,啊这！
80,推迟！
81,大成哈哈哈
82,要是能推迟一两个月就好了
83,整个隔离考点？
84,工资—100
85,推迟一下嘛，有关部门多制定几个方案来应对，都是二战三战的，这个对于他们太重要了
86,推迟吧
87,李林
88,要是延期全国都要延期 说不定又会有什么变数 哪有简单的一句话就能解决的
89,东大排面
90,希望有关部门能解决考试问题，大家准备考研确实不容易
91,李林最后四套卷
92,越推迟变数越大不懂吗？多给你一个月好像你能考上似的
93,听见这句话我就想哭了 备考真的太艰辛
94,有隔离考场的吧？
95,加油
96,。。。
97,去年扩招也没上，太难了吧qwq
98,660 330
99,这届考生太难了。。
100,这是东北大学大成教学馆吧
101,这个旁白……
102,应届生在学校考，往届生在生源地考啊
103,有多少人因为这一天考试准备了数年
104,我的天！！！这么多人
105,哇 目标院校
106,好可怜啊
107,太难了
108,唉，难受
109,没办法，这责任谁也担不起啊
110,要是现在河北发现一例二战的我我肯定崩溃
111,加油吧。。。
112,那么问题来了，谁先放假？
113,没办法，都这样，不想担责任
114,我去
115,666
116,二战
117,难啊
118,422万人。赛高！
119,大成
120,这是机器人读的吧
121,见过要求24小时内的核酸检测吗
122,422万！
123,天啊，鸡西市民表示希望有关部门能够提供一个既能保护鸡西市民安全又能不耽误考生考试的两全其美的解决办法
124,李林排面
125,冲
126,660？
127,唉
128,这就是地方很不人性化的地方
129,这不是东大吗
130,能不能给安排单独考试啊
131,这不是东北大学综合楼吗
132,估计是要单独安排考场，延期基本不可能
133,是东大
134,这是个机器人？
135,希望能延迟一段时间呀
136,封面是敖厂长？
137,增加那么多人
138,这东北味
139,7天内的核酸证明
140,还在复习......好难过
141,太惨了
142,一战成硕
143,加油 考研人 
144,核酸检测呗查两次
145,研招网早就在考试注意中提醒了，有些人不注意，没办法
146,好怀念
147,视频时东大
148,这不是东大综合楼
149,可以给这些高风险再开一个考场啊
150,说又不是高考的小朋友，我只能说，说难听点，高考这种过家家能和考研比？
151,根本不科学，应该推迟！
152,你看吧这个硬规定
153,李林四
154,？
155,加油，考研人
156,81万
157,能不能早点放假呀
158,哇这是东北大学
159,加油，上岸
160,级数我看到了，展开式，目测数学一
161,大家加油!上岸!
