,comments
0,预   言   成   功
1,难道不是多数中性变异？课本上的
2,ads效应
3,然后小孩长大，参加二战去了。。。好惨
4,这个快要胜利的音乐声
5,自然选择决定变异方向
6,RNA单链结构，纠错性不好
7,鼠疫战歌
8,不是说无知者才无畏吗？
9,生物
10,高二狂喜
11,仿佛回到了高中
12,鼻病毒：“看到了吗，我是个成功病毒。”
13,变态
14,天花病毒就是双螺旋病毒
15,对于那些养老金多的国家来说 新冠未必不是好事死多点老人就不用付退休金
16,恐怖得一批 正好一百年了1919 2019
17,就你看不懂
18,别给文科生丢脸
19,别给文科生丢脸
20,可怕
21,什么阴间bgm
22,装傻
23,我杀我自己
24,高中生物
25,实力劝架
26,叫你爸爸干嘛？
27,大兴好像是英国来的
28,上高中的时候生物很好可惜因为某些原因放弃了自己梦想
29,BGM大半夜听的我瑟瑟发抖
30,能不能别在字幕发弹幕
31,新教材必修一好伐
32,前进4！
33,梦回高中必修二
34,所以共生才是主流
35,超级病毒是每个病毒的最终向往
36,超级病毒是每个病毒的最终目标
37,不存在成功与不成功的病毒，人还把自身的成功价值观强加到病毒上去，不觉得可笑？
38,目前这种情况无论是致死率高的还是低的都不会自然消亡，因为感染人数太多了
39,卧槽
40,人类从历史中学到的最大教训就是：人类无法从历史汲取任何教训
41,有利的突变会在演化中不断的保留从而形成新的普遍特征
42,养蛊
43,养蛊
44,养蛊王
45,养蛊
46,养蛊王
47,选择共生岂不美哉？
48,新冠是单链
49,复习生物
50,蜘蛛侠乱入
51,初一人表示炒啊
52,英国真nm伟大，直接牺牲自己
53,好家伙，文科生都没学过生物必修一？云高中？
54,COVID19是RNA病毒，RNA单链不稳定容易变异
55,美国这个算不算是第一波都没过去。。。然后他们已经这样了哎嘿嘿
56,梦回必修一二三
57,英国养蛊
58,卧槽，我鸡皮疙瘩起来了
59,新冠治癌
60,生物
61,自由
62,“什么都无法舍弃的人，什么都做不到”
63,总之就是别乱立flag
64,人类不配拥有逻辑
65,自然选择，前进四
66,英国被发起脱欧 物理
67,好TM吓人
68,牛队友，不是猪队友
69,生化危机情节
70,去你的
71,这是神赐予我们的考验，我们人类对自然的改变已经触犯到神明了，我们应该等候神明的安排而不是做无谓的挣扎
72,我觉得寒武再临是有可能的，地球可能真的有意识
73,致死率高，潜伏期长
74,密恐鸡皮疙瘩起来了
75,累积变异的最强者，高传染高致死，因为人的太多了，不存在病毒跟着宿主一起死亡的时候
76,按道理应该是这样的，可惜，宿主太多，要等宿主全死完才行
77,我信你个鬼
78,666666
79,生物
80,无知者无畏
81,文科生听得好头痛啊
82,文科生听得好头痛啊
83,全球瘟疫
84,怕是单链rna容易变异
85,排名
86,瘟疫公司
87,先传染苟着，再点致命性，瘟疫公司我熟
88,格陵兰岛被誉为人类最后的希望
89,跟当年黑死病一样，但花很长上百年才消失
90,明白了
91,这个其实超简单
92,我要不是学美术，我绝对会当生物老师
93,生物生化必挂之一……
94,瘟疫公司！这bgm化成灰都听得出来
95,maga
96,这个国家太光荣了
97,人类不感谢逻辑 
98,被开回家学习生物
99,安吉拉大招
100,第三波才开始，真的太迟钝了吧
101,身体：白细胞，给我上
102,变异
103,谢谢补课
104,我第妈呀
105,生化危机的bgm
106,那个时候感觉比现在措施强啊！
107,瘟疫公司
108,天道好轮回
109,少数病毒
110,这个应该叫美国大流感，而不是西班牙
