,comments
0,小老板好
1,一开始会觉得有差异，慢慢就融进来了
2,●八国联军进北京了！
3,能感受得到这个创始人是很有信念感的
4,有的亏吃一次就够了
5,很有信念感的创始人
6,中国台湾岛
7,你们是桥梁
8,弹幕有些人太狭隘
9,人家说的是帮助生活在北京的外国人更好的融入文化和享受这里的生活，这都要杠？玻璃心吗这么敏感
10,方方好方
11,中国菜在国外挺火的。哈哈哈
12,好名字
13,非典比这严重太多了
14,欢迎、
15,想法是好的
16,神TM外国人
17,只要是友善的尊重的，欢迎你们来
18,不喜欢
19,哈哈哈哈哈哈
20,外国人？
21,我们都是人
22,+1
23,同上
24,这名字跟我表哥一样
25,一个外国人能相信媒体。你们不知道是多大的改变。
26,价值观的认同
27,北京人儿
28,谢你
29,谢谢
30,很蓝的啦
31,可以
32,这书我看过。没多大疑似
33,留在当地就是最安全的
34,君子和而不同
35,“回来”“外国人”
36,你要回来？
37,被绑架了就眨眨眼
38,非典结束后，我出生了，庆幸自己逃过一劫，但也可惜没能看到天使们的身影
39,中文好标准啊
40,一口我最爱的北京腔
41,是啊
42,这就是未来人才，先天优势。
43,外国人。。。。哈哈哈把我逗笑了
44,回来
45,枕头
46,二道贩子两头获利
47,原来背后那个人是你
48,北京人儿
49,北京人儿
50,一起合作，这句话需要对美国说
51,融入北京首要条件是会说中文
52,台湾腔浓郁
53,姓魏！可以，本家人。
54,金属性偏多
55,老魏又来了！
56,我爱中国
57,人类共同体
58,同上
59,外国人哈哈哈
60,间谍？看下标题再动你的嘴巴
61,不太可能了
62,233333
63,你说中文，你爱中国，你就是中国人了~ 这是中华文明包容性所在
64,坚持多边主义
65,我觉得中外价值观有一点很大不同，中会比较重视孝道，外更在乎个人的字由
66,她有她的人生，谁也说不准
67,前面的，别这样，只要他真心认同他是中国人，那他就是中国人
68,正解
69,外国人也太秀了吧
70,渐进式的名字
71,又是找了中国老婆，唉
72,如果语言通，大家会玩得很好
73,波士顿老铁！
74,认同中国的文化
75,中国很了解西方，而西方不了解中国
76,这中文，牛
77,老北京儿
78,中华文化能同化包容
79,这个帽子好好玩
80,披萨帽子好有趣
81,求同存异
82,口音是北京腔
83,英语说的不错
84,正道的光
85,他从口语开始学习中文吗？
86,站点披萨哈哈哈我最爱吃的
87,中国是未来式
88,人家是珏珏
89,赞同，不过可以包容他们
90,谢谢你的信任
91,中文非常棒
92,有区别的
93, 赞
94,传统纸媒现在还能赚钱?
95,这个杂志是他办的啊
96,回来
97,还是区分一下的好吧。
98,你觉得外国人在中国生活的还不够好吗？
99,get me your wechat 
100,这个变不了
101,外国人?
102,挺好的，说了真话
103,一样享受这个生活可以，但一定要铭记这里是中国，别想什么坏招
104,哈哈哈哈哈哈哈比较顺，北京话
105,口音都是弯弯的
106,我相信官方
107,清醒且难得，很难不支持
108,奉我中华文明者，皆我中华好儿女
109,这妹子眼镜有点厚啊！略呆萌
110,抢了哈士奇的窝
111,高右思
112,比我还标准
113,麻烦跟美国说
114,虽然…但是无法把老外当自己人
115,中文流利的外国人还得看马思瑞，你甚至以为他是北京人
116,二十年这个中文水平真不算流利了
117,人类共同体
118,地坛医院
119,这事做得很有意义啊。
120,见过很多老外在台湾学中文的
121,我在台湾旅游的时候
122,我们还是挺包容的吧？
123,包容
124,地球村
125,吴一凡
126,这中文是真的难啊，呆了二十年，还有好大的学习空间
127,价值观难融合
128,信任很难得
129,括弧大陆的意思是两岸三地的某岸某地
130,jue
131,最主要的是文化认同
132,外国人？
133,这比一些国人做的都好了
134,王王王
135,加油
136,厉害
137,孩子始终要选择一方
138,这就是政府的公信力，这就是治理
139,这责任感好接近我们的价值观哈哈赞
140,这名字……
141,这门生意其实中国人也可以做的，这个人真有头脑
142,开口跪
143,厉害
144, 疫情来自吃 麝香猫？
145,不错啊，一个群500人呢
146,从这一点看很了解中国了
147,这长相点都不像美国人
148,很喜欢这样的人 性格很好
149,四个王
150,没错
151,未来很有优势
152,这不是法国英语 这不科学
153,好样的！聪明人
154,都在认真看呢
155,明明是四个王
156,我初中高中大学都有叫这个名字的同学。。
157,王炸
158,真不错
159,这名字真是绝了
160,相信官方
161,但现实骨感
162,中文好流利
163,眼睛该换新了
164,共同的了解
165,王玉珏
166,这名字跟班上同学一样
167,说得好
168,三观好正
169,好大的披萨毛线帽
170,弹幕累？
171,有的人好的不信，专信坏的
172,妙脆角
173,这发际线2333
174,头上好像是个披萨形的帽子哈哈哈哈
175,口音好逗
176,这个名字。。。
177,群主发红包
178,这个发型是怎么做到的！
179,加油
180,垫子是防冷的（dog
181,赞一个
182,?
183,这人脑袋上的垫子是干啥用的！
184,没有法国口音…假的法国人（doge）
185,对的对的，疫情期间只相信官媒的辟谣
186,我们也一样，相信官方
187,三王啊\
188,这种就是有判断力的。。。有脑子的
