,comments
0,泪目
1,这就很励志了。
2,上岸！
3,感动
4,我是今年的考生，真的很感谢国家和相关人员的付出
5,我靠666哦
6,考研党真的很感激这样的举措
7,对比大洋彼岸
8,国家NB
9,三百零四名，光考生304名什么意思？
10,一定能上岸！？
11,泪目
12,回头还没考上
13,暖心
14,生在中国，我骄傲
15,这考不好不是太丢人了
16,哇哦
17,厉害了
18,皮肤好好
19,祝上岸
20,太赞了
21,暖心！泪目！！
22,感谢国家
23,暖心
24,点赞!
25,点赞
26,暖心
27,点赞
28,加油
29,一定上岸
30,太棒了
31,没考上就亮了
32,爱国爱党！加油
33,好感动
34,加油！
35,加油
36,出院，上岸
37,广东老铁为大连加油
38,大连加油
39,你币有了
40,我们健健康康的还有什么理由不努力
41,他能上岸，一定！
42,点赞
43,大连挺住
44,一研为定
45,感谢国家  一定上岸
46,哇哇哇
47,可以
48,上岸！
49,冲啊！
50,这也太舒服了，那个要隔离14天的考生不知道怎么样了
51,看哭了
52,好暖
53,泪目
54,感动
55,感谢国家
56,一定会成功的 
57,感谢！
58,吾辈楷模
59,看哭的+1 看哭的大概都是刚刚考完的吧
60,压力山大
61,热血
62,吾辈楷模
63,好暖
64,感谢
65,不，我没考过
66,好感动
67,今年一定能上岸!!!!!
68,中国 威武
69,求BGM
70,真的感动 这要是在美国 还考试？有没有床睡都要打个问号
71,加油
72,暖心
73,觉得很暖心
74,你只管向前冲，我们为你保驾护航
75,必上岸
76,牛的
77,牛！！！！！！
78,加油！
79,化危为机
80,点赞，真的在做事
81,真的暖心！
82,大连加油！学长学姐们成功上岸！
83,开美颜啦
84,刚考完！不管结果如何，努力过，谢谢国家
85,我也看哭了
86,合肥那个不是没考了么 一个人吗 下午的新闻
87,求口红色号！
88,祝他们加油，一定能考上的
89,祝学弟学妹取得满意成绩。
90,居然看哭了
91,感谢国家与党
92,发挥主观能动性
93,感谢中国
94,感谢！加油！
95,赞一个
96,BGM：Letter
97,花之舞！！！
98,哇，好暖心❤
99,！！！感谢国家感谢党 
100,辽宁老乡干得好！
101,大连加油
102,太牛逼了！
103,感谢！
104,一个人的梦想被一群人守护，感动[打call-圣诞][打call-圣诞][打call-圣诞]​
105,老公
106,很暖心，希望所有考研学子都不被耽误
107,祝大家学业有成
108,赞
109,⊙∀⊙！
110,我们把疫情考试都搞定了，怕啥，加油
111,刚下考场的表示：十分感谢！！
112,好耶
113,天啊 刚考完的武汉考生 感觉好感动
114,上岸
115,加油
116,大连加油！金州加油！
117,一研为定！
118,考研都上岸！
119,。
