,comments
0,致敬
1,不由的想起我妈妈，泪目
2,央妈厉害
3,石家庄加油，河北加油，老家邯郸加油
4,每个人都在尽一份力啊
5,暖心
6,普通人最伟大
7,祝福你们，可爱的人们
8,阿姨好暖
9,致敬
10,好漂亮的眼睛
11,小姐姐人美心善
12,都是英雄
13,泪目
14,幸苦了
15,好久不见
16,伟大的国家有最伟大的人民
17,你们都很棒！
18,维也纳酒店
19,辛苦了
20,给阿姨点赞
21,真的都很棒
22,守望相助 
23,方方出来挨打
24,暖暖的很贴心
25,感动
26,好温暖
27,不能哭，护目镜会花的
28,阿姨 你很棒的！
29,平凡的英雄才更显得伟大
30,阿姨 你也很棒！！！
31,都是最可爱的人们啊~~
32,感谢！
33,这些幕后的工作者也是最可爱的人
34,感谢所有人为了消灭疫情作出的努力
35,嫁不出去了
36,都是牛逼人！
37,泪目
38,阿姨戴上格外可爱2333333
39,BGM：好久不见
40,你会不会突然的出现
41,先赞后看
42,她太懂事了，心酸
43,看得出来真的很开心
44,泪目
45,泪目
46,泪目
47,真好( Ĭ ^ Ĭ )
48,她们都还厉害
49,现在年纪大了看不得这些…
50,背后是多少人的努力啊
51,感谢你们，致敬！
52,建议出版
53,经历过更珍惜
54,谢谢你们！
55,致敬无私奉献的人！
56,哭了
57,感动
58,一家人一样
59,我看都看哭了别说吃了
60,阿姨好好呀
61,bgm是Eason的好久不见
62,医生孩子们
63,泪奔
64,好厉害的小姑娘和阿姨
65,可爱的人
66,漂亮，可爱的人。
67,谢谢
68,泪目
69,伟大的中国人民
70,致敬
71,好人一生平安
72,谢谢你们
73,胜似亲人
74,阿姨真的好好
75,生死战场上的战友
76,超速了
77,我们都过来了！
78,泪目
79,泪目
80,不会是饼吧
81,爱了爱了
82,啊啊啊啊啊昨天刚到
83,好人一生平安
84,感动
85,泪目了
86,感动
87,我的眼泪不值钱。
88,辛苦了
89,幸苦了
90,啊啊啊啊～学姐
91,加油
92,谢谢阿姨
93,感觉长圆润了
94,太好哭了
95,太叫人感动了
96,这妹子有点卡哇伊啊
97,谢谢
98,激动
