,comments
0,哦no
1,这是去巴西毒贩老窝的记者
2,社会撕裂
3,牛掰
4,奶音猛男
5,摄影师牛逼
6,好
7,真狠
8,在外面工作要注意安全
9,小哥又回来了。
10,战地记者
11,哥们真男人
12,美国迟早解体
13,圣地巡游
14,猛男
15,会
16,这世上没有偶然，有的只是必然。
17,奶音猛男
18,眼镜呢
19,大佬记者
20,战地记者
21,战地记者危险
22,新闻大佬，这文采
23,干得漂亮！
24,奶音猛男
25,老马原了
26,我耳机也坏了！
27,奶音猛男
28,不愧是新闻大佬
29,男的女的
30,圣 地 巡 礼
31,战地记者
32,发际线保护
33,不意外
34,？？？
35,老分化了
36,是猛男
37,必然寓于偶然之中，偶然为必然开辟道路
38,猛男
39,注意安全
40,空气都是甜的（手动滑稽）
41,猛男！
42,奶音猛男
43,必然会，社会历史的发展是客观存在的
44,我耳机坏了吗？
45,。。。
46,记者不容易
47,骞哥牌面啊！
48,成圣人了
49,看过这个5月份的新闻
50,奶音猛男
51,骞哥有没有打到疫苗啊！很担心
52,不仅巴西，叙利亚啥的都去过，是个真猛男
53,现场视频看的整个人都特别压抑
54,会
55,弗洛伊德。。呵呵
56,这只是导火索而已
57,太猛了
58,又悲伤又生气，这是人干得出来的事吗
59,字由美利坚
60,这封面不错
61,语言水平真高
62,有前科
63,骞哥加油！保护好自己。
64,是你，奶音猛男
65,这样做  其实跟勒脖子 效果也差不多了 直接被勒死了
66,哥们我记得你，国家应该给你搬个奖
67,我耳机又坏了？
68,我耳机坏了？
69,现场
70,非常的美国
71,勇闯毒巢的奶音猛男
72,看画面依旧紧张得头皮发麻！
73,在瘟疫中发掘真实！太猛了！
74,客观
75,这只是早晚的事
76,不会
77,超级奶音猛男！
78,会啊
79,美丽的风景线
80,是骞哥！
81,历史的必然性，就像ti8恭喜og一样
82,绝了，有那味了
83,奶音猛男
84,是啊
85,是你，战地猛男
86,战地记者
87,太难受了这个事件，喘不过气的感觉
88,自由的气息
89,大佬
90,猛男
91,我去，去巴西的那个猛男
92,好
93,骞哥太猛了
94,都发生神多次了
95,战地猛男
96,记者们辛苦了。。。
97,奶音猛男
98,说得好
99,哇，声道
100,本能感觉美国那地方好危险
101,太猛了
102,骞哥太强了
103,老马原了 
104,是奶音猛男
105,然后带着病毒像潮水一样退去
106,说得好
107,自由女神之跪
108,好家伙，气抖冷，定体问
109,奶音猛男
110,在这里接种病毒
111,经典重现
112,讲得好
113,听声知猛男
114,会的
115,战地记者
116,很危险啊，保护好自己
117,战地记者
118,战地记者
119,太辛苦了
120,圣地巡礼
121,注意安全
122,骁哥好帅！
123,奶音猛男
