,comments
0,因为带孩子不开心（狗头
1,中文真的很棒
2,为世界展现了真实的中国，谢谢你，你是真正的国际友人
3,哈哈哈哈
4,同心同德，救困扶危！
5,这一口狗粮我吃的措手不及
6,普通话挺标准的
7,狗粮？
8,排面
9,都有粉丝见面会了
10,字正腔圆
11,亮叔！
12,普通话好标准
13,哈哈哈哈哈其实是为了蹭吃蹭喝
14,央妈都来采访了
15,周边的人膨胀了
16,鲁豫：是吗，我不信！
17,亮叔在白吃白喝，确实真实
18,萍姐辛苦了
19,太真实了
20,なんだろう，可以理解为，该怎么说呢？
21,竹内里沙
22,好可爱
23,中文好好
24,难得的是您的客观公正
25,中文好好
26,排面
27,不你飘了
28,亮叔飘了
29,这集看过，泪目
30,虽然看了很多亮叔的作品，还是说声谢谢
31,排面
32,牌面
33,哈哈哈
34,都有粉丝见面会了
35,谢谢
36,比我这个中国人都清楚这长度，6300多
37,哈哈哈
38,亮哥真的不容易，两口子认真做视频那么多年
39,有的外国人
40,都知道工具人了
41,外国人？
42,这个中文是真的666
43,确实
44,哈哈哈哈老婆
45,这是接受采访的护士姐姐啊喂
46,哈哈哈亮叔又被嫌弃了
47,亮叔！！！
48,笑起来像宝强
49,笑死了像宝强……
50,哈哈哈哈哈
51,谢谢！
52,因为他是日本人，所以拍的东西更有人信
53,到底是哪个
54,竹内连山
55,竹内顺子一家的吗
56,这一定是一个爱国的人投胎转世到了日本
57,实在
58,导演？？？
59,这个小姐姐不是他妻子，是武汉的护士，纪录片里被采访的人
60,这才是中国人民的朋友！
61,依旧泪目QAQ
62,牙齿不歪就没特点了
63,好了，这下收了（doge+滑稽保命）
64,排面
65,草，这标题看成没mo收
66,中文本当上手
67,老工具人了
68,哈哈哈哈
69,漂亮姐姐
70,哈哈哈哈哈
71,方方呢
72,才听出来，他居然用日本的语法说中文...厉害呀
73,特别喜欢那一段
74,萍姐
75,萍姐要求的哈哈哈哈
76,竹内桑
77,人文好流利
78,就是真实
79,很正常，拍纪录片就是这样的
80,哈哈哈没事啊
81,哈哈哈哈明白明白
82,等疫情过去了，你可以拍其他的纪录片
83,哈哈哈哈
84,孩子：陪我的时候不是最开心？
85,竹内顺是他姐姐吗
86,谢谢你
87,他三观很正
88,亮子做导演还是很敬业的
89,哈哈哈哈哈哈哈哈工具人可还行
90,假牙
91,感谢竹内亮大导演
92,排面
93,当时看哭了这个纪录片
94,老工具人了
95,哈哈哈哈哈哈哈
96,排面
97,出镜多哈哈哈
98,这才叫纪录片
99,爱你，竹内亮
100,谢谢
101,萍姐瘦了
102,哈哈哈哈哈哈
103,老老实实
104,哈哈哈哈哈
105,真的了不起
106,严格
107,哈哈哈哈哈
108,背景海报 住在这里的理由 强推
109,翻译有问题啊，英文的，误解了这句话啊
110,同款碗
111,说话风格和气质好像中国人
112,中国混多少年了  普通话这么溜
113,谢谢！
114,++++++++
115,哈哈
116,同事矫正一万多
117,国际主义者
118,真实
119,中文挺好
120,哈哈哈哈
121,哈哈哈哈哈哈哈哈哈哈
122,广铁CR400AF
123,妻子心里也是心疼丈夫的
124,保持器
125,谢谢
126,亮叔是个好人
127,居然不说丽本 大兄弟中文太强了
128,《外国人》
129,哈哈哈哈哈哈哈
130,哈哈哈哈哈哈哈
131,给亮叔排面哈哈哈哈
132,好可爱！
133,竹内凉 子？
134,加藤嘉一是间谍吧
135,哈哈哈哈哈哈哈哈哈哈
136,哈哈哈哈～
137,哈哈哈
138,哈哈哈哈
139,亮叔排面排面排面！！！
140,我居然在央视新闻上看到了亮叔
141,刚刚那个不是他老婆
142,中文挺不错的，稍稍有一丢丢的口音
143,带孩子是真泪
144,那我是怎么看成体能的呢
145,追求真实的人很勇敢！
146,中文进步好多 
147,导演！
148,哈哈哈
149,他居然没说立本
150,她妻子在撩头发
151,喝福岛水
152,普通话不错啊
153,我们长江很多地方要十年禁渔了，期待您十年后再拍长江
154,很真诚
155,哈哈哈
156,西方:我不信，我就要抹黑
157,这才是国际友人
158,到二仙桥走成华大道
159,去别国拍，都是死人医疗崩溃什么的
160,哈哈哈哈哈哈哈
161,【我住在这里的理由】以前我是期期都看啊
162,一句好久不见瞬间泪目
163,懂得太多了
164,也是个妻管严 哈哈哈哈
165,长江天地大纪行！
166,上央视了 亮叔排面
167,好家伙 都办粉丝见面会了哈哈哈厉害了
168,亮叔排面啊
169,哈哈哈我也带这种牙套
170,普通话比我还6
171,这地道普通话。。
172,萍姐
173,他老婆是制片人
174,亮叔排面
175,中国人真的 被误会太多 也太久
176,亮叔
177,哈哈哈哈哈哈哈哈
178,工具人
179,？
180,哈哈哈
181,在导演眼里其他人都是工具人
182,那个确实是很真实的反应
183,惨
184,亮叔
185,美帝安插右翼把持岛国朝政经济媒体，贼喊捉贼
186,他说实话才是对的
187,哈哈哈哈工具人
188,他看着就像日本人
189,方方出来挨打
190,内个！
191,逐渐被掏空
192,亮叔已经住在南京好多年了，中文刚刚滴
193,那就请遵从自己的内心，做自己喜欢的导演
194,我就想知道 亮总共带回56个女朋友是怎么做到的
195,排面
196,工具人，哈哈哈哈
197,哈哈哈哈哈哈哈哈なんだろう
198,这华语水平 你有币拉
199,哈哈，老婆
200,变帅气了
201,一点口音没有？
202,他老婆是中国人
203,居然有老婆！
204,护士小姐姐辛苦了
205,对呀哈哈
206,工具人好评
207,能被中国人喜欢的日本人很少，福原爱，然后可能就是亮叔了。
208,工具人？哈哈哈哈
209,看他很久了，这人还是值得火的
210,亮叔排面
211,排面
212,点赞
