,comments
0,河北加油
1,直播 画面更新了？
2,加油
3,河北加油
4,河北加油
5,河北加油
6,石家庄加油！河北加油！
7,加油！！！！！！！！！！！
8,松鼠
9,河北加油！
10,河北加油
11,河北加油
12,加油
13,保定这有地区停课了
14,谢谢
15,本土就是本土
16,河北加油，河北人在西安给家人加油
17,河北加油
18,加油河北啊！
19,河北加油
20,可以可以
21,我想回家！
22,河北加油
23,河北加油
24,河北加油
25,河北加油
26,河北加油
27,老家
28,愿河北平安，祖国平安！
29,无症状的最麻烦
30,加油
31,河北加油
32,河北加油
33,加油啊
34,播音艺考生加一
35,加油
36,河北加油
37,河北加油
38,石家庄加油
39,加油呀
40,河北加油
41,河北加油啊
42,加油
43,河南郑州为河北石家庄加油
44,河北加油
45,少走动就好
46,加油
47,河北加油
48,没有油了
49,河北离北京天津太近了，然后石家庄还是个大站
50,河北加油
51,定州害怕，河北加油
52,天佑中华
53,河北加油 
54,河北加油
55,海外学生给安徽板面加油
56,我们一定会胜利，我们一定能胜利
57,河北人也有点慌
58,河北加油
59,加油
60,大家加油
61,河北加油～
62,今天51例
63,不是有个人核酸检查了五次，四次都是阴性
64,今天五十多例，吓死人
65,小康松鼠
66,河北，保佑
67,美国已经不用检测了，已经泛滥了
68,我就在河北呢
69,河北加油
70,国际庄加油！
71,河北加油
72,河北加油！
73,国际庄加油
74,藁城的我表示很慌
75,突然就被关在家里，不过我们不慌
76,河北的准备坐月子吧
77,真的好难啊
78,年关
79,加油
80,河北加油
81,河北加油！
82,大连加油
83,河北加油
84,康辉是保定的，驴肉火烧！ 不用多说了吧
85,康辉是河北人
86,河北加油！
87,这是康辉的老家呀
88,这是康辉的老家呀
89,河北加油
90,河北加油，
91,加油加油
92,河北加油
93,河北加油！！
94,上网课咯
95,河北加油
96,好事不出门！河北加油！
97,加油
98,河北加油！！
99,山西为河北加油
100,河北加油！！！！
101,河北加油
102,河北是我家，河北加油
103,石家庄加油
104,过年别乱跑。
105,河北加油
106,河北加油
107,河北教加油！
108,驴火加油
109,加油，同胞们。
110,加油，同胞们。
111,安徽板面加油
112,我也是河北石家庄的。河北加油
113,石家庄，加油，河北加油
114,学长在心中
115,河北加油！！
116,河北加油石家庄加油
117,保定加油
118,河北没问题的
119,河北加油
120,加油
121,加油加油！！
122,加油河北，加油辽宁
123,唐山人害怕
124,加油
125,河北加油
126,全河北学校都放假，就我们上课太真实了
127,隔离吧
128,我家不是河北但离河北挨着而且特别近……
129,谢谢各位
130,河北加油
131,加油
132,希望我庄早点抗疫成功
133,承德人落泪
134,又要上网课了
135,加油
136,加油河北!
137,河北加油！
138,加油
139,河北承德
140,加油！！
141,我河北人，现在已经不能出门了，早上5点下的通知，明天核酸检测
142,河北加油
143,河北加油
144,惊讶
145,加油
146,加油河北
147,眼里有泪光
148,邢台开始全员检测核酸
149,河北高邑县封县封村了
150,康辉是石家庄人
151,板面落泪…
152,康辉也是河北人
153,我们河北的？才知道
154,先不要聚会了
155,河北加油！
156,河北加油啊！
157,加油！
158,很亲切
159,河北加油
160,国际庄加油
161,河北加油，中国加油
162,河北加油
163,石家庄封城了
164,在廊坊待了3年，
165,加油
166,河北加油
167,安徽正宗牛肉板面加油
168,河北加油！
169,老乡 你好
170,河北加油
171,河北加油
172,武汉为石家庄加油！
173,我们都要加油！
174,我就是邢台人
175,正宗安徽牛肉板面加油
176,加油石家庄
177,河北加油！
178,河北加油！
179,河北加油啊！
180,康辉是保定的
181,河北保卫战！
182,湖北加油
183,我嘞个乖乖   专接本全部放假
184,河北加油！
185,加油！！！！
186,衡水人害怕……
187,河北加油
188,顶住！
189,燕赵大地，众志成城
190,河北加油！
191,山东挺你
192,心情沉重
193,河北加油
194,河北人落泪+1
195,河北的人来了
196,加油啊
197,河北加油！
198,我到河北省来
199,男朋友是河北人，已经担心过年回不去了
200,河北老乡啊
201,加油
202,河北加油！！
203,河北加油，等我回家
204,四十中校友路过
205,河北加油！
206,河北加油！
207,愿一切安好
208,石家庄加油
209,保定这边还上课呢
210,周冬雨和康辉是同一个学校来的
211,河北加油
212,河北加油！
213,美国表示小事
214,俺打河北省来的
215,石家庄加油
216,河北加油
217,河北人加油
218,福建挺你
219,加油河北
220,河北加油
221,我的家人也在河北
222,加油
223,板面加油！！！！
224,河北大学放假回各家 要检测
225,加油
226,河北加油！
227,冀B
228,冀R
229,哇，，
230,河北加油
231,加油，都在。
232,加油，都在
233,加油
234,加油
235,河北加油
236,石家庄加油
237,河北加油
238,河北加油
239,河北加油
240,河北加油
241,我想回家
242,国际庄加油
243,国际庄加油
244,河南人准备
245,河北加油
246,播音艺考生裂了
247,河北加油
248,河北加油，来自保定的我
249,中国加油！河北加油！
250,我就河北的，今早一看我都懵了
251,河北加油
252,河北加油
253,河北加油
254,河北加油
255,加油!
256,加油中国
257,加油国际庄
258,加油河北
259,加油
260, 河北加油
261,四川挺河北
262,文庆我爱你ლ(′◉❥◉｀ლ)
263,康辉老师
264,河北加油！
