,comments
0,穷
1,不是没钱去，当成感冒去大医院干嘛？ 只是没有警惕心。
2,日新增5万的默默退出视频
3,主要是味觉消失
4,@罗翔
5,BGM：against the world
6,以为是普通感冒
7,农村的小诊所医院，具备这些诊断条件吗？
8,口罩是肯定有戴并且其效果了，否则就不是50个了
9,农村即使城市基本都是先自己吃药的
10,我们公司都是免费核酸检测
11,没钱才是原罪啊
12,村里面去不了呀
13,农村老百姓能在家吃药的病哪有去医院的，连得了癌症的都直接回家了，关键还是农村穷啊
14,检测一次99...挺贵的...
15,可农村没这个条件啊
16,出现发热症状要第一时间去测核酸呀！
17,大意了
18,他们戴口罩了吗
19,进医院必须做核酸还是有道理的
20,前面的弹幕认真的吗？半小时你管叫多？非常时期非常对待，别整什么硬性条件的借口。
21,症状太轻，很多人就以为是感冒！大意了！
22,中！
23,命要紧呀！
24,加油啊！
25,不是不想去  是太远了  即使去小诊所也是骑电车骑半个多小时  更别说去医院 硬性条件达不到阿
26,鹅，小诊所都检查不出来，就随便开点感冒药让你吃
27,外出口罩是绝不能脱的
28,没钱去大医院
29,说没钱的你是50万吧？新冠国家免费治！你们外国肯定没有吧
30,主要是条件也不够啊，谁都不会想着自己咳嗽是新冠
31,这脸蛋也太新了吧
32,？？？
33,说没钱的，你是钱重要还是命重要？？？
34,不上报吗
35,怎么判
36,加油呦
37,不是等死，我们这小诊所不具备这条件呀
38,没错！有类新冠症状的，都要先做核酸。
39,来了来了
40,总不能感个冒也核酸检测吧，没钱啊
41,不太常见这位耶
42,注意安全各位
43,看到我你就不是第一了
