,comments
0,加油我大河北
1,口罩不能少！
2,不会读
3,前面的，首先她鼻子也没漏出来吧我看，况且！这是在家吧...
4,菇凉标准划水戴口罩  哈哈哈哈
5,这口罩带的不对
6,家里都要戴口罩？
7,这口罩的错误示范
8,愿大家平安
9,加油
10,妹子，你这么戴口罩自欺欺人
11,河北加油！
12,怎么疏导的
13,这么挤啊！这检测也会传染吧
14,gao三声
15,这人群密度，不是大型传播现场？！
16,这两天做的核酸 坐标石家庄 
17,姑娘啊 口罩带好啊
18,加油
19,、|、、、、、、
20,、、、
21,、
22,加油
23,这么早放假为什么
24,加油加油
25,看看我们的祖国和国外完全不一样
26,藁城
27,应该是离得比较远的地方
28,提醒大家戴口罩吧
29,只要有水有电有网络有快递，一切都好说。
30,医护工作者的伟大
31,厉害！！
32,这连线俩人都戴口罩有啥意义
33,太密集了
34,加油
35,注意安全哦
36,加油  我大河北
37,好真实
38,石家庄的来报个到
39,什么城？
40,加油
41,我们就像知道谁是传染源
42,111
43,加油
44,石家庄加油加油加油
