,comments
0,好家伙，央视居然用了表情包
1,这镜头怎么回事
2,奶音猛男
3,战地记者
4,疫苗尽量给足
5,看脸认不出，听声音认出
6,猛男
7,那组织了个寂寞
8,让你不要5G
9,奶音猛男
10,骞哥
11,？？？
12,12306表示，就这？
13,猛男是你！
14,猛男？
15,您好，你的服务器已崩溃
16,猛男留胡茬了
17,猪流感
18,瘦了好多！
19,！！！！前面的你不说我也不知道是央视新闻！！
20,歪嘴疫苗
21,前面那位以貌取人的看说的话就是没见过世面的
22,太惨了，我们沈阳还买了20万支疫苗呢。
23,战地记者
24,你你你....你咋啦？这么憔悴
25,猛男
26,老公！
27,猛男
28,二桃杀三士
29,战神
30,猛男回来和冰冰做一期吧！
31,猛男出山
32,这不是闯毒窝的老哥么 既然不带我 真是
33,战地记者！doge
34,hhhh有表情包
35,想笑，要憋不住了
36,奶音猛男！
37,奶音猛男
38,猛男你的左眼眶怎么紫了？没事吧？
39,这人斯斯文文一看就没去过国外
40,战地记者!猛男!
41,猛男啊，
42,德州扒鸡
43,这个记者斯斯文文干最牛最猛的事
44,猛男！
45,战地记者
46,斯坦     佛学院
47,男妈妈
48,奶音猛男
49,猛男
50,什么奶音猛男，明明是人民老公
51,还有表情包
52,奶音猛男
53,叠buff呢。。。。
54,猛男记者
55,猛男
56,猛男
57,不愧是你漂亮国
58,猛男记者哥
59,哪有产能啊
60,真就战地记者了
61,疫苗及时发售的话，医疗巨头们就赚不到钱了
62,这一堆表情包让我以为这不是央视。。。
63,猛男
64,难
65,前面的，弹幕礼仪没学过？举报了
66,猛男
67,妖魔鬼怪都出来了
68,注意安全
69,猛男
70,奶音猛男
71,奶音猛男。
72,又是你
