,comments
0,salute
1,致敬！
2,致敬
3,辛苦了，各位战士们。
4,走好
5,大连快要解封了！
6,致敬
7,康帅
8,致敬
9,以凡人之躯甚比神明
10,致敬！
11,这次疫情我们牺牲太大了！！
12,致敬英雄！！
13,致敬
14,致敬
15,致敬
16,致敬
17,致敬
18,致敬
19,一路走好
20,致敬
21,致敬
22,致敬
23,致敬
24,致敬！
25,致敬
26,致敬
27,英雄，一路走好！致敬！
28,致敬
29,致敬
30,致敬英雄
31,致敬
32,致敬
33,致敬
34,致敬
35,致敬
36,致敬
37,都别乱跑，积极配合
38,致敬
39,致敬
40,口罩都给我带起！
41,致敬！！！
42,以凡人之躯，比肩神明
43,致敬
44,英雄一路走好
45,致敬
46,冲冲冲！
47,好
48,致敬
49,致敬致敬致敬致敬致敬致敬
50,致敬！
51,致敬
52,致敬！
53,致敬
54,致敬
55,致敬
56,辛苦了
57,致敬
58,一路走好
59,保重，走还
60,文庆放心飞，我们永相随
61,文庆放心飞，我们永相随
62,文庆放心飞，我们永相随
63,致敬
64,一路走好！
65,国际庄儿加油儿
66,中国加油！！！！
67,烈士永垂不朽
68,致敬
69,致敬！
70,致敬英雄
71,请不要那么英雄，让自己休息
72,千万不要做这样了
73,请注意休息
74,该给社区工作人员提高薪酬待遇了！
75,致敬
76,加油
77,英雄一路走好
78,瑞思拜
79,致敬
80,加油
81,就应该强制休息
82,致敬
83,致敬
84,致敬
85,致敬
86,致敬
87,国家会照顾他们的家人，我们这些邻里也要照顾他们，不过还是希望不要再有牺牲
88,致敬
89,致敬
90,致敬
91,保重，一路走好
92,前面说提高医生地位的，应该也提高基层地位
93,和平年代的烈士
94,致敬
95,致敬
96,走好
97,她们
98,人的承受能力都是有极限的 都有崩溃的时候 别太勉强
99,致敬
100,保障跟上吧
101,加油
102,致敬
103,国外的不要让进来
104,这大哥就是石家庄人吧
105,来啦
106,大家都要保护好自己，不要再添麻烦
107,英雄，一路好走，谢谢了！
108,这 哎 致敬
109,保重
110,希望再无战士牺牲
111,加油！
112,致敬！
113,致敬！
114,说的对。
115,我明白医生的责任在那里，但还是感觉他们真的好伟大，希望可以提高医生的社会地位
116,保重身体
117,加油
118,太辛苦啦
119,保重身体
120,我们一个都不能少
121,保重啊
122,都是守护生命的勇士，感谢有你们
123,那字读第一声好评
124,牺牲者的家庭应该得到照顾。
125,来啦
126,加油！保重！走好！
