,comments
0,现阶段可以，以后在说
1,放心，西方不会看的，他们那边还得造谣呢
2,还要继续临床研究就是每个不同身体里面对疫苗的研究吧，老弱病残孕对疫苗的反应
3,这已经说的很明白了，
4,怎么看，用时间看。这个就是时间的问题
5,没人说研究，现在不是已经投入使用了吗？看看再人身体里持续性！！
6,说的大概的意思就是，药物对人类能产生多久的持续性。
7,加倍 超级加倍 明牌
8,好家伙，选的都是等着群体免疫的国家?
9,缺点就是烧钱
10,中国做事稳啊，当然放心
11,23333
12,我们没病例了，只能海外
13,2333
14,美国那个已经死人了
15,就是要售后
16,商机就来了
17,致敬
18,我1月4号接种武汉生物的疫苗
19,我接种的是武汉生物的
20,阿联酋有点意思，他们医药保险都买的是美国公司的
21,但这些都不是亚洲人种啊
22,本来正常研发要几年，现在提前先上市，后面研发程序还要做完并提交材料上报
23,致敬
24,及格后还得拿满分
25,自豪
26,讲的太好咯
27,卖向世界，赚小钱钱
28,不愧是买东风导弹的土财主，手动狗头
29,这董事长放古代就是出将入相
30,…
31,理科生的严谨回答
32,骆驼：兔子办事，我放心。
33,得意的笑容
34,意思就是没做完
35,董倩水平非常高
36,这董事长值得敬佩
37,已打过的报个到
38,⬅️，每人要打两只，而且只管半年，所以要很多，才能全球大部分人同一时间段都能免疫
39,一些真实的问题，正是老百姓想要知道的
40,致敬！
41,其实就是最简单
42,比方说当官的
43,哈哈哈哈
44,爱我中华
45,世界不好我们国家预防起来也麻烦，经济也不好发展
46,这么快很疼的吧
47,我们这边也开始登记了
48,问清楚看视频的人才更安心
49,动员能力真强
50,奇了怪了，她不问这些问什么？
51,这个问法有什么问题？
52,哈哈哈哈哈哈哈哈
53,致敬
54,扩建亿些
55,他在笑
56,这个记者一直以来的采访都非常好
57,第一针已经打了骄傲，主要是服务类每天接触很多人的优先接种
58,满分作文
59,是陈薇院士啦
60,（潜台词）
61,压力太大了
62,这个董事长也是首席科学家好吧
63,我怕扎！！！
64,事物是不断发展的，波浪式前进
65,超市工作 现已接种疫苗
66,狗大户跟兔子合作很放心的，从买东风开始
67,辉瑞的疫苗申报到审批就20几天
