,comments
0,华为加油
1,1月20号打骂。话是会打脸的。
2,好大的双眼皮儿
3,嗯
4,他在上海台的妆容可没那么重，央视这个化妆师有毒
5,老人可以把健康码打印出来
6,中国加油
7,能否解决大学生的出行问题？
8,加油！
9,加油
10,前面要金色的，可知道黄码大部分地方是有问题受限的
11,胜利就在眼前，再坚持一阵！
12,没有健康码，就去申请，老人群体子女负责制，疫情要为大家负责
13,中国加油！
14,地方不鸟啊
15,加油加油加油加油加油加油
16,好
17,我以为是大师兄
18,有些人不认
19,加油
20,加油
21,加油，数字中国！
22,确实
23,健康码统一吧，全国人民的需求！
24,北京理工大学的考试都安排到28号了
25,北理工还的考试都安排到28号；额
26,正在反乡
27,这个好
28,我要金色健康码！！！！！
29,即使是绿码，还得做核酸
30,希望解决一下老人没有健康码的问题
31, 希望能解决一下老人没有健康码
32,我们2月6号才放假啊
33,中国加油！
34,加油
35,溜达鸡
36,疫苗呢？
37,每次都感觉这个主持人脸上的粉太多了
38,加油河北
39,每个地方检查都不一样，一会要畅行码一会健康码一会核酸证明，一会其他市不认要重做核酸，都有
40,加油
41,河北省高邑县村里人出去，还要去县医院开核算证明
42,那没健康码咋办
43,我们学校还整个学校自己的健康码
44,加油沈阳!加油中国!
45,加油
46,早就回家了
47,要么健康码全国统一吧 官方力度最大的
48,加油加油！
49,加油
