,comments
0,财务秘密
1,加油！
2,第一眼看成东契奇
3,啧
4,打折了没
5,亲自接机！
6,一起挨轰炸的兄弟，互信就是不一样
7,朋友来了有好酒
8,中国加油
9,不用在乎黑粉怎么黑口罩问题，黑粉拿着户口本去排队殡仪馆了
10,兄弟国家！加油！
11,兄弟国家！
12,塞拉夫
13,bgm…
14,音 量 诉 讼
15,大国气魄
16,土耳其是第一个
17,塞尔维亚比巴铁好多了，国内有些巴铁人品不咋滴。
18,掉价bgm
19,看标题就猜到是塞尔维亚
20,中塞友谊长存！
21,铁子 不错
22,好家伙
23,先给我们试一试
24,也不容易，也是为我们在欧洲打广告，谢了老铁！
25,他去免得被截胡
26,路走宽了
27,又是你
28,戴口罩
29,东契奇，约基奇
30,肯定给你打折了
31,友谊长存
32,过来不戴口罩，是信任国人
33,打折没？
34,哈哈哈别掩饰，你就是想早打早安全
35,好
36,好朋友
37,反复横跳
38,戴口罩啊
39,好家伙，带头不戴口罩
40,塞铁
41,因为塞尔维亚也穷，当然希望打折啦
42,中塞友谊长存，祝塞尔维亚人民幸福安康！
43,这不是反复横跳，小国想要生存只能这样
44,南斯拉夫
45,没有永远的朋友
46,577
47,友谊长存
48,棒棒的
49,你想打折
50,应该打折了
51,摘口罩接受采访是表示尊敬
52,也没有永远的亲中
53,反复横跳？？？
54,我来舔特靠谱
55,注意看，最开始戴着口罩，没戴口罩估计是因为要采访发言
56,没有永远的朋友，只有永远的利益!
57,中国的小迷弟哈哈哈哈
58,口罩呢
59,塞铁
60,塞尔维亚！好同志
61,塞尔维亚的前身是：南斯拉夫！铁托！
62,赛铁
63,泪目
64,武契奇加油
65,577真男人
66,中塞友谊长存
67,友谊长存！！！
68,这哥们太不容易了。。。小国夹缝求生存
69,铁子加油！
70,他得过了，应该有抗体了吧，复得？
71,这么高规格？
72,友谊长存!
73,是赛铁
74,塞尔维亚一直和中国很好
75,好家伙，没戴口罩
76,打骨折
77,塞尔维亚之光
78,这也太慷慨了
79,11
80,他想表达，可以便宜点嘛？
81,好好好
82,加油加油
83,给帅哥配个n95啊
84,政治高手
85,友谊长存
86,教练辛苦了
87,打折了吗
88,我塞，迷弟啊
89,有事说话！
90,可喜可贺
91,中塞友谊天长地久
92,这是打折了 亲自来接哈哈
93,只要不跟美国和我们作对，你们的将来日子就会不会比现在差
94,中塞友谊万岁
95,577很不错
96,谢谢！
97,这里有windows的提示音
98,他不是之前接种过西方疫苗了吗
99,讲的英语
100,第一啊。
101,为中国点赞！为中塞友谊点赞！
102,终于得偿所愿   因果啊   我会去你的国游历一次的  铁板兄弟[呲牙]
103,武老板太可爱了
104,ohhhh
105,老铁！
106,口罩不戴是因为受记者采访
107,加油加油
108,不得不说被其他国家肯定，认同真的爽
109,我电脑响了吗
110,以身作则
111,以身作则
112,"Remove covid,Serbia strong "
113,中塞友谊万古长青
114,577
115,致敬那位英雄塞尔维亚英雄机长！
116,订购了三种
117,中塞友谊长存
118,！
119,可以
120,+
121,疫情过后，我想去塞尔维亚旅行
122,中国来了，晴天就来了
123,特靠谱：等着坐小板凳吧你
124,《塞尔维亚强大》
125,第一个，敲黑板
126,塞尔维亚亲中
127,！
128,谢谢信任 真能量
129,友谊万岁
130,排面
