,comments
0,参加就发米发油领鸡蛋啊
1,哦。里面. 
2,可怕
3,优胜劣汰
4,？？？？？？
5,上海老阿姨最喜欢参加这种送鸡蛋的活动
6,我去
7,……
8,吉林省通化市
9,年纪大了都怕死，都想活得更长一点，很容易养生活动就被忽悠了。
10,吉林加油！
11,牛啊
12,保健品
13,太多检查身体，一月一次
14,不听呀
15,不听话，怎么科普也没有用
16,通化的小伙伴们大伙少出门啊
17,对
18,好家伙 毒怪
19,！
20,—超 级 加 倍—
21,送鸡蛋
22,吉林人已经窝家里了
23,送锅送盆
24,我去
25,有鸡蛋老人都回去
26,吉林人瑟瑟发抖
27,好讽刺啊
28,《所谓》说的好
29,？？？？？？？？？
30,有些东西是不是别再装看不见了
31,还有韩国来传教的，
32,吉林会已这种形式上央视
33,？
34,吉林人表示瑟瑟发抖
35,听懂掌声
36,好家伙
37,伪科学借市场流通害人，为什么不出台法律制裁？收钱了吗
38,超疾加倍了
39,好养生啊
40,老人健康码难弄啊。
41,吉林人瑟瑟发抖
42,答：还是吃得太饱了
43,毒王
44,？？？？？？
45,我了个去
46,是吉林省还是吉林市
47,是吉林市吗
48,老人会听你的？
49,这还用调查？
50,这种人不做个二三十年牢对不起他
51,天哪
52,太可怕了太可怕了
53,领鸡蛋喽！
54,.
55,吉林缺少石子厂
56,吉林片区发现的不行
57,说送鸡蛋的真实
58,加油！！
59,害怕
60,啊这
61,？？？？？？
62,好可怕啊
63,鹅
64,必须的
65,唉
66,他们不听
67,c
68,洗衣粉，肥皂，鸡蛋
69,送洗衣服
70,卷土重来
71,好家伙
72,学校
73,虚假宣传的保健品 为什么能卖？
74,吉林开始害怕呜呜呜呜
75,毒怪
76,卧槽
77,好家伙，我们吉林省在这种时候出名
78,普及啦，以为没病病例了，嫌口罩闷，不愿意戴
79,haha
80,听讲座，白给鸡蛋
81,药店门口吃药的超市门口领鸡蛋的商场门口领净水器的
82,1传102这太夸张了
83,有生化危机那味了
84,老年人是不会和你讲道理的
85,好多傻蛋不管不顾，及其没有素质
86,讽刺
87,传销吧
88,进门领鸡蛋，领完得新冠
89,这种针对老年人的保健养生的行业简直一塌糊涂
90,。。。
91,海霞
92,毒 怪
93,好家伙
94,送鸡蛋
95,关注多少和占小便宜是两回事
96,可怕
97,真的服了，听课了，好烦啊
98,好家伙
99,呵呵，不是真的身边有人感染了，政府部门哪里会认真防范
100,无
101,这招绝啊
102,就是骗子
103,因为去了送鸡蛋
104,讽刺
105,还是人太多了
106,冰冰没事吧
107,在我们通化
108,传销
109,假药
110,我是公交司机，每天去领鸡蛋的老头老太太太多
111,我去
112,都去领鸡蛋去了，气死我了
113,哎
114,养生？？？
115,害怕
116,老年人不爱戴口罩
117,组织者必须抓起来
118,领鸡蛋的
119,格
120,可怕
121,老人不听话，是个问题，
122,说还说不得她还跟你吵也不喜欢戴口罩我是真没辙
123,家里老人他不听你的咋办我也没办法啊
124,送鸡蛋好真实
125,这种忽悠老年人买保健品、假养身的情况太多了，我相信全国各地都有、一直没看到啥处置力度、
126,笑死   前面说送鸡蛋的
127,好像郭德纲是肿么肥事
128,又是这些垃圾推销
129,送鸡蛋，哎
130,注意
131,取缔取缔
132,服了
133,养生？
134,同意，警惕
135,买保健品的，农村到处都是
136,严查
137,！！！！！
138,吉林省挺住✔️
139,骗老人得判刑
140,答应我 老了花钱买鸡蛋好吗
141,养生？
142,今天你来说
143,侥幸心理
144,不可大意啊
145,都不让回家说啥呢？
146,因为有鸡蛋送吗
