,comments
0,怎么不问那里的
1,辛苦了
2,辛苦了
3,中国铁建发奖金
4,辛苦了
5,辛苦了，希望之后待遇能更好些
6,泪目
7,辛苦了
8,致敬
9,辛苦了
10,看哭了，谢谢您们，中国人民万岁！！！
11,看哭了 谢谢您们
12,辛苦了
13,真的希望这个行业正常化，基建狂魔的称号变态化
14,声音都哑了
15,辛苦了
16,辛苦了
17,辛苦了
18,辛苦了
19,辛苦
20,注意身体
21,致敬！
22,辛苦了
23,致敬！辛苦了！
24,致敬！
25,致敬
26,唉
27,辛苦了
28,修长城都没这么狠吧
29,之前看云监工还有说风凉话都是磨洋工不做活的，这种睁着眼放屁的真该抓起来
30,知道有多少人因为这种事牺牲吗？保障一下个体健康
31,辛苦咯
32,快去休息啊 身体重要
33,辛苦了
34,请给这些建设者合理安排休息换班和提高时薪吧，保证健康为前提
35,辛苦了
36,辛苦了！致敬！
37,太辛苦了
38,致敬
39,辛苦了
40,不要吹加班
41,伟大的劳动人民万岁！
42,辛苦了
43,多睡一会
44,致敬！
45,辛苦了！
46,幸苦了！
47,辛苦了辛苦了，感动
48,辛苦了
49,哈哈哈
50,辛苦了
51,辛苦了(≧∇≦)/
52,辛苦了
53,辛苦了 注意身体
54,辛苦了
55,辛苦了
56,我想知道他的名字，希望能为他们做点什么
57,我测量员刚被辞退，湖北要是工地缺人我还真想去
58,加油
59,幸苦了
60,辛苦啦
61,都这样了就别问了吧
62,真不容易
63,致敬！
64,感谢
65,辛苦了！！
66,辛苦了
67,废话！当然是睡觉了！还问
68,替换下吧！赶紧休息下！
69,天啦！声音都累哑了！辛苦了！
70,……
71,啊啊啊好辛苦
72,辛苦了
73,致敬
74,辛苦了
75,辛苦了辛苦了
76,哇……辛苦了
77,辛苦了师傅
78,80后
79,辛苦了
80,天啊，我要哭了
81,我也不想这么拼，但他们给的太多了
82,请保重身体
83,致敬
84,致敬
85,辛苦了
86,致敬
87,辛苦了辛苦了
88,辛苦了，石家庄人民感谢您，强制休息一下吧，别再出事了
89,话都讲不出了唉╯﹏╰
90,致敬！辛苦了
91,辛苦了师傅
92,辛苦了
93,累的
94,辛苦了
95,工地狗顶一个
96,注意休息啊
97,注意休息
98,辛苦辛苦
99,辛苦了
100,注意休息，不能再有人累牺牲了！
101,根本就不该宣传这
102,强制休息
103,辛苦了
104,辛苦了！
105,辛苦了师傅
106,致敬
107,辛苦了！
108,？？？
109,辛苦了
110,辛苦了
111,辛苦了
112,太不容易了，心疼
113,辛苦了
114,辛苦了
115,辛苦了加油啊
116,睡一会吧
117,致敬
118,辛苦了，谢谢你们！
119,泪目
120,wutu
121,辛苦了
122,这是调度员
123,多休息啊
124,喝点蒲地蓝，消炎去火
125,致敬
126,辛苦了
127,辛苦了
128,辛苦了！
129,哑了，心疼
130,致敬！
131,辛苦了，谢谢你们！
132,心痛
133,辛苦了！
134,辛苦了！！
135,辛苦了
136,人民才是历史的创造者！！！
137,要休息好啊。轮班倒嘛。这么累不行的
138,辛苦了
139,辛苦了
140,太劳累了抵抗力也会下降 最好安排工作人员多休息
141,？？？一定要先累死工人吗？
142,感谢！
143,辛苦了
144,中国有你们才真的伟大！！！[爱心][爱心][爱心]
145,嗓子都哑了
146,致敬劳动者
147,不能让他们休息一下吗 还在采访啊
148,真有钱 哪里爆发哪里造
149,人民英雄，这是中国人的最高荣誉
150,唉
151,致敬
152,我家单位
153,辛苦了！
154,这样不行呀，给工人最基本的保障吧
155,希望结束后，能给与一笔丰厚的红包
156,辛苦了
157,要注意休息啊啊啊
158,真的得休息了，再紧张也不能这个熬法呀
159,谢谢你们，谢谢你们每个人
160,辛苦了
161,你看那黑眼圈
162,我大藁城加油，一切都会好起来的！
163,辛苦了
164,工地上说话只能喊。。
165,还是要休息好
166,泪目
167,辛苦了，致敬
168,谢谢您
169,心疼
170,泪目
171,泪目
172,累倒了可不好了
173,英雄
174,期末考试也是48睡3
175,睡一会吧，身体遭不住啊
176,辛苦了！致敬！
177,。。。。
178,天呐
179,泪目…………
180,把泪目打在公屏上
181,辛苦了！
182,这
