,comments
0,不是预约才能接种吗？
1,走后门
2,活该
3,先到先得 真的好自由啊 哈哈哈哈哈哈 我笑了
4,美国好幽默
5,先到先得 哈哈哈
6,感觉美国好乱 真的
7,你搞错了，不是良心，而是对立政党的游戏，必须攻击
8,这人情关系，不符合美国一向标榜
9,不是说美国医疗体制很好，都有预约管理？？？
10,我觉得可以来一波高价收购美国疫苗。
11,？？？
12,全程看手语
13,官方玩梗可还行
14,人不为己天诛地灭
15,知道为啥上帝说人人生而平等吗？因为上帝印在美元上
16,世界各国手语是不是不一样
17,？？？？？？？逻辑鬼才！
18,逻辑太nb了
19,关 系
20,自作孽不可活
21,谁上位都一样的  拜登上去直接签的的是口罩   疫苗根本不提
22,哈哈哈  笑死   
23,我已经接种疫苗了  反正心里有点底了
24,《谁是记者》
25,我甚至还想笑！
26,哈哈哈哈哈先到先得
27,不过在美国…好像这种阴谋论也不是不可能
28,？？？？？？？？？？？？这话
29,我们在中国，真的太幸运了
30,？？？？？？可怕
31,才这么点吗
32,不愧是自由美利坚
33,迷你懂王
34,然而有色人种是易感人群
35,嘴上说着主义，心里全是生意
36,前排围观扒底裤
37,美国用权力插队的，似乎被曝光出来也没什么惩罚
38,旁边的手语哈哈哈哈，动作好可爱
39,我还以为你们看不起新冠呢
40,赛博朋克的发型
41,没有人比我更懂疫苗
42,做中国人真好
43,不只是统一啊，制度也很重要，像美国明显就是疫苗都让精英和富人给先占了，而不是一线医疗人员
44,这些美国政客都是食肉者糜
45,低情商：他们在插队！高情商：他们在试药！
46,RNA一秒理论上比灭活病毒疫苗更适合老年人，然而还是死人了
47,没有调查过，就没有发言权23333
48,2020美国丢大人
49,反问笑死了
50,特能懂口中的疫苗数量就是幌子，天天挂在嘴边吹
51,不管怎么样都是一坨坨死肉，仅此而已，它们自己不尊重自己，其他人没有义务替他们尊重
52,为美国普通民众感到悲哀
53,？？？？？说的是人话？
54,哇哦
55,这就是现实
56,这发型好魔性
57,富强中国
58,前面分封制笑死我
59,好家伙
60,总有人眼睛还是亮的
61,美国的记者提问非常犀利
62,好家伙
63,基操勿六
64,这就是人生吧
65,也许你成为历史都无法实现你的承诺
66,震惊主持人一百年
67,嚯 能从美国人嘴里说出来道德
68,表现蠢 其实是真坏
69,美国的日常操作嘛
70,哪里是乱象？人家就是有钱优先
71,这是自由的
72,以后大家各过各的的吧！各州过各州的生活，独立也行！省的分配情况不和！
73,配乐好阴间
74,希望没事
75,建议不开弹幕，不管怎么样的都是一条条鲜活的生命
76,每一个生命的逝去都挺难过的
77,论统一的重要性
78,已经超了
79,美帝指责中国的事情全是美帝自己做的，美帝吹嘘的事情却全是中国做到的
80,真正的自由！
81,这个很自由~！
82,卧槽，他们居然戴口罩了~！！！！
83,给老人先打不负责死了怪老人免疫力差吗？
84,半天没有说到点子上，为什么如此乱象？故意的清除计划？还是就是有意制造混乱？
85,？？？？
86,这BGM有点像生化危机
87,由联邦进化成邦联
88,你根本看不出说话的本意
89,道西战争
90,半部英剧治天下
91,中国就不会
92,为什么是老人先打，他们应该是被保护的啊！
93,真就干啥啥不行 统筹最后一名
94,你都不是话事人了，有什么资格说话
95,到底谁该问谁？
96,天下乌鸦一般黑
97,不需要统筹，美国只要超级英雄就够了
98,手语？？
99,71周？一年半咯
100,美国大片
101,分    封    制
102,好活！！！
103,这就是自由
104,清除计划正在有序进行中
105,富人的命也是命，富人也有资格接种疫苗。[doge]​
106,这就是人生啊人生
107,针不戳，针不戳
108,6的飞起
109,这就是川宝最后的波纹嘛，在最后还在和拜登搞事，国家毫无领导状态
110,这就是生活
111,哈哈
112,这BGM是不是瘟疫公司哦
113,我怀疑你就是47
114,无组织无纪律
115,……多少？
116,多少？
117,记者傻了
118,????
119,我们就不应该卖给他们疫苗
120,开始转移注意力了
121,？？？
122,而且美国疫苗还不安全
123,？？？
124,好活
125,这是自由 啊 自由的甜美
126,不要担心上帝会保护你们的 哈哈
127,哈哈哈哈哈哈哈哈哈
128,??????????????????????
129,呵呵哒
130,？？？
131,呜？？？
132,恐怖如斯
133,美国才多少人啊，这点疫苗生产不出来吗
134,这也能炒黄牛，兹由美国
135,川宝又没说哪年年底
136,对先到先得但是数量太小，这不能怪我呀
137,现在开始戴口罩了？
138,哈哈哈
139,哇～
140, 这是不道德的，不人道的，但我却悲伤不起来
141,哇哦
142,美国手语讲究声情并茂是吗？
143,这就是人生吧
144,？？？？
145,庆幸 我不是生活在这种国家  自私自利到了极致
146,手语老师在求救！！！
147,很幸运出生在中国
148,手语
149,6666666
150,非常自由
151,这碗饭我先吃看看有没有毒
152,我妈是医院的
153,我妈是医院的
154,生活在水深火热中的美国。。。
155,《碰 巧》
156,就是因为说了也没用所以才可以让你说，跟韩国电影一样
157,人生就是不公平的，慢慢习惯吧你
158,你居然信?
159,淘宝双十一一日几百亿盈收都不崩溃。美国就是个弱鸡
160,在整个视频中，所有报道都来自美国媒体
161,我靠美国还有良心媒体在发声
162,美国就是个笑话，他只是二战的爆发户！
163,白胡子老头街舞跳的不错
164,公知：不，美国是不讲人情的社会…
165,这就是人生
166,接种的速度跟不上确诊的速度
167,愚昧无知
168,世界周刊BGM
169,这都脱离冷链了，疫苗不失效？
170,拿老年人试疫苗？
171,为什么科技这么发达的国家，管理制度在这件事上却如此无效呢？
172,？？？这么快！！！前两个星期才是一个二战的数量啊！！！
173,好家伙
174,看着就很绝望
175,好家伙
176,这也太自由了吧
177,电影既视感
178,为什么会被拒绝？
179,手语大哥在跳舞？
180,这是免费发放的
181,所以说，中国挺不错
182,话术的重要性
183,前面那个等等我，（说）你（的）太（好）坏了
184,抛弃老弱病残，动物规则，西方还没进化成人
185,美国卫生部就是个乐子，瘟疫公司的而已
186,美国富人以身试药，穷人要懂得感恩，毕竟这就是生活
187,真富人天堂 没有丝毫家国天下人民利益精神
188,原来刘佑局说的是真的，不过在美国。
189,太恐怖了
190,好家伙！
191,哈哈哈  我还以为只有书上才有 哇
192,保护我方川宝
193,好家伙，美国黄牛
194,但是，目前看来老人真的不适合注射疫苗-_-||
195,精英治国，普通人不配活？
