,comments
0,对外及时发布疫情防治有关信息
1,现有饼例降至一千报到
2,考古
3,相信国家！
4,不是说好了是造谣吗？
5,谢谢大家
6,我国威武
7,字幕好评
8,感谢字幕君
9,武汉加油！
10,我很喜欢这个外交官
11,字幕君辛苦了
12,武汉加油
13,深入开展流行病学调查
14,深入开展流行病学调查
15,浙江加油
16,武汉加油
17,字幕君辛苦了
18,感谢字幕君
19,字幕好评
20,感谢字幕君
21,武汉加油
22,感谢字幕君
23,感谢字幕组
24,中国加油
25,武汉加油呀！
26,中国加油
27,武汉加油
28,感谢字幕
29,字幕君辛苦了
30,加油
31,简介有他发表的所有话
32,武漢加油
33,武汉加油
34,加油
35,加油
36,武汉加油
37,字幕君辛苦了
38,加油
39,武汉加油
40,武汉加油 中国加油
41,感谢字幕
42,中國加油，武漢加油，白衣天使們加油，病人們加油，一起撐過這難過的時刻
43,字幕君辛苦了
44,感谢字幕君
45,医院缺物资，请大家有的捐赠吧！
46,世卫加油
47,浙江加油
48,优秀
49,字幕君辛苦了
50,字幕君辛苦了
51,字幕君辛苦了
52,字幕君辛苦了
53,字幕君辛苦了
54,字幕君辛苦了
55,字幕君辛苦了
56,字幕君辛苦了
57,字幕君辛苦了
58,字幕君辛苦了
59,字幕君辛苦了
60,加油
61,中国加油
62,武汉加油
63,加油啊！
64,相信祖国！！！！
65,相信政府！！！
66,感谢字幕君
67,没有灾难能战胜我们
68,感谢字幕
69,中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油
70,中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油
71,武汉加油，中国加油
72,深入开展流行病学调查
73,武汉加油
74,谢谢字幕君
75,感谢字幕！
76,加油
77,现在的我，没办法做什么，只能不给国家添乱，保护自己，保护家人，静候佳音
78,谢谢字幕君
79,感谢字幕君
80,感谢字幕
81,表白字幕君
82,谢谢字幕君
83,谢谢字幕君
84,武汉加油
85,武汉加油！坚持就是胜利！
86,武汉挺住。
87,阿中加油
88,阿中加油
89,感谢字幕
90,武汉加油
91,武汉加油!!!
92,武汉加油 中国加油
93,并且积极开展防病知识的宣传
94,深入开展流行病学调查
95,加油！
96,感谢字幕君
97,中国加油
98,现场都没人戴口罩？
99,谢谢字幕菌
100,谢谢字幕君
101,左耳人声右耳音响
102,大赞字幕
103,感谢字幕君
104,武汉加油
105,感谢字幕
106,画重点，高考要考
107,并且积极开展防病知识的宣传
108,医护工作人员辛苦了
109,武汉加油
110,武汉加油
111,武汉加油
112,一线的医生护士们多加小心，你们辛苦了。
113,字幕好评
114,热烈欢迎
115,大过年的，大家都要健健康康的啊
116,中国加油！武汉加油！
117,感谢字幕君
118,加油，
119,加油！！
120,字幕君好评
121,感谢字幕
122,表白字幕君
123,加油
124,武汉加油
125,爽哥也要注意身体，照顾好自己！！
126,表白字幕
127,相信政府
128,感谢字幕君
129,相信政府，相信国家
130,帅！
131,加油
132,与此同时，中方本着负责任的态度
133,并且积极开展防病知识的宣传
134,感谢野生字幕君
135,感谢字幕君
136,给前面解答，中国的聋哑人也需要看到媒体新闻。字幕是必须的
137,感谢野生字幕君，不过希望字幕君下次可以发色彩鲜艳的顶端弹幕试试，不会遮挡国徽哦⊙∀⊙！
138,感谢字幕
139,声音好小
140,加油啊！
141,表白字幕
142,感谢
143,感谢
144,不传谣不造谣，认真防治，保护好自己和家人
145,相信中国政府
146,相信医疗工作者
147,不传谣不造谣
148,感谢字幕君
149,过年了
150,666
151,武汉的乡亲们，记得出门戴口罩，这是为了大家自己好。
152,感谢字幕君
153,感谢字幕君
154,收声有点问题
155,弹幕不要遮挡国徽哦
156,野生字幕君太赞了
157,我想你们已经注意到了
158,感谢字幕
159,相信国家  不要慌  别造谣传谣
160,感谢字幕
161,感谢字幕君
162,小声的你是手机该换了
163,为什么还要字幕？？？？？？？？
164,最近声音都有点小
165,感觉事态有点严重感觉有点严重了阿
166,给字幕君点赞
167,可
168,促进多方联控
169,谢谢字幕菌
170,谢谢字幕君
171,深入开展流行病学调查
172,相信政府~一定能控制住疫情
173,并保持密切沟通
174,听不到啊
175,我得的这个肺结核是这种？
176,过年大家都健健康康的
177,相信政府
178,相信政府
179,感谢字幕君
180,感谢字幕君
181,野生字幕君
182,感谢字幕
183,表白底下蓝字
184,感谢字幕君
185,大过年的，大家都注意身体啊！
186,全力应对
187,再接到相关国家通报的病历后
188,在接到有相关国家通报的病例后
189,在接到有关国家通报的病历后
190,做好密切接触者的管理
191,这里我想强调一下的是
192,促进联防联控
193,做好密切接触着的管理
194,感谢字幕君
195,感谢字母君
196,感谢字幕君
197,感谢字幕君
198,感谢字幕君
199,官方弹幕？
200,感谢野生字幕君
201,感谢野生字幕君
202,太小声了，谢谢字幕
203,字幕君好评
204,这是AI字幕吗？
205,。
206,良心弹幕
207,字幕君好评
208,下方字幕菌好评
209,赞
210,感谢野生字幕君
211,这次还是挺积极通报的
212,感谢字幕君 
213,我选择相信医疗工作者，毕竟他们是专业的
214,共同维护地区和全球的卫生安全
215,我们将同各方一道携手应对疫情
216,我们欢迎第一时间通过官方渠道向中方通报情况
217,如果其他国家也发现相关的疑似输入型病例
218,加强合作、全力应对
219,中方高度重视通过双多边渠道与各方保持密切沟通
220,感谢野生字幕君
221,在接到有关国家相关病历的通报后
222,分享了新型冠状病毒的基因序列信息
223,我们第一时间向世界卫生组织
224,并保持密切沟通
225,字幕！
226,及时向世界卫生组织
227,中方本着负责任的态度
228,与此同时
229,并且积极开展防病知识的宣传
230,深入开展流行病学调查
231,全力救治患者
232,制定严密的防控方案
233,予以积极的处置
234,中方本着严肃、认真、专业的态度
235,疫情发生以来
236,这我想强调指出的是
237,我建议你们可以再查阅一下
238,立体声好评！
239,肺炎疫情防护工作的有关信息
240,已经发布了关于新型冠状病毒感染的
241,中方的卫生健康部门
242,我们现在可能注意到了
243,是的
244,共同维护地区和全球的卫生安全
