,comments
0,2020年12月26日考古，致敬
1,夏天来了啊你的名字了啊棕色？
2,以前的新型这些想法了啊
3,人固有一老，或老而优雅
4,国士无双
5,院士冲鸭
6,国士无双！
7,国士无双
8,钟爷爷，辛苦了
9,广东人在此，南山爷爷寿比南山
10,青史有名，国士无双
11,国士无双
12,国士无双
13,中国加油
14,中国加油
15,武汉加油
16,国士无双
17,武汉加油
18,国士无双
19,好帅啊
20,是我们中国人
21,中国人在中国
22,中国人在中国
23,中国人在中国
24,致敬
25,大佬加油
26,国士无双
27,国士无双
28,钟声长鸣，寿比南山
29,向老爷子致敬！
30,除了这位老爷子，谁都不能把我从家里赶出去
31,好帅！加油
32,加油
33,国士无双
34,武汉加油
35,我们要相信钟院士
36,加油
37,国士无双
38,武汉加油！
39,武汉加油
40,武汉加油
41,加油！
42,武汉加油
43,国士无双
44,国
45,武汉加油
46,武汉加油不输
47,武汉加油，中国加油
48,男神
49,好想回到这一天
50,国士无双
51,中国加油！
52,国士无双国士无双
53,白衣天使，加油⛽
54,医者仁心，国士无双
55,医者仁心，国士无双
56,膜拜
57,感谢老先生.向所有的医护人员致敬
58,听重点！别纠结那些有的没的
59,别被弹幕带偏，听重点！
60,武汉加油
61,向老爷子致敬
62,武汉加油
63,致敬
64,他在！我们就放心了。。。。
65,国士无双
66,广东人来报道
67,加油！天佑我大中华！！
68,武汉加油加油
69,钟老，国士无双
70,钟老小心，钟老加油！
71,国士无双
72,中国加油！！！
73,武汉加油
74,武汉加油！！！！！！！
75,钟老好(✪▽✪)
76,钟老好
77,浙江加油
78,武汉加油！厦门加油！
79,国士无双
80,现在不是武汉加油了，而是全国加油
81,注意安全
82,院士一定要保护好自己！！！
83,国士无双
84,致敬钟老
85,国士无双
86,国士无双
87,耳机
88,祖国万岁  保护好院士
89,国士无双
90,我有国士 天下无双!
91,国之栋梁
92,武汉加油
93,加油加油加油
94,致敬
95,Respect!
96,武汉加油加油加油
97,加油！
98,致敬钟老！
99,钟老精神健硕
100,武汉加油！
101,武汉加油！
102,山东威海加油
103,一年四季不穿袜子
104,奥利给！
105,武汉加油！！！
106,武汉加油！
107,致敬
108,这种人功德无量活该长寿
109,是广东人
110,哇
111,我
112,中国加油
113,大哥好
114,加油啊老爷子
115,有老前辈在，不怕不怕
116,国士无双
117,致敬
118,国士无双！
119,加油啊
120,不怕↘
121,加油！
122,帅
123,帅
124,国士无双
125,国士无双
126,老爷子最帅了
127,身体素质可以超过到中年吧
128,国之栋梁
129,国士无双
130,乌鲁木齐发现两例
131,乌鲁木齐发现两
132,这是80岁吗
133,钟老先生加油！请保重身体！
134,钟老，加油。武汉，加油
135, 我以为才50左右
136,武汉加油
137,保养的好啊
138,武汉加油！
139,我爸60，比他看起来老多了，钟爷爷看起来很精神
140,国士无双
141,是福州人吧？
142,这就是专家
143,加油
144,国士无双
145,厦门人
146,致敬
147,国士无双
148,汝州一例
149,广州的我们这里的
150,中国加油！
151,武汉加油
152,加油钟院士
153,他真80多。。他健身  肌肉很强健
154,这口音就是闽南语的
155,国之栋梁，正真的国士无双
156,武汉加油
157,男神
158,武汉加油
159,加油
160,辛苦了一定要保护好自己
161,厦门啦
162,向钟老致敬！
163,老爷子好年轻
164,致敬
165,武汉加油
166,辛苦了，老爷子！
167,辛苦了，老爷子！
168,武汉加油
169,国士无双
170,中国加油
171,爷爷注意身体
172,加油
173,国之脊梁！
174,武汉我们一起加油！
175,广东实验中学南山班来源于您的名字
176,国士无双，致敬
177,武汉加油！
178,辛苦了！
179,我在武汉，带着口罩
180,大佬
181,武汉加油
182,钟老好帅
183,大佬大佬
184,辛苦了
185,武汉人注意身体呀
186,钟老加油
187,钟老福建的骄傲
188,这个爷爷84岁吗！
189,可以啊这84像74
190,83岁了妈呀
191,武汉加油！
192,武汉加油，中国加油
193,辛苦辛苦
194,国士无双
195,老爷子   保护好自己阿    愿所有逆行者平安归来。
196,加油！
197,武汉加油！！！
198,钟爷爷的话就让人很安心
199,武汉加油！
200,武汉加油
201,武汉加油
202,受命于天！既寿永昌！天佑中华！瘟神退散！
203,中气十足！！
204,大家都要注意啊
205,我觉得看上去43都没有吧
206,加油！武汉
207,03年就有他
208,出门记得带口罩哦各位
209,非典开始就有他
210,致敬
211,致敬
212,希望一切变好
213,武汉加油!
214,钟院士辛苦!
215,辛苦了
216,加油加油
217,武汉加油
218,向大佬致敬！
219,武汉加油！
220,国之耆宿
221,武汉加油，大家加油，要平平安安的
222,钟老国士无双
223,武汉加油
224,加油！
225,膜拜大佬
226,致敬老爷子
227,老爷子注意身体！！！
228,老爷子注意身体
229,大佬终南山
230,不知道的以为老爷子六十多
231,国士无双
232,钟老也要保护自己！向你致敬
233,加油，奥利给
234,加油！
235,湖南人不用怕
236,84，一点都看不出
237,国士无双啊
238,听钟老师的话啊
239,天佑中华
240,武汉加油
241,武汉加油
242,武汉加油
243,他是福建人啦
244,省实校友（小声BB）
245,我觉得是我们福建的口音，莆田福州那一带
246,国士无双，致敬
247,国士无双，致敬
248,厦门出身，但是广州培养的
249,南方口音？原谅我这个北方人听起来真感觉不明显
250,不要怕 咱们相信钟南山
251,80+
252,最多50
253,纠结口音没必要吧？？？
254,头发都这么黑，六十岁顶破天
255,老先生好
256,院士好
257,大佬
258,注意卫生，一起行动
259,注意身体
260,一听就是闽南地区 福建人路过
261,他老爸这辈就定居广州了
262,这才是明星！
263,什么台湾腔，钟院士是福建人。搞清楚再说行不
264,像六十
265,84真的假的？
266,高中生物第一页的大佬，一开始没认出来
267,大家一定要注意身体健康啊！新年快乐！
268,重点：极期
269,很明显闽南
270,华南海鲜市场封了
271,武汉人
272,你敢信他84了？
273,这明显的福建口音 怎么就广东口音了
274,钟院士发声的确让人安心(๑• . •๑)
275,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
276,院士像60岁，国之幸也
277,钟院士辛苦了！
278,这身材这皮肤啊，这精神状态太好了
279,论5G的重要性
280,这位 在抗击非典中作出了及其突出的贡献
281,人在武汉，不怂
282,武汉加油
283,天佑中华！
284,传染病课本封面啊啊啊啊啊啊啊啊！！！！
285,奥利给，面对它
286,钟院士看着也太年轻了吧
287,辛苦辛苦老爷子老爷子
288, 老爷子是广东人  84岁高龄挂帅出山 
289,辛苦了！！！
290,国士无双
291,八十多岁还披挂上阵，致敬所有抗病医护及研究人员
292,厦门人，在广东
293,一点都不像八十多岁的人，说五十岁都有人信
294,我第一眼看见就想到终南山
295,高考生物材料题预订
296,可以奥 钟老
297,完全看不出是80多岁。
298,龙的传人
299,老爷子84了
300,还好帅！
301,皮肤太好，光滑有光泽
302,钟老84了。。。
303,音频不一致？
304,没有任何困难，能难倒英雄的中国人民！
305,厦门
306,老爷子是第一届全运会400米栏冠军
307,辛苦了，钟院士
308,？？？？？
309,钟南山院士
310,会越来越好的
311,武汉加油
312,宅就完事儿了
313,胡建人啦
314,国士无双
315,向钟老致敬
316,80多岁这么年轻的吗？
317,广东
318,有亲戚在武汉，过年了。祝好
319,福建人，谢谢
320,不用怕
321,不用怕不用怕
322,不用怕不用怕
323,不用怕
324,哪听出来的台湾腔？
325,我冰箱里的两个野兔子，兔子是东北的野兔子，～～
326,男神啊
327,钟南山？
328,受命于天！既寿永昌！天佑中华！瘟神退散！[生气]
329,这么重要的事情，你们在这里纠结口音？？？
330,医学教材第一页就是他的简介，你说是哪个级别的大佬
331,钟老皮肤好好啊
332,难以相信差点就能跟着钟先生学医了
333,武汉加油
334,定居在广州培养人才
335,常年在广州
336,广东口音的厦门人
337,他是厦门的
338,80岁？保养的真好
339,80岁？？保养的真好
340,钟院士厦门人
341,80+完全看不出来
342,反正就是南方口音
343,这80岁？？？？？？？？？？？？？？？？
344,广东人来的
345,老爷子辛苦了
346,老爷子幸苦了
347,大佬
348,？？
349,广普啊，你们听错了
350,是熟悉的广谱
351,泉州厦门口音
352,院士... 
353,春节难啊
354,离干咳远些
355,啊
356,我也住在华南海鲜市场附近
357,以后咋样谁也不知道
358,大家记得戴口罩啊
359,保护医护人员人身安全！
360,闽南地瓜腔
361,看上去65
362,现在重中之重是先治好病患，找出来源
363,不管是不是野味引起的，都不要吃
364,厦门骄傲
365,广州人 好像是
366,预防医学崛起时刻
367,84跟54似的
368,国士无双
369,注意呀，是目前的，现在正在爬坡期，不排除后期变异的情况，大家还是要注意防范
370,国士无双
371,广普啦
372,钟院士
373,胡建人
374,国士无双
375,预防医学的崛起时刻
376,向老爷子致敬
377,保护好钟南山！
378,钟院士竟然80多了
379,83岁披挂上阵，致敬
380,我现在在武汉，有点害怕
381,我也住华南旁边
382,福建口音啊
383,这个人是真专家~很牛的一个人
384,感觉更像闽南口音
385,哈哈，广东人?
386,反正听大佬的就对了
387,钟院士无敌
388,福建人啦
389,当代大能
390,很客观
391,对呀，不相信80多岁
392,在世神医
393,就怕春运。。
394,不信钟南山你还能信谁
395,厦门人
396,加油
397,国之重器
398,不是随缘啊，要靠大家一起努力扼制住
399,大神精气神真不一样啊
400,是我们厦门人。。
401,神医钟南山
402,你叫我如何相信这是83岁的人
403,没弹幕
404,啊
405,这口音一听就是广东人……
406,院士都83岁了，比很多83年的还精神
407,预防为主
408,天佑中华！
409,？
410,没弹幕？
411,2333
412,加油
413,没有人？
414,做好防护工作！
415,大神！活的！
416,人传人吗
417,666
418,中国医院都是买药的，好评！
419,春节到了大家要多注意身体啊
420,大佬
421,听说有两个
422,2020生物选择题或大题预订
423,华南海鲜市场附近居住的表示瑟瑟发抖
424,第一条弹幕
425,啊
