,comments
0,前方高能
1,致敬
2,20201231，纪念这个不平凡的一年
3,历史名场面
4,我武汉的，代表全国人民感谢你
5,不是累，是压力很大，一直在想其他得事
6,国士无双
7,蝙蝠
8,国师五双
9,钟老太累了，大脑已经十分疲惫了
10,2020年12月底，6亿支新冠疫苗上市
11,国士无双
12,国士无双
13,已经过去快一年了
14,历史性时刻
15,历史性时刻
16,历史性时
17,历史性时刻回来考古
18,国士无双
19,一槌定音
20,国士无双
21,南山风骨
22,南山风骨
23,钟老辛苦了！
24,国士无双
25,·-
26,国士无双
27,国士无双
28,国士无双
29,院士太累了
30,其实老人家是累的反应不过来.
31,国士无双
32,国士无双
33,此时钟老已经极度疲惫了，老人家84岁了
34,拯救了中国的视频
35,冰冻肉类带来的
36,国士无双
37,国士无双
38,国士无双
39,这里钟院士已经很累了
40,钟老师这在古代可是要封神的！
41,这句话救了全中国
42,国士无双
43,现在看可能就是进口海鲜
44,国士无双
45,致敬
46,心疼
47,通过后来的发现很可能是海鲜冷链运输从国外带过来的
48,回来看，泪目
49,国士无双
50,真的太累了
51,国士无双
52,致敬
53,还真就是海鲜
54,看这精神状态就感觉他已经快累坏了
55,国士无双
56,国士无双
57,国士无双
58,漂亮国千万时期考古
59,钟老现在已经很累了，太累了
60,2020-11-18考古，致敬钟老，国士无双！
61,国士无双
62,致敬
63,国土无双
64,再世华佗
65,我还以为是网络卡了，原来是钟老累了。。
66,廉颇老矣，尚能饭否
67,致敬
68,致敬
69,考古
70,国士无双
71,白岩松，你给我记住。
72,当时我听完钟院士说完肯定人传人我都不知道该怎么办了！一句话重于九鼎
73,国士无双
74,国士无双
75,辛苦了
76,国士无双，钟老辛苦了
77,国士无双
78,国士无双
79,是冷链运输
80,我现在才知道，院士已经很累了，所以回答的时候迟疑了
81,国士无双
82,国士无双
83,致敬！
84,国士无双
85,国士无双
86,这里钟老累的没有听清问题了
87,现在美国一千万
88,国士无双
89,国士无双
90,国士无双
91,停顿的这里已经极度疲惫了，泪目，他已经84岁了
92,致敬
93,棕色。夏天大东方学院
94,人少的时候想法了啊？没了啊
95,纪录片观后感就是这样的人了啊
96,是海鲜物传人
97,致敬！
98,共和国勋章获得者
99,国士无双
100,美国死亡22万人了~~回来在看看
101,国士无双
102,国士无双
103,考古
104,国士无双
105,国士无双
106,20201001，再看这个视频，这是个历史性 的采访！
107,这几个肯定，真乃国士！！！
108,国士无双
109,这样看钟院士顶多48岁
110,国士无双
111,历史时刻合影
112,9月10日回看！历史性的一刻
113,大佬
114,神人
115,国士无双
116,国士无双
117,“亲眼见证历史拐点是种怎样的体验？”
118,名场面
119,。
120,这个肯定不是那么好说的啊
121,真·医龙
122,美国都快七百万了
123,国士无双
124,国士无双
125,拨乱反正
126,二战封神
127,当时的海鲜现在极有可能是携带外国病毒进入武汉的载体
128,历史性时刻！！！最重要判断！
129,平安回来回顾一下。
130,致敬
131,新发地和大连也是海鲜
132,这句话算是宣布了新的一个时代。
133,就因为这句话，我第二天就戴了口罩
134,希望我这个年纪也这么精气神
135,国士无双
136,国士无双
137,国士无双，当代韩信。
138,广东！
139,七月份考古
140,你管这叫84？？
141,内蒙古鼠疫时代考古
142,国士无双
143,致敬 加油
144,国士无双
145,国士无双
146,欧洲来的
147,国士无双
148,"2020/6/5,全国疫情抑制成功，疫苗研发中，前来贺喜"
149,China
150,世界再也回不去了......
151,国士无双
152,国士无双
153,方圆剧阵过来的报个到
154,感谢中国让说实话政策！
155,当时刚看到这个新闻的时候头皮发麻
156,国士无双！！！
157,［+］
158,历史性时刻
159,国士无双！！！
160,国士无双
161,国士无双
162,国士无双
163,跪见国士
164,国士无双
165,国士无双
166,国士无双
167,国士无双
168,国士无双
169,加油
170,4.6号 加油
171,我现在是4.5，回过头来看，终教授的发言真的太重要了。
172,国士无双
173,重于九鼎的一句话
174,这句话拉开了全国抗疫的序幕
175, 猛男↑
176,国士无双
177,国士无双
178,告诉我说
179,武汉加油！中国加油！
180,国士无双
181,国士无双
182,国士无双
183,愿逝者安息，愿生者奋发，愿祖国昌盛，致敬英雄
184,国士无双
185,哀悼日回来的，默哀
186,国士无双
187,国士无双
188,国士无双
189,国士无双
190,一开始是江汉和江岸吧
191,中国之光
192,国士无双
193,3月20日来报告，全国新增0啦
194,国士无双
195,国士无双
196,国士无双
197,国士无双
198,国士无双
199,加油
200,这句话分量太重了
201,这句话分量太重
202,加油！
203,国士无双
204,国士无双
205,武汉加油
206,武汉人在此
207,加油
208,国士无双
209,国士无双
210,2020.3.6回看这一历史性时刻
211,国士无双
212,国士无双
213,国士无双
214,国士无双！
215,国士无双
216,国士无双盖世无双
217,国士无双6666666666666666
218,这句话可能会被记入历史
219,国士无双
220,国士无双
221,国士无双
222,国士无双
223,鉴于：新肺炎患者康复后面复发。 是否康复患者存在少量病毒，由于有抗体未复发，但是是否具有传染性呢？
224,国士无双！
225,国士无双
226,国士无双
227,非常重要的结论，这是载入历史的一刻
228,国士无双
229,就是这句话救了无数人
230,这句话救了很多人的命
231,国士无双
232,武汉加油
233,国士无双
234,国士无双
235,每次看到钟院士都忍不住热泪盈眶
236,国士无双
237,国士无双
238,民族脊梁，国士无双
239,36年
240,国士无双
241,国士无双
242,武汉加油
243,尴尬！奥里给！
244,中华神医
245,致敬，加油
246,国士无双
247,国士无双
248,挽狂澜于既倒，扶大厦之将倾！
249,国士无双
250,看哭了
251,真正的巨星
252,前来考古2-15
253,神
254,神
255,国士无双
256,国士无双
257,国士无双
258,华农兄弟哪里去了，捐款了没？
259,国士无双
260,钟院士，广医一院 孙逸仙纪念医院两头跑辛苦了
261,                           武汉加油！
262,穿山甲  穿山甲  穿山甲
263,国士无双!
264,人传人
265,武汉挺住
266,乱吃惹得祸
267,吃蝙蝠我是真的服
268,蝙蝠一身毒都敢吃
269,国世无双
270,国世无双
271,国
272,蝙蝠
273,国士无双
274,国士无双
275,国士无双
276,国士无双
277,国士无双
278,等待着你的事情了。，
279,想一想了。，
280,劝不住，
281,家里人的事情了。，脾气了。，
282,国士无双
283,国士无双
284,钟老加油，国士无双
285,钟老加油
286,国士无双
287,国士无双
288,国士无双
289,奥利给
290,国士无双
291,国士无双
292,国士无双
293,国士无双
294,肺泡，
295,性格。
296,国士无双
297,国土无双
298,国士无双
299,参见医王
300,国士无双
301,国士无双
302,组长了。这些事情了。，
303,这声音铿锵有力
304,比同龄人年轻20岁
305,国士无双
306,武汉加油
307,武汉++++++
308,武汉++++++
309,武汉努力加油
310,有些人真的什么都敢吃
311,国士无双
312,国士无双
313,武汉加油，国士无双
314,国士无双
315,国士无双
316,不敢吃火锅了。，
317,熟了。，
318,再听一遍了。，
319,国士无双
320,国士无双
321,国士无双
322,国土无双
323,国士无双
324,国士无双
325,武汉加油
326,国士无双
327,国士无双
328,国士无双
329,国士无双
330,国士无双 武汉加油
331,国士无双
