,comments
0,听着背景的咳嗽声就感觉好可怕
1,真的帅
2,我要当医生！！！！！
3,我们熬过来了。现在是2020/4/5日。我们在全国悼念英雄
4,武汉加油
5,武汉加油!
6,武汉加油！
7,1
8,辛苦了
9,武汉加油辛苦了
10,因为护目镜是防止飞沫进眼睛的！！
11,加油
12,武汉加油
13,国家在让的和小李。！
14,发的在让他和就是小李。
15,武汉加油！！
16,武汉加油
17,武汉加油
18,全唔上
19,加油
20,武汉加油
21,武汉加油！
22,几乎回来1就hill后母
23,1静懒趴趴他啊
24,冥界警局
25,武汉加油
26,？
27,加油
28,白衣天使辛苦了
29,出门在外，一定要保护好自己啊！！！！！！
30,武汉加油！！！
31,向白衣天使致敬！
32,加油
33,弹幕有我们组成
34,辛苦了
35,致敬
36,武汉加油
37,加油！！！
38,武汉加油 中国加油！！！
39,武汉加油！中国加油！
40,武汉加油
41,武汉加油！中国加油！
42,武汉加油
43,武汉加油
44,前线人员辛苦了！
45,武汉加油
46,辛苦了
47,武汉加油
48,中国加油 武汉加油
49,发热门诊
50,愿逝者安息，愿生者奋发，愿祖国昌盛。愿逝者安息，愿生者奋发，愿祖国昌盛。
51,辛苦了
52,致敬
53,武汉加油
54,加油，辛苦了
55,武汉加油
56,武汉，给我加油啊啊啊！！！
57,加油！
58,武汉加油
59,武汉加油！中国加油！地球加油！！！
60,辛苦了
61,加油啊
62,中国加油
63,中国加油！
64,默哀！
65,新型冠状病毒治好时期前来考古，致敬
66,武汉加油
67,武汉加油
68,深切哀悼抗疫烈士和逝世同胞
69,加油
70,医护人员太棒了
71,医护人员太了不起了
72,武汉加油
73,武汉加油
74,武汉加油
75,武汉加油中国加油！！！
76,武汉加油中国加油
77,武汉hia
78,武汉加油
79,武汉加油
80,武汉加油
81,战斗在一线的医护人员们您们辛苦了！
82,辛苦了
83,加油
84,武汉加油！！中国加油！！
85,武汉加油
86,武汉加油
87,中国加油！
88,武汉加油
89,武汉加油
90,辛苦了!
91,教授辛苦了
92,加油 一定会好起来
93,武汉加油
94,武汉加油
95,武汉加油
96,武汉加油
97,露个眼睛就好看
98,幸苦了！
99,平安
100,武汉加油
101,加油
102,武汉加油
103,6天后了，天使们辛苦了
104,武汉加油
105,武汉加油
106,辛苦了
107,带护目镜
108,武汉加油
109,辛苦了
110,武汉加油
111,护目镜是防止病毒通过结膜感染
112,七件套还是七层？
113,我要当医生！！！！！
114,武汉加油，中国加油
115,辛苦了
116,武汉加油！中国加油！！
117,辛苦啦
118,武汉加油
119,辛苦了！
120,加油
121,武汉加油！
122,武汉加油
123,等你们功成回来了  一定要找好朋友多喝几杯
124,辛苦了
125,辛苦了
126,辛苦了
127,武汉加油啊
128,武汉加油
129,武汉加油
130,武汉加油武汉加油
131,武汉加油！中华人民是一心的！
132,加油加油加油加油
133,粘膜也可以感染
134,医生承受了多大的压力
135,武汉加油！
136,武汉加油
137,加油，你们辛苦了
138,加油
139,加油！
140,武汉加油！中国加油！
141,武汉加油！
142,武汉加油！
143,武汉加油，中国加油
144,中国加油
145,武汉加油
146,武汉加油
147,武汉加油
148,记者辛苦了
149,加油奥里给
150,医护人员辛苦了！
151,记者也辛苦了
152,武汉加油！
153,武汉加油
154,武汉加油！中国加油！
155,加油
156,武汉，挺住
157,加油！
158,武汉加油！
159,医护人员辛苦了
160,武汉加油！
161,武汉加油
162,层数？喵？
163,武汉加油
164,辛苦了！
165,武汉加油辛苦了
166,武汉加油！！！
167,患者不要带有呼吸阀的口罩！！！病毒会扩散的！
168,辛苦了
169,武汉加油！
170,武汉加油！！！
171,武汉加油
