,comments
0,中国加油！
1,中国加油
2,武汉加油
3,武汉加油
4,中国加油
5,热干面加油
6,china no1
7,武汉加油
8,武汉加油
9,加油
10,中国加油
11,东莞火锅
12,东莞哈哈哈
13,。。。。。
14,加油！！！！
15,武汉加油
16,中国必胜
17,武汉加油
18,现在不仅中国要加油了，全世界都要加油了
19,加油
20,武汉加油
21,武汉加油！
22,想开学
23,中国加油
24,武汉加油
25,真的变异了，还不止一次
26,武汉加油
27,武汉加油 中国必胜
28,武汉加油
29,????
30,武汉加油！
31,武汉加油
32,武汉加油
33,加油加油
34,武汉加油中国加油
35,武汉加油，中国必胜！
36,武汉加油
37,大预言家（四月四号回来考古）
38,武汉加油中国加油
39,中国加油
40,中国加油！
41,武汉加油！
42,加油冲冲冲！
43,中国加油啊啊啊啊！！！！！
44,武汉加油！！！
45,加油
46,cable
47,武汉加油
48,第2018条弹幕~
49,武汉加油
50,武汉加油
51,武汉加油，中国加油
52,(:.;ﾟ;益;ﾟ;益;ﾟ;益;ﾟ;益;ﾟ;益;ﾟ;益;ﾟ;.)
53,祖国加油
54,武汉加油
55,武汉加油
56,加油
57,武汉加油
58,武汉加油
59,武汉加油，中国加油
60,武汉加油
61,中国加油
62,武汉加油
63,武汉加油
64,可以脱稿吗
65,不拖稿吗
66,考古，已经胜利了！
67,武汉加油
68,武汉加油
69,中国加油，武汉加油
70,武汉加油
71,加油武汉
72,可怕
73,武汉加油
74,中国加油，武汉加油
75,你们那单位组织捐款了吗
76,东北口音？
77,武汉加油！中国加油！
78,让那些洋鬼子看热闹的远点捎着
79,武汉加油，中国加油，
80,武汉加油
81,武汉加油!
82,武汉加油
83,突然想开学了
84,突然想开学了
85,武汉加油！！！
86,武汉加油
87,武汉加油
88,武汉加油
89,武汉加油
90,武汉加油
91,武汉加油
92,武汉加油
93,武汉加油
94,武汉加油，中国加油。
95,武汉加油
96,武汉加油！
97,武汉加油。
98,武汉加油
